Country, url
Denmark, https://store.steampowered.com/curator/25510407-Games-Devs-from-Denmark/#browse
Chile, https://store.steampowered.com/curator/25113200-Videojuegos-Made-In-Chile/#browse
Sweden, https://store.steampowered.com/curator/43720485-Games-Made-in-Sweden/#browse
Finland, https://store.steampowered.com/curator/11622003-Made-in-Finland-Tehty-Suomessa/#browse
Estonia, https://store.steampowered.com/curator/36235895-Estonian-Games/#browse
Austria, https://store.steampowered.com/curator/6858613-Games-from-Austria/#browse
Poland, https://store.steampowered.com/curator/31459763-Indie-Games-Poland-Foundation/#browse
Hungary, https://store.steampowered.com/curator/8160004-J%25C3%25A1t%25C3%25A9kok-Magyar-Fejleszt%25C5%2591kt%25C5%2591l/#browse
Switzerland, https://store.steampowered.com/curator/33540322-Games-Made-In-Switzerland/#browse
Switzerland, https://store.steampowered.com/curator/45001083-Swiss-Games-List/#browse
Switzerland, https://store.steampowered.com/curator/6863190-Swiss-Games/#browse
Canada, https://store.steampowered.com/curator/6927762-Made-in-Canada/#browse
Canada, https://store.steampowered.com/curator/6871619-Canadian-Indie-Games/#browse
Serbia, https://store.steampowered.com/curator/28391010-Games-made-in-Serbia/#browse
Norway, https://store.steampowered.com/curator/9862263-Games-From-Norway/#browse
Moldova, https://store.steampowered.com/curator/45037449-Games-developed-in-Moldova/#browse
Greece, https://store.steampowered.com/curator/42180067-We-Love-Greek-Games/#browse
Lithuania, https://store.steampowered.com/curator/34231579-Games-from-Lithuania/#browse
Romania, https://store.steampowered.com/curator/33658860-Games-made-in-Romania/#browse
New Zealand, https://store.steampowered.com/curator/10060090-Made-in-NZ/#browse
Australia, https://store.steampowered.com/curator/3868565-Gaming-Australia/#browse
Australia, https://store.steampowered.com/curator/41910862-Australian-Made-Games/#browse
Australia, https://store.steampowered.com/curator/6856510-Australian-Made-Games/#browse
India, https://store.steampowered.com/curator/34640926-gamedev.in/#browse
Portugal, https://store.steampowered.com/curator/8709012-GameDevPT/#browse
Indonesia, https://store.steampowered.com/curator/25149897-Indonesian-Games-Curator/#browse
Spain, https://store.steampowered.com/curator/42418958-Games-from-Spain/#browse
Belgium, https://store.steampowered.com/curator/44989459-Belgian-Game-Awards/#browse
Brazil, https://store.steampowered.com/curator/45009092-From-Brazil-Games/#browse
England, https://store.steampowered.com/curator/6867769-Game-Makers-Yorkshire/#browse
Japan, https://store.steampowered.com/curator/6858135-J-Indie-Arcade/#browse
Japan, https://store.steampowered.com/curator/33962119-Japanese-Games-On-PC/#browse
South Africa, https://store.steampowered.com/curator/5025202-makegamesSA/#browse
Czech Republic, https://store.steampowered.com/curator/41475492-Czech-Slovak-Games-Week/list/86715/
Czech Republic, https://store.steampowered.com/curator/41475492-Czech-Slovak-Games-Week/list/86777/
Slovakia, https://store.steampowered.com/curator/41475492-Czech-Slovak-Games-Week/list/86717/
Argentina, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27103/
Argentina, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/72325/
Argentina, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/111725/
Bolivia, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/49287/
Chile, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27102/
Chile, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/125801/
Colombia, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27112/
Costa Rica, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27113/
Cuba, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/58481/
Ecuador, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27272/
El Salvador, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27352/
Guatemala, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27353/
Honduras, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/58483/
Mexico, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/27110/
Mexico, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/64341/
Mexico, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/131560/
Nicaragua, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/33767/
Panama, https://store.steampowered.com/curator/32222318-Juegos-hechos-en-Am%25C3%25A9rica-Latina/list/58484/ 
