Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
2030;Argentina;ONLINE sci-fi Multiplayer ZOMBIE game.It's 2030 AC, Beings from planet Venus are back and they declare WAR to humans with a deadly virus. Use ultimate military weapons, make body part...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1752890/header.jpg?t=1744056785;LFR games;LFR games;Windows;21 Feb, 2022;Action, Indie, Massively Multiplayer, Simulation;https://store.steampowered.com/app/1752890/2030/;Unknown;;;;
A Fungus In My Garden;Argentina;A Fungus in my Garden is a VR first person shooter where you have to save the Kingdom and Humanity fighting against Giants and mutant insects.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1850860/header.jpg?t=1653103571;Broken Compass Studio, Inc.;Broken Compass Studio, Inc.;Windows;20 May, 2022;Action, Indie;https://store.steampowered.com/app/1850860/A_Fungus_In_My_Garden/;Unknown;;;;
A Simple Door;Argentina;Try to escape from “A Simple Door” by facing your past, your darkest secrets and your fears through the doors.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3118700/header.jpg?t=1739301853;Keter Studio;Keter studio;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3118700/A_Simple_Door/;Unknown;;;;
AESIR Online;Argentina;A massively multiplayer online role-playing game (MMORPG) developed in GODOT Engine by a group of friends from Argentina. It was inspired by a game created in 1999 called Argentum Onl...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2324940/header.jpg?t=1744809560;AESIR Online Staff;Leandro Mendoza, Agustin Di Lauro, Sebastian Di Lauro, Mateo Miccino, Alan Pallas, Mauro Bambozzi, Emiliano Martino;Windows, macOS, SteamOS + Linux;8 Nov, 2023;Adventure, Indie, Massively Multiplayer, RPG, Free To Play;https://store.steampowered.com/app/2324940/AESIR_Online/;Unknown;;;;
ASKE;Argentina;A first person shooter that sets you far away, near death.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1672790/header.jpg?t=1628958166;Tomás Esconjaureguy;Tomás Esconjaureguy;Windows, macOS, SteamOS + Linux;To be announced;Action, Indie;https://store.steampowered.com/app/1672790/ASKE/;Unknown;;;;
ASYLUM;Argentina;An epic supernatural horror adventure and the spiritual successor to cult classic Scratches set in a massive, decaying mental institute. Inspired by H. P. Lovecraft, Hammer Films and ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/230210/header.jpg?t=1745611590;Senscape;Senscape;Windows, macOS;13 Mar, 2025;Adventure, Indie;https://store.steampowered.com/app/230210/ASYLUM/;Unknown;;;;
AWAKENING;Argentina;Awakening is a first person experimental puzzle game with a unique gameplay based on pattern recognition. Guide a soul that decided to find meaning by solving puzzle machines with vid...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1118830/header.jpg?t=1692705723;PapaCorps;PapaCorps;Windows;To be announced;Indie;https://store.steampowered.com/app/1118830/AWAKENING/;Unknown;;;;
Aboard the Adventure;Argentina;Aboard the adventure is a humorous adventure game in which you will be part of the team of the daring Captain Quinn, with the objective of defeating the sinister Professor Weaver in a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1765670/header.jpg?t=1727801954;Chenke Games;Chenke Games;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1765670/Aboard_the_Adventure/;Unknown;;;;
Above - VR;Argentina;Above is a virtual experience that place the player in the position of a stranded astronaut in space. Join the main character in a visually stunning experience during the last minutes...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/547040/header.jpg?t=1560493924;Patagoniart;Patagoniart;Windows;1 Nov, 2016;Adventure, Simulation;https://store.steampowered.com/app/547040/Above__VR/;Unknown;;;;
Ad Wars;Argentina;Tired of ads? Ad Wars is a multi-genre game where you travel all over the Internet to destroy ads once and for all! Jump your way into Super Freemium Lands, battle monsters RPG-style ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1554050/header.jpg?t=1730290333;Moon Snack Games;Moon Snack Games;Windows, macOS, SteamOS + Linux;20 May, 2022;Action, Adventure, Indie, RPG, Early Access;https://store.steampowered.com/app/1554050/Ad_Wars/;Unknown;;;;
Adventure Time: Finn and Jake's Epic Quest;Argentina;Team up as Finn and Jake in a 3D adventure of epic proportions! The Land of Ooo has been transformed into a giant video game, and BMO has been kidnapped. Brawl your way through the Wi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/258590/header.jpg?t=1734980251;Cartoon Network Games;NGD Studios;Windows;11 Apr, 2014;Action, Adventure;https://store.steampowered.com/app/258590/Adventure_Time_Finn_and_Jakes_Epic_Quest/;Unknown;;;;
AfroPenguin & The Forbidden Ramen;Argentina;"""AfroPenguin & The Forbidden Ramen"" is a challenging argentinian 2D adventure game which pays homage to those Nintendo titles that made us smile as a kid (and why not, as adults).";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2372750/header.jpg?t=1681485385;Osaka Studios;Leonardo Jorge Monge, Osaka Studios;Windows, macOS, SteamOS + Linux;14 Apr, 2023;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/2372750/AfroPenguin__The_Forbidden_Ramen/;Unknown;;;;
All Knowledge Authority;Argentina;Be part of the All Knowledge Authority, and go in search of those forgotten mysteries in the corners of the world. Discover the secrets that forces that will surprise you want to hide...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2644090/header.jpg?t=1716669065;GEOMETRIC BYTES;GEOMETRIC BYTES;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/2644090/All_Knowledge_Authority/;Unknown;;;;
Almohadin: escape from the basement;Argentina;Almohadin: escape from the basement is an indie fast-paced 2D precision platformer packed with colorful visuals and bullet hell action. Face a story-rich cartoony adventure inspired b...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3157360/afb9307943be0d3810658799ee28b012c7539976/header.jpg?t=1746132372;Talio Games;Talio Games;Windows;1 Nov, 2024;Action, Adventure, Indie, Early Access;https://store.steampowered.com/app/3157360/Almohadin_escape_from_the_basement/;Unknown;;;;
Alone;Argentina;An isometric survival RPG without the survival. Collect resources and craft items and weapons. Build a settlement on your island. Hunt in the darkest forests, or slay the undead in th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1975890/header.jpg?t=1733569763;Super Llama Games;Super Llama Games;Windows;22 Jul, 2022;Adventure, Casual, Indie, RPG, Early Access;https://store.steampowered.com/app/1975890/Alone/;Unknown;;;;
Alone With a Bunch of Robots;Argentina;Help the experienced space engineer Lenox and 44, his loyal AI Robot, to survive in a hostile environment full of discoveries and unexpected encounters. Join them in that quest for re...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1029190/header.jpg?t=1687823236;GEOMETRIC BYTES;GEOMETRIC BYTES;Windows;To be announced;Adventure;https://store.steampowered.com/app/1029190/Alone_With_a_Bunch_of_Robots/;Unknown;;;;
Animal Liberation Squad;Argentina;A stealthy short tale about underground animal activism. Lead a team of activists, rescue animals, break expensive machinery, graffiti walls and celebrate with vegan food at the Twist...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1297520/header.jpg?t=1740595175;Hidden People Club;Hidden People Club;Windows, macOS, SteamOS + Linux;To be announced;Action, Adventure, Indie, Strategy;https://store.steampowered.com/app/1297520/Animal_Liberation_Squad/;Unknown;;;;
Antarctic Adventure;Argentina;Experience Antarctic science at first-hand! A unique way of understanding why scientific research is so important to understand the planet we live in.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2053280/header.jpg?t=1657820678;Universidad Nacional de Tierra del Fuego;Universidad Nacional de Tierra del Fuego;Windows;14 Jul, 2022;Adventure, Free To Play, RPG, Simulation;https://store.steampowered.com/app/2053280/Antarctic_Adventure/;Unknown;;;;
Arcade Mayhem Juanito;Argentina;Arcade Mayhem Juanito is a retro experience about arcade-hopping. Teleport into different video games, play with unique mechanics inspired by well-known arcade games, face stunningly ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617440/header.jpg?t=1580161708;Game Ever Studio;Game Ever Studio;Windows;3 Aug, 2017;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/617440/Arcade_Mayhem_Juanito/;Unknown;;;;
