Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Hollow Knight;Australia;Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend biz...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/header.jpg?t=1695270428;Team Cherry;Team Cherry;Windows, macOS, SteamOS + Linux;24 Feb, 2017;Action, Adventure, Indie;https://store.steampowered.com/app/367520/Hollow_Knight/;Unknown;Unknown;Unknown;Unknown;Unknown
Tahira: Echoes of the Astral Empire;Australia;Guide Tahira, the 20-year old princess of Avestan, through the most challenging night of her life in this epic tactical turn-based adventure. You must fight to save your people from t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/396660/header.jpg?t=1678872845;Whale Hammer Games;Whale Hammer Games;Windows, macOS, SteamOS + Linux;31 Aug, 2016;Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/396660/Tahira_Echoes_of_the_Astral_Empire/;Unknown;Unknown;Unknown;Unknown;Unknown
TY the Tasmanian Tiger 4;Australia;Bush Rescue Returns! The hero loved by millions worldwide, TY the Tasmanian Tiger™, is back! Join TY on an exciting new adventure in the great Aussie Outback. Use your wits and boom...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/287840/header.jpg?t=1732762565;Krome Studios;Krome Studios;Windows;17 Sep, 2015;Action, Adventure, Indie;https://store.steampowered.com/app/287840/TY_the_Tasmanian_Tiger_4/;Unknown;Unknown;Unknown;Unknown;Unknown
TY the Tasmanian Tiger;Australia;G'day, Mate. Explore the wilds of Australia with TY the Tasmanian Tiger, the charming Aussie platformer.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/411960/header.jpg?t=1732762435;Krome Studios;Krome Studios;Windows;12 Dec, 2016;Action, Adventure, Indie;https://store.steampowered.com/app/411960/TY_the_Tasmanian_Tiger/;Unknown;Unknown;Unknown;Unknown;Unknown
World's Fastest Pizza;Australia;Head to Australia and use all the superpowers you can to deliver fast pizza! Watch out for pizza-haters though! World's Fastest Pizza: It's not easy, when your pizza is so cheesy...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/396260/header.jpg?t=1458038645;Oscar Brittain;Oscar Brittain;Windows;15 Mar, 2016;Action, Indie, Simulation;https://store.steampowered.com/app/396260/Worlds_Fastest_Pizza/;Unknown;Unknown;Unknown;Unknown;Unknown
iZBOT;Australia;iZBOT is fast paced, double jumping, wall sliding, edge of your seat platformer that delivers delicious bite sized challenging platforming levels while always keeping you in the action.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/388970/header.jpg?t=1693912847;Ruxar;Ruxar;Windows;1 Sep, 2015;Action, Indie;https://store.steampowered.com/app/388970/iZBOT/;Unknown;Unknown;Unknown;Unknown;Unknown
Duet;Australia;Elegant and minimal, Duet asks players simply to navigate two orbiting spheres past an increasingly complex maze of falling obstacles. As the difficulty increases, the tension mounts,...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/292600/header.jpg?t=1697670314;Kumobius;Kumobius;Windows, macOS, SteamOS + Linux;3 Aug, 2015;Action, Indie;https://store.steampowered.com/app/292600/Duet/;Unknown;Unknown;Unknown;Unknown;Unknown
Metrocide;Australia;A relentless top-down single-player arcade stealth-shooter where you play as contract killer T.J. Trench, seeking to buy your way out of Metro City, the cyberpunk dystopia where every...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/313130/header.jpg?t=1447362620;Flat Earth Games;Flat Earth Games;Windows, macOS;20 Oct, 2014;Indie;https://store.steampowered.com/app/313130/Metrocide/;Unknown;Unknown;Unknown;Unknown;Unknown
Don Bradman Cricket 14;Australia;The first thing to think about when you start playing Don Bradman Cricket 14 is to forget what you know about Cricket games and start afresh…it's cricket like you've never seen it b...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/216260/header.jpg?t=1447356227;Big Ant Studios;Big Ant Studios;Windows;26 Jun, 2014;Indie, Simulation, Sports;https://store.steampowered.com/app/216260/Don_Bradman_Cricket_14/;Unknown;Unknown;Unknown;Unknown;Unknown
Appointment with FEAR (Standalone);Australia;YOU are Titan City's resident superhero in this interactive graphic novel! Fight crime and solve clues to discover FEAR's fiendish plot!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/316140/header.jpg?t=1726385291;Tin Man Games;Tin Man Games;Windows, macOS, SteamOS + Linux;26 Aug, 2014;Adventure, Indie;https://store.steampowered.com/app/316140/Appointment_with_FEAR_Standalone/;Unknown;Unknown;Unknown;Unknown;Unknown
MacGuffin's Curse;Australia;Sneak and smash your way through this fiendishly addictive comedy-puzzle-adventure;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/58230/header.jpg?t=1647374087;Brawsome;Brawsome;Windows, macOS, SteamOS + Linux;19 Apr, 2012;Adventure, Casual, Indie;https://store.steampowered.com/app/58230/MacGuffins_Curse/;Unknown;Unknown;Unknown;Unknown;Unknown
Crawl;Australia;Crawl is the local multiplayer dungeon crawler where your friends control the monsters! Battle through dungeons and power up your hero - if a friend kills you they take your place and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/293780/header.jpg?t=1724996137;Powerhoof;Powerhoof;Windows, macOS, SteamOS + Linux;11 Apr, 2017;Action, Indie, RPG;https://store.steampowered.com/app/293780/Crawl/;Unknown;Unknown;Unknown;Unknown;Unknown
EPOCH;Australia;EPOCH - Post-apocalyptic Robot Combat;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/270510/header.jpg?t=1669095485;Uppercut Games Pty Ltd;Uppercut Games Pty Ltd;Windows;5 Jun, 2014;Action, Indie;https://store.steampowered.com/app/270510/EPOCH/;Unknown;Unknown;Unknown;Unknown;Unknown
