Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
.Forty-Five;Austria;A perfect mix of card game, rogue-lite, and pure wild west mayhem. Explore an ever-changing map, collect cards, and battle enemies. Cards are Bullets and are loaded into the revolver ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2691350/header.jpg?t=1711381424;Microwave Studios;Microwave Studios;Windows;24 Mar, 2024;Action, Adventure, Indie, Strategy;https://store.steampowered.com/app/2691350/FortyFive/;Unknown;;;;
10mg: Always Down;Austria;10mg is a collection of 10 minute long games. Always Down is about going away.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1101800/header.jpg?t=1602840909;10mg;Stuffed Wombat, Beethoven;Windows;16 Oct, 2020;Adventure, Indie;https://store.steampowered.com/app/1101800/10mg_Always_Down/;Unknown;;;;
A Webbing Journey;Austria;Adorable spider chaos! Swing around the house, weave crazy structures, play with physics-based objects, and pull off chores with nothing but your webs and your wits in this madcap san...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2073910/header.jpg?t=1746181674;Future Friends Games, Fire Totem Games;Fire Totem Games;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie, Simulation, Early Access;https://store.steampowered.com/app/2073910/A_Webbing_Journey/;Unknown;;;;
Alpaca Ball: Allstars ;Austria;Football with Alpacas! Bring the cup home in this hilarious and chaotic physics-based party game. Play with up to 8 players in versus mode, or tackle the career mode either solo or in...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1232640/header.jpg?t=1651870659;Leoful;Salt Castle Studio;Windows;15 Oct, 2020;Action, Adventure, Casual, Indie, Simulation, Sports;https://store.steampowered.com/app/1232640/Alpaca_Ball_Allstars/;Unknown;;;;
An Outcry;Austria;A branching-path narrative horror RPG set in Vienna, Austria. Guide the Unnamed through the worst night of their life: Harass your neighbours. Debate with birds. Smoke to survive.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1817470/header.jpg?t=1680651076;Quinn K.;Quinn K.;Windows;5 Jan, 2022;Adventure, Indie, RPG;https://store.steampowered.com/app/1817470/An_Outcry/;Unknown;;;;
And Yet It Moves;Austria;And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Le...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/18700/header.jpg?t=1726559494;Broken Rules;Broken Rules;Windows, macOS;2 Apr, 2009;Action, Indie;https://store.steampowered.com/app/18700/And_Yet_It_Moves/;Unknown;;;;
Ascendum;Austria;Help 2 twin vessels on their journey through the afterlife! Overcome platforming and mind-bending puzzle challenges, and defeat scary enemies and bosses while controlling both charact...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1504090/header.jpg?t=1703092034;Team Caecus;The Caecus;Windows;12 Apr, 2023;Adventure, Casual, Indie;https://store.steampowered.com/app/1504090/Ascendum/;Unknown;;;;
Avencast: Rise of the Mage;Austria;Play Avencast, the epic roguelike action-RPG with tons of combat moves, spells, and equipment. Fight against evil forces to save your academy and vanquish the darkness. As you progres...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/46410/header.jpg?t=1730734617;ClockStone;ClockStone;Windows;17 Mar, 2010;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/46410/Avencast_Rise_of_the_Mage/;Unknown;;;;
Black Forest;Austria;Danger, death, and despair define Black Forest. As the chief of an unlucky village, your goal is to survive. Gather resources, shore up the village, then survive the terrifying night....;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/523070/header.jpg?t=1746033159;Lemuria;Lemuria;Windows, macOS, SteamOS + Linux;25 Sep, 2023;Casual, Indie, Strategy, Free To Play;https://store.steampowered.com/app/523070/Black_Forest/;Unknown;;;;
Border Clash;Austria;Border Clash is a tactical, competitive Multiplayer strategy game with simultaneous turns, fast rounds and endless re-playability. Research technologies to develop a strategic advanta...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2467480/header.jpg?t=1726506963;Pascal Costa;Pascal Costa;Windows, macOS, SteamOS + Linux;To be announced;Strategy;https://store.steampowered.com/app/2467480/Border_Clash/;Unknown;;;;
