Name;;Country;;Description;;Thumbnail;;Publisher_Names;;Developer_Names;;Platform;;Steam_Link;;Release_Date;;Genre;;Epic_Link;;Playstation_Link;;Xbox_Link;;Switch_Link
Loot Stack - Relics Hunter;;Brazil;;Explore ancient dungeons, uncover hidden treasures, and master the art of inventory management as you organize, stack, and collect precious relics in 25 scenarios. Can you find them all...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3160710/header.jpg?t=1728915907;;Rising Moon Games;;Rising Moon Games;;Windows;;https://store.steampowered.com/app/3160710/Loot_Stack__Relics_Hunter/;;10 Oct, 2024;;Casual, Indie;;Unknown;;Unknown;;Unknown;;Unknown
Survivor's Dawn;;Brazil;;Survive in a challenging 2D zombie game! Face hordes of the undead, earn money by defeating them, and buy upgrades to increase your health, ammo, and more. How far can you go?;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3028880/header.jpg?t=1728517613;;MatheusDev;;MatheusDev;;Windows;;https://store.steampowered.com/app/3028880/Survivors_Dawn/;;22 Oct, 2024;;Action, Adventure, Indie, Early Access;;Unknown;;Unknown;;Unknown;;Unknown
Doodle Harmony Idle Merge;;Brazil;;Doodle Harmony Idle Merge is a cozy and relaxing idle game. Generate doodles or purchase them in the store. Customize your experience with a dark mode and a music selector. As you progr...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2949230/header.jpg?t=1728917589;;Rebelião Studio;;Rebelião Studio;;Windows;;https://store.steampowered.com/app/2949230/Doodle_Harmony_Idle_Merge/;;14 Oct, 2024;;Casual, Indie;;Unknown;;Unknown;;Unknown;;Unknown
Minha Casa;;Brazil;;Come with Robertha in this horror point'n'click about changes of life.;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3027470/header.jpg?t=1726199825;;Heavy & Salsa;;Pixel Temperado;;Windows;;https://store.steampowered.com/app/3027470/Minha_Casa/;;31 Oct, 2024;;Indie;;Unknown;;Unknown;;Unknown;;Unknown
Mechanines Tower Defense;;Brazil;;Position your EvoDogs against the threats of a machine-dominated future and enjoy this TOWER DEFENSE game with ROGUE-LITE elements!;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3095890/header.jpg?t=1728742212;;Flying Cakes Studios;;João Kecek & Camille Regel;;Windows;;https://store.steampowered.com/app/3095890/Mechanines_Tower_Defense/;;4 Oct, 2024;;Casual, Indie, Strategy;;Unknown;;Unknown;;Unknown;;Unknown
Dark Light;;Brazil;;Mio is a young girl surrounded by death, and after an unexpected accident, she finds out where people go after they die. Maybe Heaven, or Hell...or an Underworld full of demons and myst...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2756910/header.jpg?t=1727891032;;ZNT Productions;;Usagygy;;Windows;;https://store.steampowered.com/app/2756910/Dark_Light/;;23 Oct, 2024;;Adventure, Indie, RPG, Free To Play;;Unknown;;Unknown;;Unknown;;Unknown
Prison Alone;;Brazil;;A psychological horror game with NO jumpscares. Feel the tension and suspense, get goosebumps, experience strange frightening events, and explore, look for keys, solve puzzles, while th...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3087680/header.jpg?t=1727470306;;Farmando XP;;Gaister Studios;;Windows;;https://store.steampowered.com/app/3087680/Prison_Alone/;;27 Sep, 2024;;Adventure, Indie;;Unknown;;Unknown;;Unknown;;Unknown
TEOCIDA;;Brazil;;Solve riddles, puzzles and platforming challenges as you descend the cryptic pathways of a distorted microcosm reality fueled by a symbolic landscape of faith and erotic nightmares.;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1569470/header.jpg?t=1721703515;;Vikintor Interactive;;Vikintor;;Windows;;https://store.steampowered.com/app/1569470/TEOCIDA/;;24 Dec, 2021;;Action, Adventure;;Unknown;;Unknown;;Unknown;;Unknown
Estigma [Steam Edition];;Brazil;;Imagine Q-Bert + Pacman but with surrealistic horror aesthetics...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1495640/header.jpg?t=1615408900;;Vikintor Interactive;;Vikintor;;Windows;;https://store.steampowered.com/app/1495640/Estigma_Steam_Edition/;;23 Dec, 2020;;Action, Casual, Free To Play, Indie;;Unknown;;Unknown;;Unknown;;Unknown
Clock Overwhelmed;;Brazil;;Organize tasks within your routine, but be careful not to overlap activities and get overwhelmed!;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1646520/header.jpg?t=1724071695;;Hanoi Studios;;Hanoi Studios;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/1646520/Clock_Overwhelmed/;;2027;;Action, Casual;;Unknown;;Unknown;;Unknown;;Unknown
