Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Absolute Drift;Canada;Absolute Drift is a racing game about becoming a master at the art of drifting.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/320140/header.jpg?t=1738073361;Funselektor Labs Inc.;Funselektor Labs Inc., FlippFly;Windows, macOS, SteamOS + Linux;29 Jul, 2015;Action, Casual, Indie, Racing, Simulation, Sports;https://store.steampowered.com/app/320140/Absolute_Drift/;Unknown;Unknown;Unknown;Unknown;Unknown
Aces of the Galaxy™;Canada;3, 2, 1 Blast-Off! Launch yourself into the intense space-shooter Aces of the Galaxy™ � A non-stop, old-school arcade thrill-ride for the 21st century and beyond. Utilize an impre...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/10120/header.jpg?t=1534443559;Activision;Artech Studios;Windows;4 Jun, 2008;Action, Casual;https://store.steampowered.com/app/10120/Aces_of_the_Galaxy/;Unknown;Unknown;Unknown;Unknown;Unknown
Airport Madness: World Edition;Canada;Insanely addictive, easy to learn, impossible to master! Airport Madness is an airport strategy game. Designed by real air traffic controllers, Airport Madness captures the fun aspect...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/369290/header.jpg?t=1463875741;Big Fat Simulations Inc.;Big Fat Simulations Inc.;Windows, macOS;28 May, 2015;Adventure;https://store.steampowered.com/app/369290/Airport_Madness_World_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Arcadecraft;Canada;Enter the exciting world of Arcade ownership! Play through the 1980's arcade revolution by buying arcade machines for your customers to play! Customize your arcade to increase its pop...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/297330/header.jpg?t=1447361590;Firebase Industries Ltd.;Firebase Industries Ltd.;Windows;22 May, 2014;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/297330/Arcadecraft/;Unknown;Unknown;Unknown;Unknown;Unknown
Assassin's Creed™: Director's Cut Edition;Canada;Assassin's Creed™ is the next-gen game developed by Ubisoft Montreal that redefines the action genre. While other games claim to be next-gen with impressive graphics and physics, As...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/15100/header.jpg?t=1602600542;Ubisoft;Ubisoft Montreal;Windows;9 Apr, 2008;Action, Adventure;https://store.steampowered.com/app/15100/Assassins_Creed_Directors_Cut_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Bardbarian;Canada;You play as Brad the barbarian, who is awoken to the sounds of his town under siege. Today is different though, Brad has grown tired of fighting all the time. The usual grind for XP h...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/269490/header.jpg?t=1469579820;TreeFortress Games;TreeFortress Games;Windows, macOS;1 Apr, 2014;Action, Adventure, Casual, Indie, RPG, Strategy;https://store.steampowered.com/app/269490/Bardbarian/;Unknown;Unknown;Unknown;Unknown;Unknown
BeatBlasters III;Canada;Welcome to Accapella! When Joey and Gina arrive in the musically starved town that outlawed groovy tunes, a chance encounter with the music hating tyrannical ruler of the town (and lo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/246800/header.jpg?t=1447358346;Chainsawesome Games;Chainsawesome Games;Windows, macOS, SteamOS + Linux;21 Feb, 2014;Action, Indie;https://store.steampowered.com/app/246800/BeatBlasters_III/;Unknown;Unknown;Unknown;Unknown;Unknown
Big Action Mega Fight!;Canada;Big Action Mega Fight! is a classic single player beat 'em up/brawler with a modern twist! Hilarious 2D cartoon combat inspired by Streets of Rage, Final Fight, Turtles in Time and Ba...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/357120/header.jpg?t=1676303105;Double Stallion;Double Stallion;Windows, macOS;12 Jan, 2016;Action, Indie;https://store.steampowered.com/app/357120/Big_Action_Mega_Fight/;Unknown;Unknown;Unknown;Unknown;Unknown
Bully: Scholarship Edition;Canada;Bully tells the story of mischievous 15-year-old Jimmy Hopkins as he goes through the hilarity and awkwardness of adolescence. Beat the jocks at dodge ball, play pranks on the preppie...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/12200/header.jpg?t=1741118085;Rockstar Games;Rockstar New England;Windows;21 Oct, 2008;Action, Adventure;https://store.steampowered.com/app/12200/Bully_Scholarship_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Capsized;Canada;Capsized is a fast paced 2D platformer focused on intense action and exploration. As a intrepid space traveler, your ship has crash landed on a mysterious alien planet. You must navig...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/95300/header.jpg?t=1576348163;Alientrap;Alientrap;Windows, macOS, SteamOS + Linux;29 Apr, 2011;Action, Indie;https://store.steampowered.com/app/95300/Capsized/;Unknown;Unknown;Unknown;Unknown;Unknown
Company of Heroes - Legacy Edition;Canada;Delivering a visceral WWII gaming experience, Company of Heroes redefines RTS by bringing the sacrifice of heroic soldiers, war-ravaged environments, and dynamic battlefields to life....;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/4560/header.jpg?t=1573488196;SEGA;Relic Entertainment;Windows;11 Sep, 2006;Action, Strategy;https://store.steampowered.com/app/4560/Company_of_Heroes__Legacy_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Contrast;Canada;CONTRAST is a puzzle/platform game where you can move between a fantastic 3D world and a mysterious shadowy universe in 2D in the blink of an eye. Delve into a dreamlike and surreal 1...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/224460/header.jpg?t=1697238477;Compulsion Games;Compulsion Games;Windows;15 Nov, 2013;Adventure, Indie;https://store.steampowered.com/app/224460/Contrast/;Unknown;Unknown;Unknown;Unknown;Unknown
Critter Crunch;Canada;Using Critter Crunch's 'Food Chain' mechanic, players will eat their way through a smorgasbord of levels and gorge on a feast of modes, including Co-op and Versus multiplayer.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/61730/header.jpg?t=1746133598;Capybara Games;Capybara Games;Windows, macOS;11 Sep, 2012;Action, Casual, Indie;https://store.steampowered.com/app/61730/Critter_Crunch/;Unknown;Unknown;Unknown;Unknown;Unknown
DLC Quest;Canada;What happens when DLC practices go too far? An indie developer makes a game that mocks the industry and its foibles, that's what! Defeat the bad guy, save the world and get the girl! ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/230050/header.jpg?t=1668113649;Going Loud Studios;Going Loud Studios;Windows, macOS;18 Mar, 2013;Indie;https://store.steampowered.com/app/230050/DLC_Quest/;Unknown;Unknown;Unknown;Unknown;Unknown
