Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
JanKenUP!;Chile;How far can you go up? Play rock, paper, and scissors while riding an elevator with no maximum floor.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3205560/header.jpg?t=1731702354;Humita Games;Humita Games;Windows;To be announced;Casual, Indie, Strategy;https://store.steampowered.com/app/3205560/JanKenUP/;Unknown;Unknown;Unknown;Unknown;Unknown
Kenosis: The Liminal Tapes;Chile;Enjoy this single player horror experiences to explore, solve puzzles, find recordings and documents with lore, escape the monster, and try to find your way out of the creepy places o...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1946320/header.jpg?t=1727189209;DeadlyCrow Games;DeadlyCrow Games;Windows;To be announced;Adventure, Free To Play, Indie;https://store.steampowered.com/app/1946320/Kenosis_The_Liminal_Tapes/;Unknown;Unknown;Unknown;Unknown;Unknown
Horror Night;Chile;A new multiplayer, third-person, horror experience: Escape from an appaling environment by solving different puzzles with the help of your friends, and hiding from a hideous monster.....;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1721350/header.jpg?t=1732666899;DeadlyCrow Games;DeadlyCrow Games;Windows;To be announced;Adventure, Casual, Early Access;https://store.steampowered.com/app/1721350/Horror_Night/;Unknown;Unknown;Unknown;Unknown;Unknown
Escape the Ayuwoki DEMAKE;Chile;Re-experience the classic Escape the Ayuwoki adventure through this Demake, solving more complex puzzles and exploring new places with the old camera angles of 90’s horror games.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1946310/header.jpg?t=1732666970;DeadlyCrow Games;DeadlyCrow Games;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/1946310/Escape_the_Ayuwoki_DEMAKE/;Unknown;Unknown;Unknown;Unknown;Unknown
Escape the Ayuwoki;Chile;"Escape The Ayuwoki is a first person horror-adventure videogame, in which you need to escape from a haunted mansion as quiet as possible, to evade the hideous creature called ""The Ayu...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1177660/header.jpg?t=1732666856;DeadlyCrow Games;DeadlyCrow Games;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/1177660/Escape_the_Ayuwoki/;Unknown;Unknown;Unknown;Unknown;Unknown
The Mound: Omen of Cthulhu;Chile;In up to four player co-op, form a group of explorers searching for treasure. In this cursed jungle, danger is everywhere and monstrous creatures alter reality. Stay clear-headed and ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2569760/header.jpg?t=1741960622;Nacon;ACE Team;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/2569760/The_Mound_Omen_of_Cthulhu/;Unknown;Unknown;Unknown;Unknown;Unknown
The Rangers In The South;Chile;Purge the lands in this 2.5D HD Pixelart RogueLike ARPG! Create hundreds of characters with unique strategies and abilities, face hordes of enemies, explore different biomes, procedur...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3074110/header.jpg?t=1744639974;DPA Studios;DPA Studios;Windows;To be announced;Action, Indie, RPG;https://store.steampowered.com/app/3074110/The_Rangers_In_The_South/;Unknown;Unknown;Unknown;Unknown;Unknown
Rebel Roar;Chile;Rebel Roar is a tactical roguelike deckbuilder set in an animal cyberpunk universe. Lead a group of heroic freedom fighters, in a revolution against the evil human corporations. Combi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3062700/header.jpg?t=1734653966;RockGame S.A.;Fridus;Windows;To be announced;Strategy;https://store.steampowered.com/app/3062700/Rebel_Roar/;Unknown;Unknown;Unknown;Unknown;Unknown
Hare 136;Chile;Drag adorable coin-riding rabbits and slide them across the board. Solve engaging cozy puzzles. Help our little fluffy friends get back to their home!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2382710/header.jpg?t=1739323548;Haremonic Games;Haremonic Games;Windows, SteamOS + Linux;To be announced;Casual, Indie;https://store.steampowered.com/app/2382710/Hare_136/;Unknown;Unknown;Unknown;Unknown;Unknown
Abducted: The Night Hunters;Chile;Abducted: The Night Hunters is a horror-survival game where you must evade the relentless Grays and other enemies in the isolated Canela County. Gather resources, explore, and manage ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1425190/header.jpg?t=1730300418;.Cat;.Cat;Windows;To be announced;Action, Indie, Simulation, Early Access;https://store.steampowered.com/app/1425190/Abducted_The_Night_Hunters/;Unknown;Unknown;Unknown;Unknown;Unknown
VETITUM_VRC;Chile;Explore all the video tapes about the forest and the paranormal activities that happen, discover all the secrets by controlling who records these videos in a first person experience. ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3182200/header.jpg?t=1741144401;Astral Dream Team, WilliamsMyGL;WilliamsMyGL;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3182200/VETITUM_VRC/;Unknown;Unknown;Unknown;Unknown;Unknown
Bubblegum Galaxy;Chile;Bubblegum Galaxy is a cozy narrative building game about rebuilding the galaxy tile by tile. Discover and design new planets, complete missions, explore your office and befriend your ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1989120/header.jpg?t=1745228815;Astrolabe Games;Smarto Club;Windows;To be announced;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/1989120/Bubblegum_Galaxy/;Unknown;Unknown;Unknown;Unknown;Unknown
The Amazing Crackpots Club!;Chile;A spellslinging dueling game for up to 4 players. Choose among seven cracked mages and use their unique abilities to shoot down your opponent’s magical flask while defending yours! ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2474020/header.jpg?t=1739153432;IguanaBee;Astrobard Games, IguanaBee;Windows;To be announced;Action, Indie, Sports, Early Access;https://store.steampowered.com/app/2474020/The_Amazing_Crackpots_Club/;Unknown;Unknown;Unknown;Unknown;Unknown
Cozy Dungeons;Chile;Explore deadly dungeons, clear them out of enemies and renovate them in Cozy Dungeons, a one-of-a-kind adventure/interior design game!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2377600/header.jpg?t=1736370420;Them Handsome Fellas;Them Handsome Fellas;Windows;To be announced;Adventure, Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/2377600/Cozy_Dungeons/;Unknown;Unknown;Unknown;Unknown;Unknown
Astral Rot;Chile;Astral Rot is a fixed camera, survival horror sci-fi game by the co-creators of Tormented Souls. You play as Adler, a space mining engineer, that will have to face impossible choices ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2474170/header.jpg?t=1743217498;Abstract Digital;Abstract Digital;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/2474170/Astral_Rot/;Unknown;Unknown;Unknown;Unknown;Unknown
Curilemu;Chile;Curilemu is an adventure-horror game inspired by the myths and legends of Chilean Patagonia. Immerse yourself in a haunting world filled with Lovecraftian horrors and ancient mysterie...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2362780/header.jpg?t=1729367624;Austral Games;Austral Games, Abstract Digital;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/2362780/Curilemu/;Unknown;Unknown;Unknown;Unknown;Unknown
The Midnight Crimes;Chile;Point-&-Click Adventure with Deck-builder Cards Combat, Play as a retired detective investigating a missing child case while facing your past demons. Explore Midnight Cove, Victorian ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2277870/header.jpg?t=1737342005;DeadlyCrow Games;DeadlyCrow Games;Windows;To be announced;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/2277870/The_Midnight_Crimes/;Unknown;Unknown;Unknown;Unknown;Unknown
Sky Oceans: Wings for Hire;Chile;Sky Oceans: Wings For Hire is a homage to JRPG classics! Set in the open skies, experience adrenaline-filled turn-based dogfights as you take the role of captain and unite a party of ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1691750/header.jpg?t=1741788922;PQube;Octeto Studios;Windows;To be announced;RPG;https://store.steampowered.com/app/1691750/Sky_Oceans_Wings_for_Hire/;Unknown;Unknown;Unknown;Unknown;Unknown
Devils Wind Mine;Chile;Devil's Wind Mine is a game where you play as an engineer controlling the pumps, seeking to save the son of a desperate mother. You are the decider of this story. It is your duty, as ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2885700/header.jpg?t=1712754420; Brøwn Marcó Studios ;Brøwn Marcó Studios;Windows;To be announced;Casual, Indie, Strategy, Free To Play;https://store.steampowered.com/app/2885700/Devils_Wind_Mine/;Unknown;Unknown;Unknown;Unknown;Unknown
La Sombra;Chile;"With the help of a device capable of hacking different electronics, the cat burglar known as ""La sombra"" must sneak around through a building ridden by terrorist, Now she must choose ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2089040/header.jpg?t=1736012049;byDanDans;byDanDans;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/2089040/La_Sombra/;Unknown;Unknown;Unknown;Unknown;Unknown
The Eternal Cylinder;Chile;Control a herd of charming creatures called Trebhum and explore an unforgettable alien world filled with exotic lifeforms and surreal environments. Discover dozens of mutations to ove...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/865680/header.jpg?t=1728690515;Good Shepherd Entertainment;ACE Team;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/865680/The_Eternal_Cylinder/;Unknown;Unknown;Unknown;Unknown;Unknown
Tormented Souls 2;Chile;Caroline Walker is back in an award-winning classic survival horror sequel. Explore eerie monasteries and other nightmarish locations. Brace yourself and confront terrifying creatures...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2464280/header.jpg?t=1745328031;PQube;Dual Effect;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/2464280/Tormented_Souls_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Wekufu;Chile;A Dark, Hand Drawn 2D Hack and Slash Platformer. Play as Sakinko, a young warrior set on a quest to avenge her father’s death and protect her people from the evil spirits that now m...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1857000/header.jpg?t=1724880007;Stickerb Games E.I.R.L.;Stickerb Games E.I.R.L.;Windows, macOS;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1857000/Wekufu/;Unknown;Unknown;Unknown;Unknown;Unknown
Nocturia The Game;Chile;Trapped in total darkness, you’re a helpless kid, alone and hunted by something lurking in the shadows. Solve puzzles, navigate shifting rooms, and uncover creepy secrets. Your wors...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2355440/header.jpg?t=1734569361;BrossLab;BrossLab;Windows;To be announced;Adventure, Casual, Indie, Strategy, Early Access;https://store.steampowered.com/app/2355440/Nocturia_The_Game/;Unknown;Unknown;Unknown;Unknown;Unknown
Hoping Forest;Chile;Help the little frog to safely reach the other side avoiding the hazards and dangers within the forest. Move the tiles around you to find one of the hidden paths that will lead you to...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2268250/header.jpg?t=1694753899;Arthemy Studios;Arthemy Studios;Windows;To be announced;Casual, Indie, Strategy;https://store.steampowered.com/app/2268250/Hoping_Forest/;Unknown;Unknown;Unknown;Unknown;Unknown
Ehandcipation;Chile;Shoot'em up brawler! 1-4 players. Gather power ups, become the final boss of this bullet hell arena and keep your enemies in the palm of your hand!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1079730/header.jpg?t=1739156069;Sincopar;Sincopar Games;Windows;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/1079730/Ehandcipation/;Unknown;Unknown;Unknown;Unknown;Unknown
Dandi World;Chile;The world of the arts has been invaded by a villain who hates artistic expressions and wants to destroy them. Embark on this adventure to save the world of the arts and rescue the Dan...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949720/header.jpg?t=1684956204;Trialis Studios;Trialis Studios, Ruken Games;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/1949720/Dandi_World/;Unknown;Unknown;Unknown;Unknown;Unknown
The Runemaster's Diary;Chile;Explore environments full of secrets and meet quirky characters in this short rpg. Collect items, use them in battle and to get access to different places. And most importantly, help ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1676610/header.jpg?t=1698073787;tomyatemo;tomyatemo;Windows;To be announced;RPG;https://store.steampowered.com/app/1676610/The_Runemasters_Diary/;Unknown;Unknown;Unknown;Unknown;Unknown
Clash: Artifacts of Chaos;Chile;Hunted by mercenaries of an enemy with untold power, the fighter Pseudo and the creature under his protection begin a perilous quest to the edges of strange lands.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1430680/header.jpg?t=1726215754;Nacon;ACE Team;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1430680/Clash_Artifacts_of_Chaos/;Unknown;Unknown;Unknown;Unknown;Unknown
Myths and Legends - Card Game;Chile;Battle other Guardians leading your favorite mythological, historical and literary characters in this adaptation of the popular TCG game Myths and Legends. Collect the cards, build th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1005340/header.jpg?t=1615831527;Salo;Salo;Windows, macOS;To be announced;Casual, Free To Play, Indie, Strategy, Early Access;https://store.steampowered.com/app/1005340/Myths_and_Legends__Card_Game/;Unknown;Unknown;Unknown;Unknown;Unknown
R.T.O. Tales of the Dark Lands - Deluxe Edition;Chile;R.T.O. Deluxe Edition Platform action retro 16-bit style.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1561990/header.jpg?t=1682376198;Animas Games;Animas Games;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1561990/RTO_Tales_of_the_Dark_Lands__Deluxe_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Brutal Dinosaur;Chile;Brutal Dinosaur is a game that mixes two styles of games, beat em up and shooter in a unique way.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1405360/header.jpg?t=1702402266;Animas Games;Animas Games;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1405360/Brutal_Dinosaur/;Unknown;Unknown;Unknown;Unknown;Unknown
The Signifier Director's Cut;Chile;This story-driven adventure follows a mystery of death and despair from reality into the surreal realms of objective memories and subjective experiences. Search the mind, solve puzzle...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1082930/header.jpg?t=1709551425;Raw Fury;Playmestudio;Windows, macOS;To be announced;Adventure, Indie;https://store.steampowered.com/app/1082930/The_Signifier_Directors_Cut/;Unknown;Unknown;Unknown;Unknown;Unknown
Insanus Express;Chile;In Insanus express you will manage an express psychiatric clinic with a crazy staff! The game consists of overcoming different scenarios while trying to keep it all under control. But...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1009390/header.jpg?t=1557161841;Cienart Studios;Cienart Studios;Windows, macOS;To be announced;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/1009390/Insanus_Express/;Unknown;Unknown;Unknown;Unknown;Unknown
Teacup;Chile;Teacup is a short and wholesome narrative adventure game with a focus on exploration and non-linear progression. Help a small and shy frog on her journey to find the ingredients she n...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1444300/header.jpg?t=1729016732;Whitethorn Games;Smarto Club;Windows;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/1444300/Teacup/;Unknown;Unknown;Unknown;Unknown;Unknown
四魂-X Shikon-X Astro Defense Fortress;Chile;Shikon-X is an intergalactic point and click adventure without any actual pointing or clicking! Set out on an epic quest to unravel the mysteries behind the war against humanity. Even...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1298270/header.jpg?t=1723800291;Treasure Boy;Kindermann Corp.;Windows;To be announced;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/1298270/X_ShikonX_Astro_Defense_Fortress/;Unknown;Unknown;Unknown;Unknown;Unknown
PIXELMAN;Chile;PIXELMAN is a retro styled, action-filled, high-score chaser arcade game, where you control the title character in his mission to rescue the citizens of Pixville from the evil Baron V...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/438000/header.jpg?t=1666986625;Kindermann Corp.;Kindermann Corp.;Windows;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/438000/PIXELMAN/;Unknown;Unknown;Unknown;Unknown;Unknown
Super Shooter;Chile;"Super Shooter is an all-new FPS game where players use an experimental tool to activate unique stage elements, solve puzzles, and propel themselves through the air (""rocket jumping"")....";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1699380/header.jpg?t=1736012037;byDanDans;byDanDans;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1699380/Super_Shooter/;Unknown;Unknown;Unknown;Unknown;Unknown
Kamyla and the Scarlet Mage;Chile;Kamyla and the Scarlet Mage is a story-driven action platformer game. Help Kamyla fight diverse adversaries and find her purpose in life by exploring the world, locating her memories ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1799900/header.jpg?t=1715206244;Onigiri Games;Onigiri Games;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1799900/Kamyla_and_the_Scarlet_Mage/;Unknown;Unknown;Unknown;Unknown;Unknown
What Lies in the Multiverse;Chile;A bombastic puzzle platformer about worlds turned inside out. Shift dimensions at the push of a button, solve brain-twisting logistical riddles, and race through the wilds of the mult...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1721170/header.jpg?t=1737144982;Untold Tales, Doyoyo Games;Studio Voyager, IguanaBee;Windows;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/1721170/What_Lies_in_the_Multiverse/;Unknown;Unknown;Unknown;Unknown;Unknown
Tormented Souls;Chile;Classic survival horror is back! Inspired by the original Resident Evil and Alone in the Dark series, Tormented Souls modernises with a fresh twist on the fixed perspective adventure ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1367590/header.jpg?t=1741787669;PQube;Dual Effect, Abstract Digital;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/1367590/Tormented_Souls/;Unknown;Unknown;Unknown;Unknown;Unknown
