Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
4Prot;Colombia;4Prot is an interactive prototyping laboratory that allows you to create virtual spaces for students and professionals to creatively build different types of prototypes. The free vers...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1632020/header.jpg?t=1739972593;VR Labs;VR Labs;Windows, macOS;9 Aug, 2021;RPG, Simulation, Strategy, Free To Play;https://store.steampowered.com/app/1632020/4Prot/;Unknown;Unknown;Unknown;Unknown;Unknown
Ananias Roguelike;Colombia;Explore five ancient realms fighting their monstrous inhabitants in this turn based, graphical classic roguelike. Every time you play the game will create new places full of challenge...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/372080/header.jpg?t=1634349389;Slashware Interactive;Slashware Interactive;Windows, macOS, SteamOS + Linux;9 Feb, 2017;Indie, RPG, Strategy;https://store.steampowered.com/app/372080/Ananias_Roguelike/;Unknown;Unknown;Unknown;Unknown;Unknown
ANIQUILATION;Colombia;Twin Stick Shooter Multiplayer Action Game set in small planets that can be terraformed as you play! in which not only your shoots, but also the enemies and planet environment are you...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1633300/header.jpg?t=1745568370;Gamirror Games;R-Next;Windows, macOS;28 Jul, 2022;Action;https://store.steampowered.com/app/1633300/ANIQUILATION/;Unknown;Unknown;Unknown;Unknown;Unknown
Brick Building;Colombia;It´s ideal for collaborative works with students and teachers of universities and colleges, because it’s disruptive and transversal tool for many subjects.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1352440/header.jpg?t=1612915418;VR Labs;VR Labs;Windows, macOS;27 Jul, 2020;RPG, Simulation, Strategy;https://store.steampowered.com/app/1352440/Brick_Building/;Unknown;Unknown;Unknown;Unknown;Unknown
Captain ToonHead vs the Punks from Outer Space;Colombia;Ever wanted to beat a T-Rex up with a chancla, while building powerful towers that shoot piñatas, hot sauce and heat-seeking fireworks? Captain ToonHead is the VR tower defense game ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/942390/header.jpg?t=1684425980;Teravision Games;Teravision Games;Windows;11 Nov, 2021;Action, Adventure, Indie, Strategy;https://store.steampowered.com/app/942390/Captain_ToonHead_vs_the_Punks_from_Outer_Space/;Unknown;Unknown;Unknown;Unknown;Unknown
Cris Tales;Colombia;Cris Tales is a gorgeous, indie love letter to classic JRPGs with a new perspective. Peer into the past, act in the present, and watch as your choices dynamically change the future --...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1079830/header.jpg?t=1725488072;Maximum Entertainment;Dreams Uncorporated, SYCK;Windows;20 Jul, 2021;Action, Adventure, RPG;https://store.steampowered.com/app/1079830/Cris_Tales/;Unknown;Unknown;Unknown;Unknown;Unknown
Cryogenesis;Colombia;An exploration, mystery and science fiction game in which you must discover who you are and why you woke up in the future where the human race has apparently become extinct. Solve puz...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2090200/header.jpg?t=1699914228;Remainder Studios;Remainder Studios;Windows;7 Mar, 2023;Action, Adventure, Indie;https://store.steampowered.com/app/2090200/Cryogenesis/;Unknown;Unknown;Unknown;Unknown;Unknown
Deadly Forest;Colombia;Horror adventure game where you need to explore and discover the mistery of the area;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1388910/header.jpg?t=1688594221;Rpg Adventures;Rpg Adventures;Windows;29 Aug, 2020;Action, Adventure;https://store.steampowered.com/app/1388910/Deadly_Forest/;Unknown;Unknown;Unknown;Unknown;Unknown
Deadly Station;Colombia;Discover thet dark story of this space station and find a way out.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/850310/header.jpg?t=1584488310;RPG Adventures Team;RPG Adventures Team;Windows;1 Mar, 2020;Action, Adventure;https://store.steampowered.com/app/850310/Deadly_Station/;Unknown;Unknown;Unknown;Unknown;Unknown
Deborg Desolation Pre-Born;Colombia;Deborg Desolation is a first-person indie game intended for the survival of mankind. Train to be a soldier capable of containing any injurious entity to achieve the survival of your o...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1806830/header.jpg?t=1701097900;Deborg Desolation ;Deborg Desolation;Windows;2 Dec, 2021;Action, Adventure;https://store.steampowered.com/app/1806830/Deborg_Desolation_PreBorn/;Unknown;Unknown;Unknown;Unknown;Unknown
Decoherence;Colombia;Build robots, devise a battle plan and fight alongside them!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/561660/header.jpg?t=1706791476;Efecto Estudios SAS;Efecto Studios;Windows;28 Oct, 2021;Action, Indie, Strategy, Free To Play;https://store.steampowered.com/app/561660/Decoherence/;Unknown;Unknown;Unknown;Unknown;Unknown
EGOS - Tales of Fallen Souls;Colombia;"EGOS is an adventure, where you will have to save the kingdom of Talia while facing enemies and solving puzzles. The protagonist is a ""Soul"" in a false body,""Egos"", who must return to...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/619340/header.jpg?t=1678993380;NEZOS GAMES;NEZOS GAMES;Windows, SteamOS + Linux;27 Jul, 2017;Adventure, Casual, Indie, Early Access;https://store.steampowered.com/app/619340/EGOS__Tales_of_Fallen_Souls/;Unknown;Unknown;Unknown;Unknown;Unknown
Event-D;Colombia;Sci-fi Visual Novel (Linear Story). A group of astronauts, scientists and robots is sent to space on a mission to investigate the disturbing disappearance of the first manned spaceshi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/949670/header.jpg?t=1667079450;Freedintale Studio;Freedintale Studio;Windows;17 Dec, 2018;Adventure;https://store.steampowered.com/app/949670/EventD/;Unknown;Unknown;Unknown;Unknown;Unknown
