Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Birdcakes;Costa Rica;"""Ptooey! Ptooey! Ptooey!” - That´s the glorious sound of bullets in this 2D shooter platformer! Step in a world of state-of-the-art Cupcakes weaponry! After a picnic went horribly ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/699230/header.jpg?t=1561950277;Green Lava Studios;Green Lava Studios;Windows;29 May, 2018;Action, Indie;https://store.steampowered.com/app/699230/Birdcakes/;Unknown;https://store.playstation.com/en-us/concept/231242;;;
Color Guardians;Costa Rica;Color Guardians is an exciting fast action side scrolling game that combines quick thinking with frantic gameplay into a hard to master challenge! Switching colors and collecting item...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/336840/header.jpg?t=1601719916;Niffler Ltd.;Fair Play Labs;Windows, macOS;12 May, 2015;Action, Indie;https://store.steampowered.com/app/336840/Color_Guardians/;Unknown;;;;
Cubiti pARti;Costa Rica;Cubiti pARti Supports Tilt Five! Level up your game night with tabletop holograms! Master fun minigames in real-time online multiplayer action against your friends!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1525990/header.jpg?t=1676024063;Snackbox Games;Sunna Entertainment;Windows;20 Dec, 2022;Casual, Indie, Sports;https://store.steampowered.com/app/1525990/Cubiti_pARti/;Unknown;;;;
Dark Space Conqueror;Costa Rica;An epic combat strategy game in which your strategy and robots strength will define your destiny over the fight against other commanders. Attack planets to obtain resources or destroy...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1079780/header.jpg?t=1599692189;Nelson Vargas Castro;Nelson Vargas Castro;Windows;15 Mar, 2020;Indie, Strategy;https://store.steampowered.com/app/1079780/Dark_Space_Conqueror/;Unknown;;;;
Dream Tale;Costa Rica;Help Julia find Fifo by going through 4 magical worlds in this classic platform game!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/337450/header.jpg?t=1574194459;Strategy First;Green Lava Studios;Windows;16 Dec, 2014;Casual, Indie;https://store.steampowered.com/app/337450/Dream_Tale/;Unknown;;;;
Drekirokr - Dusk of the Dragon;Costa Rica;A classic-inspired RPG set in a post-apocaliptic world.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1280700/header.jpg?t=1591818655;Ragnarökr Project;Ragnarökr Project;Windows;10 Jun, 2020;Indie, RPG, Early Access;https://store.steampowered.com/app/1280700/Drekirokr__Dusk_of_the_Dragon/;Unknown;;;;
Extinction Eclipse;Costa Rica;You are in command of the human fleet, searching for asteroids to mine, extract resources and build bases and more ships to defeat aliens invaders. This simple and short action RTS ha...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1961250/header.jpg?t=1725919689;TuanisApps;TuanisApps;Windows, macOS, SteamOS + Linux;17 Nov, 2022;Action, Indie, Strategy;https://store.steampowered.com/app/1961250/Extinction_Eclipse/;Unknown;;;https://www.nintendo.com/us/store/products/extinction-eclipse-switch/;
Fenix Box;Costa Rica;This is a hardcore minimalist 2D platformer that tests how much of a hardcore gamer you are.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774891/header.jpg?t=1561950655;Green Lava Studios;Green Lava Studios;Windows;12 Jan, 2018;Action, Indie;https://store.steampowered.com/app/774891/Fenix_Box/;Unknown;;;;
Fenix Rage;Costa Rica;Fenix’s village was decimated by a huge explosion, leaving only our hero and the mysterious Oktarus. As Fenix, track down this shadowy villain through nine worlds, defeating brutal ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294460/header.jpg?t=1666992844;Reverb Triple XP;Green Lava Studios;Windows;24 Sep, 2014;Action, Adventure, Indie;https://store.steampowered.com/app/294460/Fenix_Rage/;Unknown;;;;
G.I. Joe: Operation Blackout;Costa Rica;G.I. Joe and Cobra are back! G.I. Joe: Operation Blackout is a classic team-based third-person shooter where you play as your favorite characters from Team G.I. Joe and Team Cobra.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1432220/header.jpg?t=1735656152;GameMill Entertainment;IguanaBee, Fair Play Labs;Windows;14 Dec, 2020;Action;https://store.steampowered.com/app/1432220/GI_Joe_Operation_Blackout/;Unknown;;;;
Hookbots;Costa Rica;CRAFT BOTS & BATTLE FRIENDS! 99 ways to customize your bots & 14 game modes. From knights and dinosaurs, to bounty hunters and space warriors. Choose, customize and crush tons of diff...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/668650/header.jpg?t=1567745525;Tree Interactive;Tree Interactive;Windows, macOS;28 Aug, 2019;Action, Casual, Indie;https://store.steampowered.com/app/668650/Hookbots/;Unknown;https://store.playstation.com/en-us/product/UP5061-CUSA16588_00-HOOKBOTS00000000/;;https://www.nintendo.com/us/store/products/hookbots-switch/;
LEZ;Costa Rica;LEZ is a rhythm game in the style of osu!mania with 6 keys. It's an indie game made by only one person in July 2020 with the goal to make a rhythm game with an unique design.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1857370/header.jpg?t=1745457064;Daztrax Studios;Daztrax Studios;Windows;27 May, 2022;Casual, Indie, Free To Play, Early Access;https://store.steampowered.com/app/1857370/LEZ/;Unknown;;;;
Lithium: Inmate 39;Costa Rica;Lithium Inmate 39 is a platform and 3D puzzle game for horror genre. It tells the story of a psychiatric patient who must find the way back to his origins, discovering his past and ge...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/463470/header.jpg?t=1567617430;Canu Arts;Canu Arts;Windows;25 Oct, 2016;Action, Adventure, Indie, Strategy;https://store.steampowered.com/app/463470/Lithium_Inmate_39/;Unknown;https://store.playstation.com/en-us/concept/224881/;;;
