Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Detective's Novel;Croatia;On a cold November night in a desolate estate deep in the mountains an innocent life has prematurely perished and its up to the player to find out who did it.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/503820/header.jpg?t=1469735483;Amaterasu Software;Amaterasu Software;Windows;28 Jul, 2016;Adventure, Indie;https://store.steampowered.com/app/503820/A_Detectives_Novel/;Unknown;Unknown;Unknown;Unknown;Unknown
Agenda;Croatia;Agenda is a strategy simulation game in which you control a world-wide independent agency with a set goal of world domination. Try to claim your global influence through the power of ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/513460/header.jpg?t=1612265595;Exordium Games;Exordium Games;Windows, macOS, SteamOS + Linux;21 Sep, 2016;Indie, Simulation, Strategy, Early Access;https://store.steampowered.com/app/513460/Agenda/;Unknown;Unknown;Unknown;Unknown;Unknown
Bear With Me - Episode One;Croatia;Bear With Me is an episodic noir adventure game. Amber is trying to find her missing brother while being aided by her trusty teddy, Ted E. Bear.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/492630/header.jpg?t=1718622706;Miyagi Games;Exordium Games;Windows, macOS, SteamOS + Linux;8 Aug, 2016;Adventure, Indie;https://store.steampowered.com/app/492630/Bear_With_Me__Episode_One/;Unknown;Unknown;Unknown;Unknown;Unknown
Black Rainbow Mystery;Croatia;Escape the burning village, get out of the dark and dangerous forests of Amazon and reveal the ancient evil awakening!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/288500/header.jpg?t=1733136984;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;30 Apr, 2014;Adventure, Indie;https://store.steampowered.com/app/288500/Black_Rainbow_Mystery/;Unknown;Unknown;Unknown;Unknown;Unknown
Dragon Tales 2: The Lair;Croatia;In this hidden object puzzle adventure, you will travel between regions of Dragon Mountains through a network of forgotten ancient portals, meet different characters along your journe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/276460/header.jpg?t=1740054786;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;15 Mar, 2014;Adventure, Casual, Indie;https://store.steampowered.com/app/276460/Dragon_Tales_2_The_Lair/;Unknown;Unknown;Unknown;Unknown;Unknown
Gas Guzzlers Extreme;Croatia;Gas Guzzlers Extreme is a fast, furious, armed-to-the-teeth, trigger-happy shooter, shifted into top gear! Take a white knuckle ride in this crazily addictive combat racing game.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/243800/header.jpg?t=1726665808;Jagex Ltd;Gamepires;Windows;8 Oct, 2013;Action, Racing, Sports;https://store.steampowered.com/app/243800/Gas_Guzzlers_Extreme/;Unknown;Unknown;Unknown;Unknown;Unknown
Hotel Collector's Edition (Brightstone Mysteries: Paranormal Hotel);Croatia;Unravel the secrets of Templars and the ancient Egyptian cult in this point n' click adventure game of investigation!*;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/288750/header.jpg?t=1733137256;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;1 Jun, 2010;Adventure, Indie;https://store.steampowered.com/app/288750/Hotel_Collectors_Edition_Brightstone_Mysteries_Paranormal_Hotel/;Unknown;Unknown;Unknown;Unknown;Unknown
Kaptain Brawe: A Brawe New World;Croatia;Kaptain Brawe is a critically acclaimed old school point n' click adventure. In an alternate reality, humankind has already conquered space travel by the mid-19th century. Step into t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/65080/header.jpg?t=1733137282;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;20 Jan, 2011;Adventure, Indie;https://store.steampowered.com/app/65080/Kaptain_Brawe_A_Brawe_New_World/;Unknown;Unknown;Unknown;Unknown;Unknown
Kingdom Tales;Croatia;Embark on a magical journey in this entertaining and fun time management strategy game! In Kingdom Tales you will explore the land, gather, produce and trade resources, build, repair ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/276440/header.jpg?t=1733137409;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;13 Feb, 2014;Casual, Indie, Strategy;https://store.steampowered.com/app/276440/Kingdom_Tales/;Unknown;Unknown;Unknown;Unknown;Unknown
Kingdom Tales 2;Croatia;Help young blacksmith Finn and princess Dalla reunite in love in this exciting time management strategy game!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/288610/header.jpg?t=1733137458;Cateia Games;Cateia Games;Windows, macOS, SteamOS + Linux;7 Aug, 2014;Casual, Indie, Strategy;https://store.steampowered.com/app/288610/Kingdom_Tales_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Red Solstice 2: Survivors;Croatia;Sequel to the best-seller ​The Red Solstice​. Plan your strategy and infiltrate a real-time tactical battlefield - alone or with up to 7 squad members. Can you demonstrate the com...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/768520/header.jpg?t=1729321715;505 Games;Ironward;Windows;17 Jun, 2021;RPG, Strategy;https://store.steampowered.com/app/768520/Red_Solstice_2_Survivors/;Unknown;Unknown;Unknown;Unknown;Unknown
SEUM: Speedrunners from Hell;Croatia;Like a bastard child of Quake 3 and Super Meat Boy, SEUM: Speedrunners from Hell is truly hardcore and focuses on speed and fast reaction.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/457210/header.jpg?t=1725006616;Pine Studio;Pine Studio;Windows, macOS, SteamOS + Linux;28 Jul, 2016;Action, Indie, Racing;https://store.steampowered.com/app/457210/SEUM_Speedrunners_from_Hell/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam 2;Croatia;Serious Sam 2 is a shot of adrenaline to the hearts of first-person shooter fans across the world. This is serious!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/204340/header.jpg?t=1728688287;Devolver Digital;Croteam;Windows;11 Oct, 2005;Action, Indie;https://store.steampowered.com/app/204340/Serious_Sam_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam 3 VR: BFE;Croatia;Serious Sam 3 VR: BFE is a virtual reality action shooter, a glorious throwback to the golden age of first-person shooters where men were men, cover was for amateurs and pulling the t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/567670/header.jpg?t=1569249537;Devolver Digital, Croteam Publishing;Croteam VR;Windows, SteamOS + Linux;9 Nov, 2017;Action, Indie;https://store.steampowered.com/app/567670/Serious_Sam_3_VR_BFE/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam 3: BFE;Croatia;Serious Sam 3: BFE is a prequel to the original indie fast action FPS and Game of the Year sensation - Serious Sam: The First Encounter!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/41070/header.jpg?t=1728688460;Devolver Digital;Croteam;Windows, macOS, SteamOS + Linux;22 Nov, 2011;Action, Indie;https://store.steampowered.com/app/41070/Serious_Sam_3_BFE/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam HD: The First Encounter;Croatia;Serious Sam HD: The First Encounter is a visually upgraded and fully Steam supported remake version of the original high-adrenaline single-play and 16-player co-operative arcade-actio...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/41000/header.jpg?t=1728687623;Devolver Digital;Croteam;Windows;24 Nov, 2009;Action, Indie;https://store.steampowered.com/app/41000/Serious_Sam_HD_The_First_Encounter/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam VR: The First Encounter;Croatia;Serious Sam VR: The First Encounter is a frantic arcade action FPS, featuring singleplay and co-op campaign, various multiplayer modes, all presented in glorious VR and with different...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/552450/header.jpg?t=1569336466;Devolver Digital, Croteam;Croteam VR;Windows, SteamOS + Linux;30 Mar, 2017;Action, Indie;https://store.steampowered.com/app/552450/Serious_Sam_VR_The_First_Encounter/;Unknown;Unknown;Unknown;Unknown;Unknown
Serious Sam VR: The Last Hope;Croatia;Serious Sam is back! And this time it's REAL!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/465240/header.jpg?t=1728689200;Devolver Digital, Croteam;Croteam VR;Windows;20 Sep, 2017;Action, Indie;https://store.steampowered.com/app/465240/Serious_Sam_VR_The_Last_Hope/;Unknown;Unknown;Unknown;Unknown;Unknown
