Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
11th Dream;Czech Republic;11th Dream is a fast-paced third person abstract shooter aimed at hard-core difficulty enthusiasts and fast runners. Visit a place after biological history, where bots became tools fo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/949450/header.jpg?t=1637057492;Blue Pulsar Games;Blue Pulsar Games;Windows;31 May, 2019;Action, Adventure, Indie;https://store.steampowered.com/app/949450/11th_Dream/;Unknown;;;;
1428: Shadows over Silesia;Czech Republic;Medieval Europe is in the middle of religious upheaval and many a preacher predict the imminent end of the world. Immerse yourself in a dark fantasy story with true historical events ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1228500/d766f1455ef398969a801615611c0bbc49f58c77/header.jpg?t=1745408447;KUBI Games;KUBI Games;Windows;4 Oct, 2022;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1228500/1428_Shadows_over_Silesia/;Unknown;;;;
3x64;Czech Republic;Connect blocks of the same colors on the constantly changing gravity! Try to survive as long as possible - you can call for help many mighty powerups or even craft your own!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1129690/header.jpg?t=1745487238;Lightning Soft;Lightning Soft;Windows, macOS, SteamOS + Linux;31 Oct, 2019;Action, Casual, Indie;https://store.steampowered.com/app/1129690/3x64/;Unknown;;;;
7 Mages;Czech Republic;The epic RPG 7 Mages in the tradition of the greatest classics of the genre takes you around the magical island of Roven.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/446590/header.jpg?t=1649786010;Napoleon Games, s.r.o.;Napoleon Games, s.r.o.;Windows, macOS;15 Mar, 2016;RPG;https://store.steampowered.com/app/446590/7_Mages/;Unknown;;;;
A Knight Never Yields;Czech Republic;Navigate depths of old dungeon full of deadly traps without using your eye sight. Help young apprentice fulfill his destiny of becoming a Blind Knight while relying only on your sense...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1404010/header.jpg?t=1614243378;Bread Over Games;Bread Over Games;Windows;25 Feb, 2021;Adventure, Indie;https://store.steampowered.com/app/1404010/A_Knight_Never_Yields/;Unknown;;;;
A Week of Circus Terror;Czech Republic;A hand-drawn, point & click indie horror game about the haunted house and his owner. During the day, you have to search for some informations, but when the night comes, you have to un...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/498450/header.jpg?t=1668020198;Richard Haraším;Richard Haraším;Windows;5 Aug, 2016;Indie;https://store.steampowered.com/app/498450/A_Week_of_Circus_Terror/;Unknown;;;;
ARMA: Combat Operations;Czech Republic;Sequel to the highly successful Operation Flashpoint, ARMA: Combat Operations is a first person tactical military shooter on the PC with large elements of realism and simulation. This...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2780/header.jpg?t=1712604482;Bohemia Interactive;Bohemia Interactive;Windows;8 May, 2007;Action;https://store.steampowered.com/app/2780/ARMA_Combat_Operations/;Unknown;;;;
Afterglitch;Czech Republic;Afterglitch is an experimental third-person exploration sci-fi video game. The player is an astronaut whose multidimensional journey to find an extraterrestrial civilization is more i...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/594030/header.jpg?t=1735298605;Hangonit;Vladimir Kudelka;Windows;9 Dec, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/594030/Afterglitch/;Unknown;;;;
Alpha Prime;Czech Republic;Somewhere in deep space, at an apparently abandoned mining base on the asteriod Alpha Prime, something has gone terribly wrong. Miners were warned that the hubbardium they were mining...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2590/header.jpg?t=1582120844;Bohemia Interactive;Black Element;Windows;7 Nov, 2007;Action;https://store.steampowered.com/app/2590/Alpha_Prime/;Unknown;;;;
Alternativa;Czech Republic;Alternativa is a story that will take you to a world much different to what you'd expect in 2045. To a world destroyed by war and revolutions, a world led by an oppressive and cruel d...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/33990/header.jpg?t=1635939141;Bohemia Interactive;Centauri Production;Windows;3 Nov, 2010;Adventure;https://store.steampowered.com/app/33990/Alternativa/;Unknown;;;;
