Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
#AkiRobots;Denmark;#AkiRobots is a 2D puzzle platformer where you control multiple characters simultaneously. The game includes 100 levels and players can modify existing levels, create new levels to sh...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/861520/header.jpg?t=1730788467;Bandello;FlatPonies;Windows, macOS, SteamOS + Linux;4 Dec, 2020;Casual, Indie;https://store.steampowered.com/app/861520/AkiRobots/;Unknown;;;;
#Archery;Denmark;#Archery brings out your inner archer in a way you have never seen before! Make pizzas, sell ice cream, deliver newspapers and much more - all with bow&arrow like there is no tomorrow!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/493790/header.jpg?t=1728990062;Bandello ;VRUnicorns;Windows;19 Dec, 2017;Indie, Sports;https://store.steampowered.com/app/493790/Archery/;Unknown;;;;
#SelfieTennis;Denmark;#SelfieTennis is a sandbox game where you play tennis with yourself. When you hit the ball over the net, you teleport to the other side and hit it back to get points. But once you sta...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/392190/header.jpg?t=1561466696;Bandello;VRUnicorns;Windows;1 Apr, 2016;Indie, Sports;https://store.steampowered.com/app/392190/SelfieTennis/;Unknown;;;;
#SkiJump;Denmark;#SkiJump lets you SKI & JUMP like a unicorn in virtual reality. Fast paced downhill (& uphill), loads of jumping and virtual friends...but beware of the YETI! You can ski FOREVER and ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/392150/header.jpg?t=1682584867;Bandello;VRUnicorns;Windows;28 Jun, 2019;Indie, Racing, Sports, Early Access;https://store.steampowered.com/app/392150/SkiJump/;Unknown;;;;
#Utopia;Denmark;#Utopia is the land of rainbows, unicorns and other magical creatures. So escape #Dystopia and join us for carrots&apples!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/560660/header.jpg?t=1542658587;Bandello ;VRUnicorns;Windows;To be announced;Indie, Massively Multiplayer, Racing, Sports;https://store.steampowered.com/app/560660/Utopia/;Unknown;;;;
'1st Core: The Zombie Killing Cyborg';Denmark;Prepare for an electrifying first-person indie sci-fi experience, where you step into the shoes of a formidable Cyborg tasked with eradicating hordes of relentless zombies.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/879270/header.jpg?t=1731773834;J. C. SpringBourne;J. C. SpringBourne;Windows;30 Jun, 2018;Action, Indie, RPG;https://store.steampowered.com/app/879270/1st_Core_The_Zombie_Killing_Cyborg/;Unknown;;;;
140;Denmark;140 is a challenging minimalistic platformer with abstract colorful graphics. Rhythmic awareness is required to overcome obstacles controlled by an energetic, yet melancholic electron...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/242820/header.jpg?t=1632130187;Carlsen Games;Carlsen Games;Windows, macOS, SteamOS + Linux;16 Oct, 2013;Action, Indie;https://store.steampowered.com/app/242820/140/;Unknown;;;https://www.nintendo.com/us/store/products/140-switch/;
2nd Circle - Powerful Magic;Denmark;Did you ever dare to imagine that within this bleak, frigid world lies a realm of enchantment? Concealed in the obscure corners of this world, you'll find the undead, specters, and th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/936510/header.jpg?t=1731773922;J. C. SpringBourne;J. C. SpringBourne;Windows;18 Oct, 2018;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/936510/2nd_Circle__Powerful_Magic/;Unknown;;;;
3rd Invasion - Zombies vs. Steel;Denmark;In this real-time strategy game with a hint of RISK, you'll command sizable armies. Erect a formidable base capable of withstanding enemy assaults. Will you build your army behind imp...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1016100/header.jpg?t=1731773875;J. C. SpringBourne;J. C. SpringBourne;Windows;28 Feb, 2019;Indie, Strategy;https://store.steampowered.com/app/1016100/3rd_Invasion__Zombies_vs_Steel/;Unknown;;;;
4th Era - The RuneChild;Denmark;Fight Mythological Monsters, like Minotaur's, Trolls and Dragons. The price is 50% because it is Early Access;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1078610/1cbe5bf712b0eb3a29cef89a9b60652ed73187ba/header.jpg?t=1745685317;J. C. SpringBourne;J. C. SpringBourne;Windows;8 Apr, 2025;Adventure, Casual, Indie, RPG, Early Access;https://store.steampowered.com/app/1078610/4th_Era__The_RuneChild/;Unknown;;;;
