Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Airship Dragoon;England;Uber-Hardcore, Turn-Based, Steampunk, Squad Tactics. Battle 6 other factions for control of Pangea in emergent, tactical gameplay.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/308380/header.jpg?t=1726497359;YorkshireRifles;YorkshireRifles;Windows;26 Aug, 2014;Indie, Strategy;https://store.steampowered.com/app/308380/Airship_Dragoon/;Unknown;Unknown;Unknown;Unknown;Unknown
Battle Fleet 2;England;Welcome Admiral! Select your fleet, assign weapons, and sink the enemy fleet by controlling each of your ships down to setting the aim and range of each weapon's shot. Features includ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/332490/header.jpg?t=1734351060;Mythical City Games;Mythical City Games;Windows, macOS;20 Nov, 2014;Simulation, Strategy;https://store.steampowered.com/app/332490/Battle_Fleet_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Broken Sword 2 - the Smoking Mirror: Remastered (2010);England;‘Broken Sword - The Smoking Mirror: Remastered’ is a stunning update to the multi million-selling original. A mysterious escapade of intrigue and deceit, in which journalist Nico ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/33600/header.jpg?t=1731609115;Revolution Software Ltd;Revolution Software Ltd;Windows, macOS;31 Oct, 1997;Adventure, Casual;https://store.steampowered.com/app/33600/Broken_Sword_2__the_Smoking_Mirror_Remastered_2010/;Unknown;Unknown;Unknown;Unknown;Unknown
Broken Sword 3 - the Sleeping Dragon (2003);England;An ancient conspiracy. A broken code. An unsolved murder. Welcome to Broken Sword – The Sleeping Dragon, the multi BAFTA-nominated adventure. Once more George and Nico must travel t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/33610/header.jpg?t=1744711144;Revolution Software Ltd;Revolution Software Ltd;Windows;14 Nov, 2003;Adventure;https://store.steampowered.com/app/33610/Broken_Sword_3__the_Sleeping_Dragon_2003/;Unknown;Unknown;Unknown;Unknown;Unknown
Broken Sword 5 - the Serpent's Curse;England;From multi-award winning Revolution Software comes the latest explosive episode in this classic series. Playing as intrepid American George Stobbart and sassy French journalist Nico C...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262940/header.jpg?t=1713104592;Revolution Software Ltd;Revolution Software Ltd;Windows, macOS, SteamOS + Linux;20 Jun, 2014;Adventure;https://store.steampowered.com/app/262940/Broken_Sword_5__the_Serpents_Curse/;Unknown;Unknown;Unknown;Unknown;Unknown
Cricket Captain 2014;England;Cricket Captain is back for the 2014 season, with a beautiful new interface, updated 3D graphics engine, and all the attention to detail that you expect. Cricket Captain has been hail...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/307980/header.jpg?t=1738600821;KISS ltd;Childish Things;Windows;8 Aug, 2014;Sports;https://store.steampowered.com/app/307980/Cricket_Captain_2014/;Unknown;Unknown;Unknown;Unknown;Unknown
Dark Gates;England;Dark Gates is a game which tries to capture classic tabletop RPG experience. As a player you need to assemble a party of six heroes, select spells for them and send them on the quest ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/333730/header.jpg?t=1577661179;DFour Games;DFour Games;Windows, SteamOS + Linux;26 Jan, 2015;Indie, RPG;https://store.steampowered.com/app/333730/Dark_Gates/;Unknown;Unknown;Unknown;Unknown;Unknown
Dr. Bulbaceous;England;Descend through 100 levels of challenging puzzle mayhem in a quest to defeat the big bad boss at the bottom of the bottom most well. Fans of Uo Poko, Puzzle Bubble and Bust-a-move wil...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/388540/header.jpg?t=1591114287;Wetgenes;Wetgenes;Windows, macOS, SteamOS + Linux;19 Nov, 2015;Casual, Indie;https://store.steampowered.com/app/388540/Dr_Bulbaceous/;Unknown;Unknown;Unknown;Unknown;Unknown
Dream;England;Dream is an exploration game that takes place within the subconscious mind of Howard Phillips, a young man whose waking hours are tedious and dull, but whose dreams are lucid and powe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/229580/header.jpg?t=1568743684;HyperSloth;HyperSloth;Windows;31 Jul, 2015;Adventure, Indie;https://store.steampowered.com/app/229580/Dream/;Unknown;Unknown;Unknown;Unknown;Unknown
Gang Beasts;England;Gang Beasts is a silly multiplayer party game with surly gelatinous characters, brutal slapstick fight sequences, and absurd hazardous environments, set in the mean streets of Beef Ci...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/285900/header.jpg?t=1732109683;Boneloaf;Boneloaf, Rocket Science;Windows, macOS, SteamOS + Linux;12 Dec, 2017;Action, Adventure, Casual, Indie, Simulation;https://store.steampowered.com/app/285900/Gang_Beasts/;Unknown;Unknown;Unknown;Unknown;Unknown
Hungry Horrors;England;Embark on a culinary quest in Hungry Horrors, a roguelike deckbuilder where cooking replaces combat. As a brave princess, you will prepare dishes to feed legendary creatures from Brit...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3048840/header.jpg?t=1745246789;Clumsy Bear Studio;Clumsy Bear Studio;Windows, macOS, SteamOS + Linux;To be announced;Indie, Strategy;https://store.steampowered.com/app/3048840/Hungry_Horrors/;Unknown;Unknown;Unknown;Unknown;Unknown
Oddworld: Stranger's Wrath HD;England;You're the Stranger, a mysterious bounty hunter on a mission to bag the ultimate prize. And you need that money like no one else because there is something very wrong with your health...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/15750/header.jpg?t=1728644503;Oddworld Inhabitants;Oddworld Inhabitants;Windows;20 Dec, 2010;Action, Adventure, Strategy;https://store.steampowered.com/app/15750/Oddworld_Strangers_Wrath_HD/;Unknown;Unknown;Unknown;Unknown;Unknown
Of Guards And Thieves;England;Of Guards and Thieves is a multiplayer stealth game in which high-powered guards face off against fast and elusive thieves in a contest of wits. Outsmarting the enemy and shooting you...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/302590/header.jpg?t=1667127784;Subvert Games, Polygon Moon;Subvert Games, Polygon Moon;Windows;7 Dec, 2016;Action, Casual, Free To Play, Indie, Massively Multiplayer, Racing, Strategy, Early Access;https://store.steampowered.com/app/302590/Of_Guards_And_Thieves/;Unknown;Unknown;Unknown;Unknown;Unknown
Sonic & All-Stars Racing Transformed Collection;England;Compete across land, water and air in incredible transforming vehicles that change from cars to boats to planes mid-race.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/212480/header.jpg?t=1648829972;SEGA;Sumo Digital;Windows;31 Jan, 2013;Racing, Sports;https://store.steampowered.com/app/212480/Sonic__AllStars_Racing_Transformed_Collection/;Unknown;Unknown;Unknown;Unknown;Unknown
Sonic & SEGA All-Stars Racing;England;SONIC AND SEGA ALL-STARS RACE FOR VICTORY IN A HIGH SPEED HIGH SKILL RACETRACK SHOWDOWN! TAKE TO THE TRACK BY CAR, MONSTER TRUCK, BIKE AND EVEN AEROPLANE IN SONIC & SEGA ALL-STARS RAC...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/34190/header.jpg?t=1603130276;SEGA;Sumo Digital;Windows;3 Mar, 2010;Racing;https://store.steampowered.com/app/34190/Sonic__SEGA_AllStars_Racing/;Unknown;Unknown;Unknown;Unknown;Unknown
Sublevel Zero Redux;England;Sublevel Zero Redux is a roguelite six-degree-of-freedom shooter in a universe where reality is falling apart. Use your zero-g gunship to fight through a vast underground facility, lo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/327880/header.jpg?t=1589293679;Sigtrap;Sigtrap;Windows, macOS, SteamOS + Linux;8 Oct, 2015;Action, Indie;https://store.steampowered.com/app/327880/Sublevel_Zero_Redux/;Unknown;Unknown;Unknown;Unknown;Unknown
Terra Lander Remastered;England;Navigate the player to the landing pad through twenty increasingly difficult levels within the time limit and with enough fuel.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/338550/header.jpg?t=1580734370;Funbox Media Ltd;DM Media;Windows;6 Feb, 2015;Casual, Indie;https://store.steampowered.com/app/338550/Terra_Lander_Remastered/;Unknown;Unknown;Unknown;Unknown;Unknown
Worms;England;Throw a grenade down memory lane with the original and classic turn-based strategy game Worms™! Up to 4 teams of worms do battle over an ever-changing battlefield with falling weapo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/70640/header.jpg?t=1728996846;Team17 Digital Ltd;Team17 Digital Ltd;Windows;30 Oct, 1995;Strategy;https://store.steampowered.com/app/70640/Worms/;Unknown;Unknown;Unknown;Unknown;Unknown
