Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Bootstrap Island;Estonia;"Bootstrap Island is an intense, realistic VR survival game, inspired by ""Robinson Crusoe"". As the sole survivor of a 17th-century shipwreck you must quickly learn and adapt to survive...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1942110/984013ea5e91cb12d13eb406eadfe7a46f2516ec/header_alt_assets_1.jpg?t=1743594496;Maru VR Productions;Maru VR Productions;Windows;22 Feb, 2024;Action, Adventure, Indie, Simulation, Strategy, Early Access;https://store.steampowered.com/app/1942110/Bootstrap_Island/;Unknown;Unknown;Unknown;Unknown;Unknown
Futuclass Education;Estonia;** 10 Chemistry and 1 Physics VR Modules – Available for $7.99 Each! ** Learn STEM through gamified experiences in VR! Co-created with award-winning science teachers, tested with st...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1485370/header.jpg?t=1742076909;Futuclass;Futuclass;Windows;23 Jan, 2021;Simulation, Early Access;https://store.steampowered.com/app/1485370/Futuclass_Education/;Unknown;Unknown;Unknown;Unknown;Unknown
Haiku, the Robot;Estonia;Delve into the depths of a mechanical world in this cute, adventure-exploration game. Explore and fight in a land full of corrupt robots and machinery. All while seeking answers to th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1231880/header.jpg?t=1729093356;Mister Morris Games;Mister Morris Games;Windows, macOS;28 Apr, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/1231880/Haiku_the_Robot/;Unknown;Unknown;Unknown;Unknown;Unknown
Artist Life Simulator;Estonia;Live the life of a starving artist in 19th century alternative history. Survive poverty, alchoholism, madness, depression, and 67 different feelings. Paint masterpieces by combining i...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1643180/header.jpg?t=1688629373;Interactive Fate , Placeholder Gameworks;Interactive Fate;Windows;13 Dec, 2022;Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/1643180/Artist_Life_Simulator/;Unknown;Unknown;Unknown;Unknown;Unknown
HIIS;Estonia;HIIS is an open world sandbox experimentation game, full of mystical vegetation, concealed secrets, and powerful potions. Domesticate the wild plants to farm them, brew elixirs from t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1453230/header.jpg?t=1667042617;Bottled Fantasy Games;Bottled Fantasy Games;Windows;11 Feb, 2021;Adventure, Indie, Simulation;https://store.steampowered.com/app/1453230/HIIS/;Unknown;Unknown;Unknown;Unknown;Unknown
Headbangers in Holiday Hell;Estonia;Christmas. Christmas never changes. Soon those overzealous little freaks will swarm the city led by that bearded maniac. But this time, we fight back. Inspired by Zombies Ate My Neigh...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1296700/header.jpg?t=1721133765;Hammer & Ravens;Vikerlane, Hammer & Ravens;Windows;7 Dec, 2020;Action, Indie;https://store.steampowered.com/app/1296700/Headbangers_in_Holiday_Hell/;Unknown;Unknown;Unknown;Unknown;Unknown
Voidspeed Outlaw;Estonia;Fast-paced retro-futuristic racing on Mars rendered in low def pseudo 3D. A heartfelt tribute to the racing games of the early 90s.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1252130/header.jpg?t=1651746997;Cydonian Games;Cydonian Games;Windows;To be announced;Action, Indie, Racing;https://store.steampowered.com/app/1252130/Voidspeed_Outlaw/;Unknown;Unknown;Unknown;Unknown;Unknown
BLASTRONAUT;Estonia;BLASTRONAUT is a mining game in a procedural alien world. Explore, extract and profit.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1392650/header.jpg?t=1691359115;Perfoon;Perfoon;Windows, macOS, SteamOS + Linux;27 Jul, 2022;Action, Adventure, Indie, RPG, Early Access;https://store.steampowered.com/app/1392650/BLASTRONAUT/;Unknown;Unknown;Unknown;Unknown;Unknown
Circle Empires Rivals;Estonia;In this fast-paced multiplayer RTS, you and your friends will take control of your own tiny kingdoms and conquer a world made of circles. Each one is overflowing with enemies to fight...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1100260/header.jpg?t=1732025712;Iceberg Interactive;Luminous;Windows;15 Apr, 2020;Casual, Indie, Strategy;https://store.steampowered.com/app/1100260/Circle_Empires_Rivals/;Unknown;Unknown;Unknown;Unknown;Unknown
Born Punk;Estonia;A former combat hacker, a corporate CEO and a malfunctioning android get possessed by mysterious, otherworldly entities and must band together to save themselves and uncover the entit...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/979480/header.jpg?t=1679010465;Insert Disk 22;Insert Disk 22;Windows, macOS, SteamOS + Linux;17 Jun, 2022;Adventure, Indie;https://store.steampowered.com/app/979480/Born_Punk/;Unknown;Unknown;Unknown;Unknown;Unknown
