Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Collection of Bad Moments;Finland;A Collection of Bad Moments is an adventure game where the player discovers themselves in various tough situations and must use their wits to figure a way out! The moments vary from a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/717120/header.jpg?t=1611926374;Sky Trail Ltd;Sky Trail Ltd;Windows;12 Jan, 2018;Action, Adventure;https://store.steampowered.com/app/717120/A_Collection_of_Bad_Moments/;Unknown;;;;
A Living Room;Finland;You are a man in a room. Something feels off. Or maybe it's on. A short existential comedy point-and-click non-adventure about the limitations and imitations of human existence – or...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2847640/header.jpg?t=1714036823;Instant Million;Valtteri Tavast;Windows;25 Apr, 2024;Adventure, Casual, Indie, Free To Play;https://store.steampowered.com/app/2847640/A_Living_Room/;Unknown;;;;
A Lone Piece;Finland;Easy to learn. Hard to master. A Lone Piece is a chess themed puzzle game where you control a single pawn caught in the middle of opposing hostile pieces. Your main job is to escape t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2180920/header.jpg?t=1731052261;Kuura Playhouse;Marko Haaja;Windows;2 Mar, 2023;Indie, Strategy;https://store.steampowered.com/app/2180920/A_Lone_Piece/;Unknown;;;;
ABC: AUDIO REACTIVE BEAT CIRCLE;Finland;Experience a new way to listen to your favourite music. Audio-reactive arcade game where you dodge pulsating shapes. The player spin around the center and dodges the neon shapes that ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1350080/header.jpg?t=1743066144;Mlyst;Mlyst;Windows;21 Aug, 2020;Action, Casual, Indie, Free To Play;https://store.steampowered.com/app/1350080/ABC_AUDIO_REACTIVE_BEAT_CIRCLE/;Unknown;;;;
AI Kills All Humans;Finland;AI Kills All Humans is a Tactical RTS game in which you play as an AI sending robots to kill all humans. You however don't have direct control of your robots, but robots independently...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2234780/header.jpg?t=1736426676;Ugalabugala Oy;One Joyful Day;Windows;To be announced;Strategy;https://store.steampowered.com/app/2234780/AI_Kills_All_Humans/;Unknown;;;;
ARRIVAL: ZERO EARTH;Finland;Fight giant War of the Worlds -style aliens invading Finland during a Winter in the 90's. Build an army of local townspeople in this chaotic semi-autobattler roguelike. Navigate throu...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1613580/header.jpg?t=1738184455;jounitus;jounitus;Windows;12 Jan, 2024;Action, Indie, RPG;https://store.steampowered.com/app/1613580/ARRIVAL_ZERO_EARTH/;Unknown;;;;
Action Legion;Finland;Action Legion is a mouse-controlled, single-player war game on the PC and Mac.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/431630/header.jpg?t=1466662838;Aeonic Entertainment;Aeonic Entertainment;Windows, macOS, SteamOS + Linux;19 Apr, 2016;Action, Indie;https://store.steampowered.com/app/431630/Action_Legion/;Unknown;;;;
Adventures of Dragon;Finland;Unlikely hero is thrust into a crazy world and gets involved in a grand adventure!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/770370/header.jpg?t=1745755754;Tuomo's games;Tuomo Laine;Windows, macOS;20 Dec, 2018;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/770370/Adventures_of_Dragon/;Unknown;;;;
Afterdream;Finland;Get lost in a lucid dream, bending the lines between reality and fiction. Utilize the strange camera to navigate through the ghosts' mysterious residence. Find the purpose of your noc...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1995880/header.jpg?t=1745568899;Gamirror Games;Jesse Makkonen;Windows;28 Sep, 2023;Adventure, Indie;https://store.steampowered.com/app/1995880/Afterdream/;Unknown;;;;
Ages of Conflict: World War Simulator;Finland;Ages of Conflict is a versatile Map Simulation game where you create and observe custom AI nations battle it out across an infinite number of worlds. Paint imaginative maps and scenar...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2186320/header.jpg?t=1745443602;JoySpark Games;JoySpark Games;Windows, macOS, SteamOS + Linux;17 Feb, 2023;Casual, Indie, Simulation, Early Access;https://store.steampowered.com/app/2186320/Ages_of_Conflict_World_War_Simulator/;Unknown;;;;
