Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Abtos Covert;Greece;You are in a remote military outpost at Mount Abtos and you're tasked to guard it. The only things visible from there are an old shrine and the forest. Many are afraid of this infamou...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1694230/header.jpg?t=1728903835;Iphigames;Iphigames, Team Abtos;Windows;8 Dec, 2023;Indie;https://store.steampowered.com/app/1694230/Abtos_Covert/;Unknown;;;;
Apocalypse Cow;Greece;Apocalypse Cow is a cinematic metroidvania in a rich digital universe with a thousand years of lore. In that world a little girl with the power to rupture time will fight against all ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/592380/header.jpg?t=1667921767;Monsters;Monsters;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/592380/Apocalypse_Cow/;Unknown;;;;
Apotheorasis • Lab of the Blind Gods;Greece;An FPS with ZERO graphics!? Yes, you heard right ! Run • Blast • Escape • Survive, through sound alone, as you challenge your makers and unravel the mysteries of your existence....;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1694670/header.jpg?t=1688484939;Tall Guy Productions;Tall Guy Productions;Windows;12 May, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/1694670/Apotheorasis_o_Lab_of_the_Blind_Gods/;Unknown;;;;
Astra: Fading Stars;Greece;It's you who can make a change. Use your soul to fight the corruption that leaks in the mysterious and atmospheric universe of Astra. Dive deeply into the essence of this world and na...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1666480/header.jpg?t=1718930410;Dimension Omega ;Dimension Omega;Windows, SteamOS + Linux;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1666480/Astra_Fading_Stars/;Unknown;;;;
Aurora: The Lost Medallion - The Cave;Greece;Aurora: The Lost Medallion is a hand-drawn point & click adventure inspired by classics of the genre. An epic coming-of-age tale of destiny, friendship, and discovery in a unique sci-...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1088610/header.jpg?t=1745570752;Noema Games, Gamirror Games;Noema Games;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie;https://store.steampowered.com/app/1088610/Aurora_The_Lost_Medallion__The_Cave/;Unknown;;;;
Basements n' Basilisks: Storms of Sorcery;Greece;A visual novel paying satirical homage to the world’s greatest TTRPG. Make important choices, roll countless dice, build lasting relationships, explore magical lands and experience ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2236860/header.jpg?t=1724112455;eNVy softworks;eNVy softworks;Windows, macOS, SteamOS + Linux;27 Feb, 2023;Adventure, Casual, RPG, Simulation;https://store.steampowered.com/app/2236860/Basements_n_Basilisks_Storms_of_Sorcery/;Unknown;;;;
Blockbuster Inc.;Greece;Ever dreamed of making your own movies? Build up your own movie studio, scout for upcoming stars, and produce cutting-edge films and TV shows. Try to stay ahead of your competition th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1793090/header.jpg?t=1730895712;Ancient Forge;Super Sly Fox;Windows;6 Jun, 2024;Casual, Simulation;https://store.steampowered.com/app/1793090/Blockbuster_Inc/;Unknown;;;;
Caelum's Crux;Greece;A new card based action adventure RPG game set in the world of Caelum. Embark into a mysterious journey full of secrets and collect powerful cards to solve the riddles of this epic la...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3148130/header.jpg?t=1744392942;Petros Giannopoulos;Petros Giannopoulos;Windows;20 Mar, 2025;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/3148130/Caelums_Crux/;Unknown;;;;
Cat Detective Albert Wilde;Greece;Play as the Cat Detective Albert Wilde. Walk, talk, interrogate, joke, solve a mystery, and experience an old film noir setting with humanoid animal characters. A story of quantum the...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1810670/header.jpg?t=1746099342;beyondthosehills;beyondthosehills;Windows;24 Jan, 2025;Adventure, Indie;https://store.steampowered.com/app/1810670/Cat_Detective_Albert_Wilde/;Unknown;;;;
Catch the Head;Greece;Hell’s favorite TV show! Create a team of three sinners and face brutal challenges every Saturday night live from Channel-7. Are you ready to become famous?;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1049690/header.jpg?t=1594833660;Audio Visual Enterprises S.A.;Horos Interactive;Windows;29 Aug, 2019;Action, Adventure, Indie;https://store.steampowered.com/app/1049690/Catch_the_Head/;Unknown;;;;
Chicken Invaders 2;Greece;Just when you thought it was safe to eat chicken again, the chickens have returned with an organized invasion to take over the entire solar system! Journey to each planet and fight yo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/449550/header.jpg?t=1667131072;InterAction studios;InterAction studios;Windows, macOS;4 Mar, 2016;Action, Casual, Indie;https://store.steampowered.com/app/449550/Chicken_Invaders_2/;Unknown;;;;
Chicken Invaders 3;Greece;Chickens. For centuries we have oppressed them, grilling, roasting, stewing, and stuffing them in buns. The time has come for us to pay. Intergalactic chickens are invading Earth, see...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/377460/header.jpg?t=1695975452;InterAction studios;InterAction studios;Windows, macOS;8 Jun, 2015;Action, Casual, Indie;https://store.steampowered.com/app/377460/Chicken_Invaders_3/;Unknown;;;;
Chicken Invaders 4;Greece;They came without warning, squawking menacingly, their ruffled feathers darkening the sun. Invading intergalactic chickens, out to punish humanity for our oppression of their earthly ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/301300/header.jpg?t=1695975404;InterAction studios;InterAction studios;Windows, macOS;6 Jun, 2014;Action, Casual, Indie;https://store.steampowered.com/app/301300/Chicken_Invaders_4/;Unknown;;;;
Chicken Invaders 5;Greece;Chicken Invaders puts you at the forefront of a battle against invading intergalactic chickens, bent on revenge for our oppression of Earth chickens. This time, the chickens have hatc...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/353090/header.jpg?t=1695975407;InterAction studios;InterAction studios;Windows, macOS;13 Mar, 2015;Action, Casual, Indie;https://store.steampowered.com/app/353090/Chicken_Invaders_5/;Unknown;;;;
Chicken Invaders Universe;Greece;A deliciously addictive core of finger-blistering shooting action, surrounded by delectable morsels of galactic exploration, spacecraft customization, and community competitions.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1510460/header.jpg?t=1739045082;InterAction studios;InterAction studios;Windows;15 Dec, 2022;Action, Casual, Indie, Massively Multiplayer, Free To Play;https://store.steampowered.com/app/1510460/Chicken_Invaders_Universe/;Unknown;;;;
Claws of Furry;Greece;Punch and claw your way through forty fast paced levels of pure mayhem, while honing your Ninja Cat skills, in order to rescue your Master from the evil claws of an unknown enemy.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/656580/header.jpg?t=1690539771;Terahard Ltd;Terahard Ltd;Windows;4 Sep, 2018;Action, Adventure, Indie;https://store.steampowered.com/app/656580/Claws_of_Furry/;Unknown;https://store.playstation.com/en-us/concept/232183;https://www.xbox.com/en-us/games/store/Claws-of-Furry/9P267T7LVZRZ;;
Crimson Capes;Greece;Engage in fluid 2D pixel art swordplay, hunt down witches, fight monsters and experience the age of high adventure. Enter the guild of the Crimson Capes and explore a fantasy world of...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2488540/8b1e2947eabb107eee2deb9f834a25417a304297/header.jpg?t=1746468777;Poor Locke;Poor Locke;Windows;To be announced;Action, RPG;https://store.steampowered.com/app/2488540/Crimson_Capes/;Unknown;;;;
Curious Cases;Greece;For Desktop or VR! In this 3 chapter story, you play as a modern day legend, Detective Thomas Moore. He has solved more cases than one can count, where others hit dead-ends, he gets t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1045080/header.jpg?t=1737460964;OnSkull Games;OnSkull Games;Windows;4 Apr, 2019;Adventure, Casual, Indie;https://store.steampowered.com/app/1045080/Curious_Cases/;Unknown;;;;
Dead By Murder;Greece;“Dead By Murder”, is a murder mystery strategy game, where the user plays as a police detective and must solve a series of homicide cases.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/714300/header.jpg?t=1739812135;Strategy First;b movie games;Windows;3 Oct, 2017;Adventure, Indie, Strategy;https://store.steampowered.com/app/714300/Dead_By_Murder/;Unknown;;;;
Dunestake;Greece;Dunestake is a single player, high-risk & high-reward auto battler, with an emphasis on combat bets, offering a wide variety of strategies & combos. Stake your units for gold and cros...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3010900/header.jpg?t=1726313661;Eteros Studios;Eteros Studios;Windows, SteamOS + Linux;To be announced;Indie, Strategy;https://store.steampowered.com/app/3010900/Dunestake/;Unknown;;;;
