Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
32 SECS;Hungary;Race through a futuristic highway's traffic with your upgradeable cyber motorcycle. Conquer the streets of a neon lit sci-fi city by beating various trials and challenges.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3390250/header.jpg?t=1739889326;isTom Games Kft.;isTom Games Kft.;Windows;14 Feb, 2025;Action, Indie, Racing;https://store.steampowered.com/app/3390250/32_SECS/;Unknown;;;;
7th Floor;Hungary;Find your missing daughter in the Hospital of Madness. Collect items, fight enemies, and do whatever it takes to reach her!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3018430/header.jpg?t=1740299794;IGT Games;Vörös Gergely, Dr.Kupi Marcell;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3018430/7th_Floor/;Unknown;;;;
A Long Road Home;Hungary;A Long Road Home is a successor to the point and click adventure games of the past. Explore a mystical fantasy land ruled by a ruthless tyrant, collect items during your travels and t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/576160/header.jpg?t=1703868281;One Bit Studio;One Bit Studio;Windows;31 Jan, 2017;Adventure, Casual, Indie;https://store.steampowered.com/app/576160/A_Long_Road_Home/;Unknown;;;;
A Most Extraordinary Gnome;Hungary;A Most Extraordinary Gnome is a narrative-driven 2D action game focused on unique boss battles. Protect the forest, keep the animals safe and drive away the incoming darkness in this ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2089710/header.jpg?t=1673192626;Save Sloth Studios;Save Sloth Studios;Windows;8 Dec, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/2089710/A_Most_Extraordinary_Gnome/;Unknown;;;;
A Shadow in Space;Hungary;A Shadow in Space is a narrative-driven sci-fi psychological horror game inspired by the works of H.P. Lovecraft and Edgar Allan Poe. Discover the ancient, cosmic secrets of a desolat...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2699800/header.jpg?t=1733165487;GTOGG;GTOGG;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/2699800/A_Shadow_in_Space/;Unknown;;;;
A-Tech Cybernetic VR;Hungary;Built exclusively for VR, A-Tech Cybernetic's Story Mode will offer hours of explosive fun, while Swarm Mode will test your grit in a sci-fi nightmare scenario. Stop the mutant invasi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/578210/header.jpg?t=1715712836;XREAL Games;XREAL Games;Windows;27 Mar, 2020;Action, Indie;https://store.steampowered.com/app/578210/ATech_Cybernetic_VR/;Unknown;;;;
AGON - The Lost Sword of Toledo;Hungary;Search the Spanish city of Toledo with Professor Hunt and reveal the secrets behind a mysterious sword!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/410130/header.jpg?t=1678356959;M.INDIE;Private Moon Studios;Windows;22 Feb, 2008;Adventure;https://store.steampowered.com/app/410130/AGON__The_Lost_Sword_of_Toledo/;Unknown;;;;
AGON - The Mysterious Codex (Trilogy);Hungary;Professor Hunt embarks on an adventure journey from London to Lapland and Madagascar, in search of mysterious ancient board games.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/410120/header.jpg?t=1678356988;M.INDIE;Private Moon Studios;Windows;16 Mar, 2006;Adventure;https://store.steampowered.com/app/410120/AGON__The_Mysterious_Codex_Trilogy/;Unknown;;Unknown;;
ALAN-13 Reformation;Hungary;An isometric puzzle game, that makes you think like a programmer.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1888130/header.jpg?t=1685486122;smithandcherryapps;Viktor Kovács;Windows;11 May, 2022;Casual, Indie, Strategy;https://store.steampowered.com/app/1888130/ALAN13_Reformation/;Unknown;;;;
AMazing TD;Hungary;AMazing TD is a unique strategy game that focuses on building mazes in a competitive Tower Defense gameplay. Explore endless possibilities as you play on maps with distinct randomized...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1140030/header.jpg?t=1683055765;Go4 Entertainment;Go4 Entertainment;Windows;30 Mar, 2021;Indie, Strategy;https://store.steampowered.com/app/1140030/AMazing_TD/;Unknown;;;;
