Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
EVE Online;Iceland;EVE Online is a free-to-play community driven space MMO where players can choose their own path from countless different options. Experience space exploration, immense PvP and PvE bat...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/8500/header.jpg?t=1743435795;CCP;CCP;Windows, macOS;6 May, 2003;Action, Massively Multiplayer, RPG, Strategy, Free To Play;https://store.steampowered.com/app/8500/EVE_Online/;Unknown;;;;
EVE: Valkyrie – Warzone;Iceland;EVE: Valkyrie – Warzone is a first-person spaceship shooter that puts you in the cockpit for fast, fun, intense multiplayer space combat.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/688480/header.jpg?t=1660142751;CCP;CCP;Windows;26 Sep, 2017;Action;https://store.steampowered.com/app/688480/EVE_Valkyrie__Warzone/;Unknown;;;;
EVEREST VR™;Iceland;Experience what it feels like to climb Mount Everest through a sequence of immersive first person locations as you strive to reach the top of the world. Incomparable visual fidelity c...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/384750/header.jpg?t=1510656404;Sólfar Studios;Sólfar Studios, RVX;Windows;2 Aug, 2016;Simulation;https://store.steampowered.com/app/384750/EVEREST_VR/;Unknown;;;;
Gang of Frogs;Iceland;Sail through the galaxy as a fearless outlaw frog. Plunder loot, upgrade weapons, eat flies and fight through hordes of monstrous bugs in an intense 1-4 player co-op shooter.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3081510/header.jpg?t=1746010869;Aska Studios;Aska Studios;Windows;To be announced;Action, Adventure, Casual, Early Access;https://store.steampowered.com/app/3081510/Gang_of_Frogs/;Unknown;;;;
Island of Winds;Iceland;Island of Winds is an adventure game set in a fantastical world inspired by 17th century Iceland and folklore. Experience the story of Brynhildur, a Balance Keeper who embarks on a jo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1689340/header.jpg?t=1738929181;ESDigital Games;Parity Games;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/1689340/Island_of_Winds/;Unknown;;;;
KARDS - The WW2 Card Game;Iceland;KARDS, The World War II Card Game, combines traditional CCG gameplay with innovative mechanics inspired by classic strategy games and real battlefield tactics. Take command and challe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/544810/header.jpg?t=1737124202;1939 Games;1939 Games;Windows;15 Apr, 2020;Casual, Indie, Strategy, Free To Play;https://store.steampowered.com/app/544810/KARDS__The_WW2_Card_Game/;Unknown;;;;
No Time to Relax;Iceland;No Time to Relax is a life simulation game where up to 4 players online or locally compete against each other in the ultimate game of life.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/829660/header.jpg?t=1739883677;Porcelain Fortress;Porcelain Fortress;Windows, macOS;28 Feb, 2019;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/829660/No_Time_to_Relax/;Unknown;;https://www.xbox.com/en-us/games/store/no-time-to-relax/9nzsd35c45gs;;
Ready Player One: OASIS beta;Iceland;The Ready Player One: OASIS beta is the 2018 beta phase of the immersive virtual universe from the film, Ready Player One.  In the OASIS, you can go anywhere, do anything, be anyone...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/779650/header.jpg?t=1526536825;Vive Studios;Directive Games Limited;Windows;23 Mar, 2018;Action, Adventure, Free To Play;https://store.steampowered.com/app/779650/Ready_Player_One_OASIS_beta/;Unknown;;;;
Sparc;Iceland;Sparc is a vSport - a unique physical sport only possible in virtual reality, where players challenge each other in fast-paced, full-body VR gameplay.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601770/header.jpg?t=1656634664;CCP;CCP;Windows;16 Nov, 2017;Action, Indie, Sports;https://store.steampowered.com/app/601770/Sparc/;Unknown;;;;
Starborne: Frontiers;Iceland;Starborne: Frontiers is a free-to-play tactical autobattler with hundreds of unique ships. Form your fleet, customize it with a variety of equipment, and use strategy to create the pe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3021540/header.jpg?t=1737717180;Solid Clouds hf.;Solid Clouds hf.;Windows;14 Oct, 2024;Massively Multiplayer, RPG, Strategy, Free To Play;https://store.steampowered.com/app/3021540/Starborne_Frontiers/;Unknown;;;;
Super Kaiju;Iceland;Super Kaiju – the greatest and most anticipated sports tournament on the planet is here!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/462520/header.jpg?t=1497500862;Directive Games Limited;Directive Games Limited;Windows;6 Dec, 2016;Action;https://store.steampowered.com/app/462520/Super_Kaiju/;Unknown;;;;
Waltz of the Wizard;Iceland;Unleash epic magical powers in a wizard simulator inspired by the atmosphere of classic fantasy fiction! Brew potions in a bubbling cauldron with the help of the hyper-interactive Sku...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1094390/1277b2762e71aa7e975870100a1624f510ed324c/header.jpg?t=1740588994;Aldin Dynamics;Aldin Dynamics;Windows;10 Jul, 2019;Action, Adventure, Indie, RPG, Simulation;https://store.steampowered.com/app/1094390/Waltz_of_the_Wizard/;Unknown;;;;
