Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Anant Shrankhla;India;Anant Shrankhla is a first-person adventure game about a protagonist who falls into an unending journey through mysterious Indian landmarks and learns about the true purpose of his li...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2108080/header.jpg?t=1692336546;Insanity Crew Games;Insanity Crew Games;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/2108080/Anant_Shrankhla/;Unknown;Unknown;Unknown;Unknown;Unknown
Judgement Day;India;Judgment Day is a psychological horror puzzle-adventure game. Detective Roger Morgan is trapped in a twisted version of his partner Jack Clark’s home. Each puzzle he solves unravels...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3513680/b2d60fef47b447e8d7f8a836b2ee07d55e21822d/header.jpg?t=1742652931;Valor Studios;Valor Studios;Windows;To be announced;RPG, Strategy, Free To Play;https://store.steampowered.com/app/3513680/Judgement_Day/;Unknown;Unknown;Unknown;Unknown;Unknown
AUM The Game;India;AUM: The Game is an arena-based combat experience with deep RPG elements and unmatched customization. Master 5 fighting styles, harness elemental powers, and wield divine blessings to...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3371740/2573175c52902ff8ab1150fd405bb960a0f0da6e/header.jpg?t=1745010581;Brahman Studios;Brahman Studios;Windows;To be announced;Action, Indie, RPG, Strategy, Free To Play;https://store.steampowered.com/app/3371740/AUM_The_Game/;Unknown;Unknown;Unknown;Unknown;Unknown
Peaky Circus;India;When The Mime was a kid, his dad and most of his community was killed in a war but luckily his uncle helped him and his mother to escape the town. The mime was hiding in the woods and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2067960/header.jpg?t=1739305041;Xod Games;Xod Games;Windows, macOS, SteamOS + Linux;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/2067960/Peaky_Circus/;Unknown;Unknown;Unknown;Unknown;Unknown
The Battle of Jhansi;India;The Battle of Jhansi (March 1858). It was fought between the British East India Company forces and the defenders of Jhansi, led by Rani Lakshmibai. Renowned for her bravery, Rani Laks...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3453100/header.jpg?t=1739871382;AbracaDabra Software Solutions;AbracaDabra Software Solutions;Windows;To be announced;Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy;https://store.steampowered.com/app/3453100/The_Battle_of_Jhansi/;Unknown;Unknown;Unknown;Unknown;Unknown
Dominate the Skies;India;"""Dominate the Skies"" is a narrative-driven VR action arcade game where fast-paced racing meets intense aerial combat. Pilot cutting-edge anti-gravity vehicles, unravel a gripping stor...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3478260/header.jpg?t=1745238098;Blue Squirrel Studios;Blue Squirrel Studios;Windows;To be announced;Action, Adventure, Indie, Massively Multiplayer, Racing, Strategy;https://store.steampowered.com/app/3478260/Dominate_the_Skies/;Unknown;Unknown;Unknown;Unknown;Unknown
Battle Carnival - Multiplayer Fun;India;Battle Carnival - Multiplayer Fun is a fast-paced multiplayer game where you race to become the top shopkeeper. Choose from six characters, collect customers, steal crowds, and use po...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3323220/header.jpg?t=1735022646;Nilee Games and Future Technologies Pvt Ltd;Nilee Games and Future Technologies Pvt Ltd;Windows;To be announced;Action, Casual, Strategy, Free To Play;https://store.steampowered.com/app/3323220/Battle_Carnival__Multiplayer_Fun/;Unknown;Unknown;Unknown;Unknown;Unknown
Last Day Lockdown;India;"Bid farewell to the mundane and embrace the extraordinary as you step into ""Last Day Lockdown,"" a thrilling office escape puzzle that transforms your farewell into an unforgettable jo...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2646700/header.jpg?t=1733680720;Wrought_Studio;Wrought_Studio;Windows;To be announced;Indie;https://store.steampowered.com/app/2646700/Last_Day_Lockdown/;Unknown;Unknown;Unknown;Unknown;Unknown
Unsung Empires: The Cholas II Legacy of Rajendra Chola;India;Embark on an epic, narrative-driven adventure through India's greatest empire as King Rajendra Chola. Explore the meticulously crafted world of 11th-century Thanjavur, navigate intric...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2879790/header.jpg?t=1731496192;Ayelet Studio;Ayelet Studio;Windows;To be announced;Action, Adventure;https://store.steampowered.com/app/2879790/Unsung_Empires_The_Cholas_II_Legacy_of_Rajendra_Chola/;Unknown;Unknown;Unknown;Unknown;Unknown
Epsilon Protocol;India;Epsilon Protocol is a sci-fi turn-based tactics game with a rich story and refreshing visual style. Set in a reality where the Epsilon controls everything after they discovered light-...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3024320/header.jpg?t=1744905267;RI Game Studio;RI Game Studio;Windows;To be announced;Indie, RPG, Strategy;https://store.steampowered.com/app/3024320/Epsilon_Protocol/;Unknown;Unknown;Unknown;Unknown;Unknown
Destined Notes : The Written Fate;India;Unravel a chilling mystery as Daniel, a paranormal investigator with the ability to see the past of lost souls. Explore a haunted house, solve cryptic puzzles, and confront a sinister...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3612730/135775a0d95ae21d3d21253cb0e9c09a34b003ee/header.jpg?t=1743684423;Sherlock Studio Private Limited;Sherlock Studio Private Limited;Windows;To be announced;Action, Adventure, Indie, RPG, Simulation, Strategy;https://store.steampowered.com/app/3612730/Destined_Notes__The_Written_Fate/;Unknown;Unknown;Unknown;Unknown;Unknown
ASLO;India;Step into the shoes of Aslo, an adventurer on a mission to save his family's beach from debt. Start by selling coconuts and build a thriving beach resort chain. Explore oceans and isl...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3438970/header.jpg?t=1737597289;DopaMind Games Studios;DopaMind Games Studios;Windows;To be announced;Action, Adventure, Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/3438970/ASLO/;Unknown;Unknown;Unknown;Unknown;Unknown
Tale of Honor;India;Tale of Honor is a real-time, roguelike, deckbuilding chess adventure. Unlock new pieces, abilities and powerups through your unique runs & use them along with your wits to sneak thro...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2656580/cb5a7ac679ae7a70291b4b4dc8da162b7832e4c2/header.jpg?t=1744268799;Dunali Games;Dunali Games;Windows;To be announced;Adventure, Indie, Strategy;https://store.steampowered.com/app/2656580/Tale_of_Honor/;Unknown;Unknown;Unknown;Unknown;Unknown
ILAVATH : BATTLE ARENAS;India;ILAVATH, is a Team Based Strategy game that draws inspiration ancient legends of India. The war for Amruth (Elixir of Immortality) has disturbed the cosmic balance. To restore balance...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2678790/82879396404472035318c6e3f8faf3fd8fcf661b/header.jpg?t=1744356229;5th Ocean Studios Pvt. Ltd.;5th Ocean Studios Pvt. Ltd.;Windows;To be announced;Action, Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/2678790/ILAVATH__BATTLE_ARENAS/;Unknown;Unknown;Unknown;Unknown;Unknown
Flip Rally;India;Flip Rally combines thrilling racing with a unique flip mechanic, nail perfect flips for powerful boosts! Race through vibrant tracks, customize your car, and beat the clock in intens...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3561870/5011b2a7adaf30349197d0d9ef5eb0dea8b79c80/header.jpg?t=1745044289;Ash Dev Games;Ash Dev Games;Windows;To be announced;Action, Casual, Indie, Racing, Sports;https://store.steampowered.com/app/3561870/Flip_Rally/;Unknown;Unknown;Unknown;Unknown;Unknown
Bloodfire;India;A fast paced, old school arena shooter with satisfying movement and precise gunplay. Fight through endless legions of demons and become the undisputed champion of hell.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3584970/a2033f5e6107fd7c76412f1ab3386c186f33d43c/header.jpg?t=1744123481;Unquittable Studios;Unquittable Studios;Windows;To be announced;Action;https://store.steampowered.com/app/3584970/Bloodfire/;Unknown;Unknown;Unknown;Unknown;Unknown
Becoming Pablo;India;Becoming Pablo is a turn-based grand-strategy game where you build and lead a cartel empire. Conquer territories, manage your operation, and outsmart rivals in the gritty 70s-90s drug...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3145440/header.jpg?t=1744720455;Tentworks Interactive;Tentworks Interactive;Windows;To be announced;Strategy;https://store.steampowered.com/app/3145440/Becoming_Pablo/;Unknown;Unknown;Unknown;Unknown;Unknown
