Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Day Without Me;Indonesia;You wake up in an unknown city. A city without people, a city completely deserted. But you’re not alone. There's something out there, something strange, something terrifying. Someho...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1285510/header.jpg?t=1734638674;indie.io;Gamecom Team;Windows;27 Jun, 2020;Adventure, Indie;https://store.steampowered.com/app/1285510/A_Day_Without_Me/;Unknown;;;https://www.nintendo.com/us/store/products/a-day-without-me-switch/;
A Raven Monologue;Indonesia;A Raven Monologue is a short experimental silent story about a raven that does not know how to croak and his relationship with the people in the town.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/744810/header.jpg?t=1723622366;Toge Productions;Mojiken;Windows, macOS;11 Jan, 2018;Casual, Indie, Free To Play;https://store.steampowered.com/app/744810/A_Raven_Monologue/;Unknown;;;;
A Space For The Unbound - Prologue;Indonesia;Prologue chapter of A Space For The Unbound, an upcoming slice-of-life adventure game with beautiful pixelart set in the late 90s rural Indonesia that tells a story about overcoming a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1201280/header.jpg?t=1726100828;Toge Productions;Mojiken;Windows;22 Jan, 2020;Adventure, Indie;https://store.steampowered.com/app/1201280/A_Space_For_The_Unbound__Prologue/;Unknown;;;;
A Space for the Unbound;Indonesia;A magical adventure about two high school sweethearts set at the end of their school days - and the end of the world. Explore a crumbling town and help friends face their inner demons...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1201270/header.jpg?t=1737345095;Toge Productions;Mojiken;Windows;19 Jan, 2023;Adventure, Indie;https://store.steampowered.com/app/1201270/A_Space_for_the_Unbound/;Unknown;;;;https://www.gog.com/en/game/a_space_for_the_unbound
A Tale of Saviors: Garuda Academy;Indonesia;A Tale of Saviors: Garuda Academy is a 2D turn-based RPG with narrative storytelling. Set in a modern world 10 years after the mystic beast war.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2106620/header.jpg?t=1722960265;Atelier Dream Nova;Atelier Dream Nova;Windows;To be announced;RPG;https://store.steampowered.com/app/2106620/A_Tale_of_Saviors_Garuda_Academy/;Unknown;;;;
ALLBLACK Phase 1;Indonesia;"ALLBLACK Phase 1 is a visual novel adapted from light novel with the same title. Follow the journey of the amnesiac and seemingly abnormal ""Theodore Quentin"" as he uncovers his identi...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1134450/header.jpg?t=1687741432;NSAID;NSAID;Windows, macOS, SteamOS + Linux;5 Dec, 2020;Action, Adventure, Casual, Free To Play, Indie;https://store.steampowered.com/app/1134450/ALLBLACK_Phase_1/;Unknown;;;;
ANDALAS : Realms of Eternal Lights;Indonesia;Join Rei, a brave boy battling brain cancer, on a quest to save the enchanting land of Andalas. Customize your adventure by using tools and items to defeat monsters, transform into po...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3367720/header.jpg?t=1743062899;Busy Beaver Studio;Busy Beaver Studio;Windows;To be announced;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/3367720/ANDALAS__Realms_of_Eternal_Lights/;Unknown;;;;
AXIAL NULL;Indonesia;AXIAL NULL is a hybrid tactical roguelike, combining both Turn-based and Real-time elements into its core gameplay. Immerse yourself into The Void, erasing as many Anomalies as you ca...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3072800/header.jpg?t=1723444964;Efra_EMX;Efra_EMX;Windows, SteamOS + Linux;To be announced;Action, Indie, RPG;https://store.steampowered.com/app/3072800/AXIAL_NULL/;Unknown;;;;
Acts of Blood;Indonesia;Acts of Blood is a Beat ‘em up, Action, 3rd person game which focuses on fast-paced, brutal hand-to-hand combat. Set in dystopian city of Bandung, Indonesia.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3031890/header.jpg?t=1737965506;Eksil Team;Eksil Team;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3031890/Acts_of_Blood/;Unknown;;;;
Adventure Of Thieves;Indonesia;Platformer Lovers !!! Dare to accept the challenge? Player vs Player addicted? Train your skills in single player and join in PvP arena.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/511610/header.jpg?t=1471935610;Binarystudio 54;Binarystudio 54;Windows, macOS;19 Aug, 2016;Action, Casual, Indie, Early Access;https://store.steampowered.com/app/511610/Adventure_Of_Thieves/;Unknown;;;;
Afterlove EP;Indonesia;From the creator of Coffee Talk and What Comes After, comes a slice-of-life adventure set in modern Jakarta about love, loss and finding your own way forward. Step into the shoes of R...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1599780/header.jpg?t=1739615553;Fellow Traveller;Pikselnesia;Windows;14 Feb, 2025;Adventure, Casual, Indie;https://store.steampowered.com/app/1599780/Afterlove_EP/;Unknown;https://store.playstation.com/en-us/concept/10004328;;;
Agni: Village of Calamity;Indonesia;Agni, a determined investigator from a covert Indonesian police unit who defied orders and ventures into a remote village despite ominous warnings. What begins as an unauthorized inve...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3151360/header.jpg?t=1746174240;Separuh Interactive;Separuh Interactive;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/3151360/Agni_Village_of_Calamity/;Unknown;;;;
Almightree: The Last Dreamer;Indonesia;The world is shattering and you are the only hope to restore the balance. A thrilling and challenging 3D puzzle platformer game, Almightree: The Last Dreamer has you racing through a ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/368050/header.jpg?t=1463970102;Digital Tribe;Chocoarts;Windows, macOS, SteamOS + Linux;7 Sep, 2015;Action, Indie, Strategy;https://store.steampowered.com/app/368050/Almightree_The_Last_Dreamer/;Unknown;;;;
Amerta;Indonesia;Amerta is a dark, narrative-driven side scrolling games . The game it's all about time. What happened in the past will affect the future. You will be trapped in a recurring time to so...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2138360/header.jpg?t=1729676685;Manja Studio;Manja Studio;Windows, SteamOS + Linux;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/2138360/Amerta/;Unknown;;;;
An Octave Higher;Indonesia;Fall into the magically complicated world of Overture as the three main characters embark on an adventure that will shake their lives and the world around them. Will they fan the flam...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/352780/header.jpg?t=1572720419;PLAYISM;Kidalang;Windows, macOS, SteamOS + Linux;27 Mar, 2015;Adventure, Indie;https://store.steampowered.com/app/352780/An_Octave_Higher/;Unknown;;;;
