Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Alchemic Cutie;Ireland;Alchemic Cutie is a wholesome relaxing RPG set on colorful Wimba Island. While taming wild jellies, you’ll meet villagers, enter jelly competitions and uncover the secrets of the is...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/913720/header.jpg?t=1725002203;CIRCLE Entertainment, Flyhigh Works;Vakio, Viridian Software;Windows, macOS, SteamOS + Linux;11 Nov, 2021;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/913720/Alchemic_Cutie/;Unknown;Unknown;Unknown;Unknown;Unknown
Amber Isle;Ireland;Welcome to Amber Isle - a quaint, friendly village of prehistoric residents who are in need of a new shopkeep... That’s you! Craft and sell items, upgrade your shop, befriend your P...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1663040/header.jpg?t=1746007211;Team17;Ambertail Games;Windows;10 Oct, 2024;Adventure, Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/1663040/Amber_Isle/;Unknown;Unknown;Unknown;Unknown;Unknown
Among Us;Ireland;An online and local party game of teamwork and betrayal for 4-15 players...in space!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/945360/header.jpg?t=1746224720;Innersloth;Innersloth;Windows;16 Nov, 2018;Casual;https://store.steampowered.com/app/945360/Among_Us/;Unknown;Unknown;Unknown;Unknown;Unknown
Aquamariner;Ireland;Aquamariner is a relaxing, single-player fishing game in which you explore & catch fish, to help raise funds to rebuild your damaged home.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1428060/header.jpg?t=1705398713;Neon Dream Interactive, Nova Realities;Neon Dream Interactive, Nova Realities;Windows, macOS;16 Nov, 2023;Casual, Indie, Simulation;https://store.steampowered.com/app/1428060/Aquamariner/;Unknown;Unknown;Unknown;Unknown;Unknown
Arc Savior;Ireland;Discover a beautiful and brutal universe through three immersive stories. Champion blazing fast dog-fights, Out wit aggressive defense systems and overcome constant overwhelming odds....;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/871310/header.jpg?t=1556214549;Squid Monkey Studios;Squid Monkey Studios;Windows;31 Jan, 2019;Action, Indie, Simulation;https://store.steampowered.com/app/871310/Arc_Savior/;Unknown;Unknown;Unknown;Unknown;Unknown
Aurora Hex - Pattern Puzzles;Ireland;Aurora Hex - Pattern Puzzles is a relaxing and peaceful puzzle game, where you link matching pieces together to discover beautiful hidden patterns.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1068540/header.jpg?t=1591171838;Final Game Studio;Final Game Studio;Windows, macOS;4 Jun, 2019;Casual, Indie;https://store.steampowered.com/app/1068540/Aurora_Hex__Pattern_Puzzles/;Unknown;Unknown;Unknown;Unknown;Unknown
AuroraBound Deluxe;Ireland;AuroraBound Deluxe is a relaxing and addictive puzzle game, where you link matching pieces together to discover beautiful hidden patterns.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/724640/header.jpg?t=1591175180;Final Game Studio;Final Game Studio;Windows, macOS;1 Nov, 2017;Casual, Indie, Simulation;https://store.steampowered.com/app/724640/AuroraBound_Deluxe/;Unknown;Unknown;Unknown;Unknown;Unknown
Axyz;Ireland;Axyz is a retro gravity switching puzzle game that asks the player to use their environmental and spatial awareness to beat every level. Soak in the vaporwave, switch gravity, collect...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2850490/header.jpg?t=1744125785;Space Lion Studios;Space Lion Studios;Windows, macOS, SteamOS + Linux;27 Mar, 2025;Indie;https://store.steampowered.com/app/2850490/Axyz/;Unknown;Unknown;Unknown;Unknown;Unknown
BattleClaws;Ireland;Experience the ultimate local multiplayer claw 'em up! Battle for glory in this fast-paced arcade elimination game. Collect prizes for points, outlast your rivals, and be the last cla...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2835960/header.jpg?t=1723826979;DameGev;DameGev, EveryPlanet, Gronkiee, endoran;Windows;31 Jul, 2024;Casual, Early Access;https://store.steampowered.com/app/2835960/BattleClaws/;Unknown;Unknown;Unknown;Unknown;Unknown
Benign Land;Ireland;A short, dreamlike experience where you drift through haunting scenes set in Ireland, from pagan times to recent historical events, revolving around the Troubles of Northern Ireland.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3345970/header.jpg?t=1738330105;AFTERNATURE productions;Leandros Ntolas;Windows;24 Jan, 2025;Casual, Indie, Simulation;https://store.steampowered.com/app/3345970/Benign_Land/;Unknown;Unknown;Unknown;Unknown;Unknown
