Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Dream Chaser;Japan;Trapped in a strange world, the protagonist explores various dream worlds, escapes from a chaser, and finds the path to return to reality.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3126300/header.jpg?t=1742483222;binBranchStudio;binBranchStudio;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3126300/Dream_Chaser/;Unknown;Unknown;Unknown;Unknown;Unknown
Love, Internet, and Murder Magic;Japan;"Love, Internet, and Murder Magic is a Roguelike game. You will role-play an agent of a streamer who died because of a murder. You are trying to ""bring her back"" through AI technology ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3028730/header.jpg?t=1737032942;Renka;Renka;Windows;To be announced;Indie;https://store.steampowered.com/app/3028730/Love_Internet_and_Murder_Magic/;Unknown;Unknown;Unknown;Unknown;Unknown
Syutyaku Gakuen;Japan;The only quality that can be measured is whether or not they possess the qualities of morbid love. As they spend their time at the school, what was once a peaceful life turns into a b...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3236000/header.jpg?t=1742109417;mokosoft;mokosoft;Windows;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/3236000/Syutyaku_Gakuen/;Unknown;Unknown;Unknown;Unknown;Unknown
One Turn Kill;Japan;One Turn Kill is a PvE card game where card drawing and deck control are the keys to victory. Engage in battles limited to a single turn for an exhilarating, suspenseful experience.Jo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3151270/header.jpg?t=1744391860;Waku Waku Games;DenDen;Windows;To be announced;Strategy;https://store.steampowered.com/app/3151270/One_Turn_Kill/;Unknown;Unknown;Unknown;Unknown;Unknown
Skill Hockey;Japan;``Skill Hockey'' is a super exciting new air hockey game where you enter commands during play to activate flashy special moves and drive the puck into your opponent's goal!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3074910/header.jpg?t=1744446130;Bogosor Studio;Bogosor Studio;Windows, macOS;To be announced;Action, Casual, Indie, Sports;https://store.steampowered.com/app/3074910/Skill_Hockey/;Unknown;Unknown;Unknown;Unknown;Unknown
SONOKUNI;Japan;Battle your way through a biopunk and Japanese mythology-inspired landscape filled with over-the-top, hip hop-infused 2D action. A single hit means death, but use your time-bending sk...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2054380/header.jpg?t=1743440659;Kakehashi Games;DON YASA CREW;Windows;To be announced;Action;https://store.steampowered.com/app/2054380/SONOKUNI/;Unknown;Unknown;Unknown;Unknown;Unknown
VARYZNEX;Japan;classical horizontal scroll 2D Shmup;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2976800/header.jpg?t=1743419090;zakichi;zakichi;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/2976800/VARYZNEX/;Unknown;Unknown;Unknown;Unknown;Unknown
Of the Red, the Light, and the Ayakashi Tsuzuri;Japan;"A modern Japanese-style fantasy story involving Yue, a young boy born and raised at a shrine, and his friendship with the ""Ayakashi"" spirits. HaccaWorks* presents a A mysterious, spir...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2474700/header.jpg?t=1712032699;dramatic create;dramatic create;Windows;To be announced;Adventure;https://store.steampowered.com/app/2474700/Of_the_Red_the_Light_and_the_Ayakashi_Tsuzuri/;Unknown;Unknown;Unknown;Unknown;Unknown
Denshi Life 2 / デンシライフ 2;Japan;Control life forms, represented by the movement of particles, through “mutation”, “wind”, and “activation” to take the pictures directed by the mission! The simple, new ga...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3176490/header.jpg?t=1740435515;Mindware;Mindware;Windows;To be announced;Action, Casual, Indie, Simulation;https://store.steampowered.com/app/3176490/Denshi_Life_2___2/;Unknown;Unknown;Unknown;Unknown;Unknown
UFO-Man;Japan;Control the UFO. Carry the Luggage. DON'T DROP IT. – A simple yet challenging foddian game for aliens.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3091230/header.jpg?t=1729826856;Dyglone;Dyglone;Windows, macOS;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3091230/UFOMan/;Unknown;Unknown;Unknown;Unknown;Unknown
