Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Vampyre Story: A Bat's Tale;Lithuania;Mona and Froderick are back in this gorgeous supernatural comedy point-and-click adventure, born from a marriage between the golden age of the genre and the modern era – and boastin...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3273370/header.jpg?t=1737121637;Autumn Moon Entertainment, Tag of Joy;Autumn Moon Entertainment, Tag of Joy;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie;https://store.steampowered.com/app/3273370/A_Vampyre_Story_A_Bats_Tale/;Unknown;Unknown;Unknown;Unknown;Unknown
ALL WILL FALL: Physics-Based Survival City Builder;Lithuania;A post-apocalyptic city builder where every structure can collapse. Master a unique physics-based 3D construction system, create a sprawling vertical settlement on water, scavenge for...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2706020/cd46884a87a74b31a5d9049a1993bd102e061298/header_alt_assets_1.jpg?t=1745386188;tinyBuild;All Parts Connected;Windows;To be announced;Simulation, Strategy;https://store.steampowered.com/app/2706020/ALL_WILL_FALL_PhysicsBased_Survival_City_Builder/;Unknown;Unknown;Unknown;Unknown;Unknown
Adam Waste;Lithuania;This is an episodic post apocalyptic sci-fi story.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673310/header.jpg?t=1519986739;Blackturn Ltd;Blackturn Ltd;Windows;21 Nov, 2017;Action, Adventure;https://store.steampowered.com/app/673310/Adam_Waste/;Unknown;Unknown;Unknown;Unknown;Unknown
Antipaint;Lithuania;An action-packed roguelite shooter where you battle famous works of art and each level you beat becomes a masterpiece to add to your colorful collection.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1418390/header.jpg?t=1745396759;Vilius Prakapas;Vilius Prakapas;Windows;11 Mar, 2024;Action, Casual, Indie;https://store.steampowered.com/app/1418390/Antipaint/;Unknown;Unknown;Unknown;Unknown;Unknown
Asteroids: Recharged;Lithuania;How long can you survive the depths of space in this fresh revival of the classic arcade shooter, all while grooving to an original score by Megan McDuffee. Pilot solo or recruit a fr...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1700890/header.jpg?t=1679926924;Atari;Adamvision Studios, SneakyBox;Windows;14 Dec, 2021;Action;https://store.steampowered.com/app/1700890/Asteroids_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
BREACH IT;Lithuania;"""BREACH IT"" is tactical multiplayer attack - defend type shooter. As an attacker destroy walls, doors with C4, hammers or tons of bullets to get to the enemy from an angle they would ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/591790/header.jpg?t=1733347956;My Way Games;Domas Sabockis;Windows;30 May, 2017;Action, Indie, Strategy, Early Access;https://store.steampowered.com/app/591790/BREACH_IT/;Unknown;Unknown;Unknown;Unknown;Unknown
Bacon May Die;Lithuania;Chaotic bacon-flavored beat'em up with plenty of enemies to smash around;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646240/header.jpg?t=1664270316;SnoutUp;SnoutUp;Windows;15 Apr, 2021;Action, Casual, Free To Play, Indie;https://store.steampowered.com/app/646240/Bacon_May_Die/;Unknown;Unknown;Unknown;Unknown;Unknown
Baisu;Lithuania;"Step into the shoes of Detective Clay Kriest in ""Baisu,"" a chilling tale of family, art, and the haunting unknown. As you arrive at the secluded residence of Maple Street 22, respondi...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2821850/header.jpg?t=1740479362;Tripleducks studio;Tripleducks studio;Windows;30 May, 2024;Indie;https://store.steampowered.com/app/2821850/Baisu/;Unknown;Unknown;Unknown;Unknown;Unknown
Baltic Folk;Lithuania;Baltic Folk is a magical tavern management game inspired by Baltic mythology. Build your dream inn, manage staff, craft menus, and welcome forest souls and ancient gods. Enjoy cozy vi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3009720/header.jpg?t=1731355481;SneakyBox;SneakyBox;Windows, macOS, SteamOS + Linux;To be announced;Casual, Simulation;https://store.steampowered.com/app/3009720/Baltic_Folk/;Unknown;Unknown;Unknown;Unknown;Unknown
Bandle Tale: A League of Legends Story;Lithuania;Bandle Tale: A League of Legends Story is a crafting RPG set in the whimsical world of Bandle City. After a party goes wrong, the portals that connect your home collapse and throw eve...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1759380/header.jpg?t=1710190745;Riot Forge;Lazy Bear Games;Windows;21 Feb, 2024;RPG, Simulation;https://store.steampowered.com/app/1759380/Bandle_Tale_A_League_of_Legends_Story/;Unknown;Unknown;Unknown;Unknown;Unknown
Berzerk: Recharged;Lithuania;Blast your way through an endless maze inhabited by deadly robots and their invulnerable, menacing master Evil Otto. Tag in a friend in local co-op to help you survive this twin-stick...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2623050/header.jpg?t=1732314482;Atari;SneakyBox;Windows, macOS, SteamOS + Linux;9 Nov, 2023;Action, Adventure, Indie;https://store.steampowered.com/app/2623050/Berzerk_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
Black Widow: Recharged;Lithuania;Defend your spider web from an onslaught of bugs in this frenetic revival of the cult classic twin-stick shooter, all while jamming to an infectious original score by Megan McDuffee. ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1714180/header.jpg?t=1637569674;Atari;Adamvision Studios, SneakyBox;Windows;28 Oct, 2021;Action;https://store.steampowered.com/app/1714180/Black_Widow_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
Blazing Beaks;Lithuania;Roguelite - where too much greediness can be fatal. A colorful world with armed birds blazing their way through piles of mutants, monsters and creepy creatures. Lots of mysteries to u...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/585710/header.jpg?t=1725218805;Applava;Applava;Windows;10 May, 2019;Action, Indie;https://store.steampowered.com/app/585710/Blazing_Beaks/;Unknown;Unknown;Unknown;Unknown;Unknown
Bloody Horror Plant;Lithuania;Bloody Horror Plant – probably the bloodiest casual point and click adventure game ever! Help Horror Plant solve interesting and funny point and click puzzles, kill evil dwarfs, sav...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2304590/header.jpg?t=1739146579;Funky Forest;Funky Forest;Windows;To be announced;Adventure, Casual;https://store.steampowered.com/app/2304590/Bloody_Horror_Plant/;Unknown;Unknown;Unknown;Unknown;Unknown
Bloody Rally Show;Lithuania;Welcome to Bloody Rally Show - a head-on smash between frenetic top-down arcade racing and hyperviolent reality TV. You must drift, boost, and blast to keep the viewers entertained an...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/926860/header.jpg?t=1723608975;Kodo Linija;Kodo Linija;Windows, macOS, SteamOS + Linux;19 Feb, 2020;Action, Indie, Racing, RPG, Simulation, Sports;https://store.steampowered.com/app/926860/Bloody_Rally_Show/;Unknown;Unknown;Unknown;Unknown;Unknown
Bloomtown: A Different Story;Lithuania;Bloomtown: A Different Story is a narrative JRPG mixing turn-based combat, monster taming and social RPG set in a seemingly pleasant 1960s Americana world. Join Emily and her group of...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2445990/header.jpg?t=1744099999;Twin Sails Interactive;Lazy Bear Games, Different Sense Games;Windows;24 Sep, 2024;Adventure, Indie, RPG;https://store.steampowered.com/app/2445990/Bloomtown_A_Different_Story/;Unknown;Unknown;Unknown;Unknown;Unknown
Book Smugglers;Lithuania;Join the courageous underground network of Book Smugglers in a grim decision-making, point-and-click, resource-management adventure as they risk everything to preserve their cultural ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2720940/header.jpg?t=1744898180;FLUXO GAMES;FLUXO GAMES;Windows;To be announced;Adventure, Simulation;https://store.steampowered.com/app/2720940/Book_Smugglers/;Unknown;Unknown;Unknown;Unknown;Unknown
Bounty Hunter;Lithuania;"""Bounty Hunter"" is a card-based dungeon crawler. Navigate through puzzle decks with enemies, traps and puzzles using guns, items and upgrades bought at a dive bar game hub that’s a ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2359830/header.jpg?t=1693297766;SneakyBox;SneakyBox;Windows;To be announced;Indie, RPG, Strategy;https://store.steampowered.com/app/2359830/Bounty_Hunter/;Unknown;Unknown;Unknown;Unknown;Unknown
Breakout: Recharged;Lithuania;The original brick breaker returns with its toughest challenge yet. Survive as long as you can in arcade or take on one of 50 challenges picking up game-changing power-ups along the w...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1714190/header.jpg?t=1644480245;Atari;Adamvision Studios, SneakyBox;Windows, macOS, SteamOS + Linux;10 Feb, 2022;Action, Casual;https://store.steampowered.com/app/1714190/Breakout_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
Broom Broom Karts;Lithuania;Broom Broom Karts A chaotic multiplayer kart racer with wacky characters, crazy abilities, and unique tracks. Ready, set, broom!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3365990/5f1d153f89bd72355664220a3b2fc6ee7e1a9578/header.jpg?t=1746116774;arnenzo1;arnenzo1;Windows;To be announced;Indie, Racing;https://store.steampowered.com/app/3365990/Broom_Broom_Karts/;Unknown;Unknown;Unknown;Unknown;Unknown
Card Hog;Lithuania;Card Hog is a pig-based dungeon crawler with roguelike and deck building elements. Take the role of an adventurous hog and interact with more than 100 cards of dangerous enemies, powe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1163740/header.jpg?t=1729102740;SnoutUp;SnoutUp;Windows;4 Dec, 2023;Casual, Indie, RPG, Strategy;https://store.steampowered.com/app/1163740/Card_Hog/;Unknown;Unknown;Unknown;Unknown;Unknown
Caverns of Mars: Recharged;Lithuania;Race through caverns while blasting away enemies and terrain to reach the depths of Mars in this reimagining of the 1981 classic.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2213980/header.jpg?t=1732314604;Atari;SneakyBox;Windows, macOS, SteamOS + Linux;8 Mar, 2023;Action;https://store.steampowered.com/app/2213980/Caverns_of_Mars_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
Centipede: Recharged;Lithuania;Blast bugs and chase high scores in this glorious revival of an old-school classic, all while jamming to a heart-pounding original score by Megan McDuffee. Play solo or tag in a frien...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1630960/header.jpg?t=1679927166;Atari;Adamvision Studios, SneakyBox;Windows, macOS, SteamOS + Linux;29 Sep, 2021;Action;https://store.steampowered.com/app/1630960/Centipede_Recharged/;Unknown;Unknown;Unknown;Unknown;Unknown
