Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Dance of Fire and Ice;Malaysia;A Dance of Fire and Ice is a strict rhythm game. Keep your focus as you guide two orbiting planets along a winding path without breaking their perfect equilibrium.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/977950/header.jpg?t=1734406213;7th Beat Games, indienova;7th Beat Games;Windows, macOS, SteamOS + Linux;24 Jan, 2019;Indie;https://store.steampowered.com/app/977950/A_Dance_of_Fire_and_Ice/;Unknown;Unknown;Unknown;Unknown;Unknown
Ageless;Malaysia;Ageless is a story driven puzzle platformer where you must alter the age of animals and plant life around you to progress. Play as Kiara, a young girl who braves through heartache and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1210150/header.jpg?t=1731939952;Team17 Digital Ltd;One More Dream Studios;Windows;28 Jul, 2020;Adventure, Indie;https://store.steampowered.com/app/1210150/Ageless/;Unknown;Unknown;Unknown;Unknown;Unknown
Alpha Kimori™ 1;Malaysia;Alpha Kimori™ Great Doubt™ Episode One is the first of a trilogy of bright and colorful Japanese Anime inspired story-driven episodic 2D Role Playing Games, which feature an intri...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/265870/header.jpg?t=1447359569;Sherman3D;Sherman3D;Windows;17 Mar, 2014;Adventure, Casual, Indie, RPG, Strategy;https://store.steampowered.com/app/265870/Alpha_Kimori_1/;Unknown;Unknown;Unknown;Unknown;Unknown
Amnesiac Adventurer;Malaysia;Our brave adventurer is almost at the end of his heroic journey, but realizes that his memories have been jumbled! Now filled with questions and doubts, he must recall what happened i...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1781060/header.jpg?t=1648396035;RoundTable Games Studio;RoundTable Games Studio;Windows;26 Mar, 2022;Casual;https://store.steampowered.com/app/1781060/Amnesiac_Adventurer/;Unknown;Unknown;Unknown;Unknown;Unknown
Astral Break;Malaysia;"Astral Break is a fusion of mech and roguelite action. Experience thrilling ""thrust"" controls that propel you through dynamic dungeons. Collect diverse modular armors to refine your c...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3145570/header.jpg?t=1737702968;Orb Square Studio;Orb Square Studio;Windows, SteamOS + Linux;To be announced;Action, Indie;https://store.steampowered.com/app/3145570/Astral_Break/;Unknown;Unknown;Unknown;Unknown;Unknown
Attack Of UNDO Zai;Malaysia;High definition furry anime characters in a non-stop action shooter with team.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1569720/header.jpg?t=1638279076;UNDO Academy;CTRLZ Game Studio, UNDO Academy;Windows;30 Nov, 2021;Action, Casual;https://store.steampowered.com/app/1569720/Attack_Of_UNDO_Zai/;Unknown;Unknown;Unknown;Unknown;Unknown
Bake 'n Switch;Malaysia;Bake ‘n Switch is a cute, yet tough couch co-op and PvP party game for 1-4 players. Embark on a 'Bun Solo' single-player adventure or team up with other Bakers to catch, throw, and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1080410/header.jpg?t=1624352320;Streamline Media Group;Streamline Games;Windows;21 Aug, 2020;Action, Adventure, Casual, Indie, Strategy;https://store.steampowered.com/app/1080410/Bake_n_Switch/;Unknown;Unknown;Unknown;Unknown;Unknown
Banzai Escape;Malaysia;Banzai Universe Prologue. Starring Rokiahi as P.A.S.K.A.L special agent.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/440340/header.jpg?t=1633506717;Xenoaisam Studio;XenoAisam;Windows;16 Mar, 2016;Action;https://store.steampowered.com/app/440340/Banzai_Escape/;Unknown;Unknown;Unknown;Unknown;Unknown
Banzai Escape 2;Malaysia;Banzai Universe continuation. Starring Rokiahi and Cpt. Benci as P.A.S.K.A.L special agents.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1230990/header.jpg?t=1666987097;Xenoaisam Studio;XenoAisam;Windows;17 Feb, 2020;Action, Adventure;https://store.steampowered.com/app/1230990/Banzai_Escape_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Banzai Escape 2: Subterranean;Malaysia;Banzai Escape 2 Subterranean is a Singleplayer or Co-op Cute Anime Third-person Action Modern Warfare Shooter and a sequel based the events of Banzai Escape 2. You as a player, contro...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1758950/header.jpg?t=1745941406;Xenoaisam Studio;XenoAisam;Windows;29 Oct, 2021;Action, Early Access;https://store.steampowered.com/app/1758950/Banzai_Escape_2_Subterranean/;Unknown;Unknown;Unknown;Unknown;Unknown
