Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
2V Hoverbike;Mexico;2V Hoverbike is a horizontal shoot 'em up.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/665650/header.jpg?t=1516893102;intertum;Intertum;Windows, macOS;6 Jul, 2017;Action, Indie;https://store.steampowered.com/app/665650/2V_Hoverbike/;Unknown;;;;
9 Years of Shadows;Mexico;Fight to bring beautiful colors back to a hand-crafted world of darkness and discover the story of Europa, a young warrior, and her ghostly childhood companion, Apino.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1402120/header.jpg?t=1741880446;indie.io;Halberd Studios;Windows;27 Mar, 2023;Action, Adventure, Indie;https://store.steampowered.com/app/1402120/9_Years_of_Shadows/;Unknown;;;;https://www.gog.com/en/game/9_years_of_shadows
A Tiny Sticker Tale;Mexico;A Tiny Sticker Tale is a cozy miniature adventure about changing the world, using the power of stickers!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2322180/header.jpg?t=1733937108;Ogre Pixel;Ogre Pixel;Windows, macOS, SteamOS + Linux;4 Oct, 2023;Adventure, Indie;https://store.steampowered.com/app/2322180/A_Tiny_Sticker_Tale/;Unknown;;;https://www.nintendo.com/us/store/products/a-tiny-sticker-tale-switch/;https://www.gog.com/en/game/a_tiny_sticker_tale
ABC Coloring Town;Mexico;ABC Coloring Town offers a creative playground for children and is a fun way to learn Basic English pronunciation and words. Explore and learn letters from the alphabet as you visit c...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/478010/header.jpg?t=1667865223;EnsenaSoft;EnsenaSoft;Windows;29 May, 2016;Casual;https://store.steampowered.com/app/478010/ABC_Coloring_Town/;Unknown;;;;
ABO MANDO;Mexico;Have fun accompanying the young from the beyond to the future but first you have to fight with mythical entities of Mexican horror.A really hardcore game for the new gamers. Take the ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/429950/header.jpg?t=1452514256;Andrés Calva, Luis Calva;UNDEAD;Windows;31 Dec, 2015;Action, Adventure, Indie;https://store.steampowered.com/app/429950/ABO_MANDO/;Unknown;;;;
AM Archaic Memories;Mexico;It's a 3D platform about the dreams and nightmares of a 90-year-old being.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3166130/header.jpg?t=1746465991;Third World Productions;Third World Productions;Windows, SteamOS + Linux;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3166130/AM_Archaic_Memories/;Unknown;;;;
Adele: Following the Signs;Mexico;The year is 2029. It is the end of the world. Take on the role of Mike, who is in the woods with his daughter, fleeing from a wave of zombies. During the escape, Mike falls and loses ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/457980/header.jpg?t=1464896298;Unosquare;Unosquare;Windows, macOS, SteamOS + Linux;2 Jun, 2016;Adventure, Indie;https://store.steampowered.com/app/457980/Adele_Following_the_Signs/;Unknown;;;;
Age of ilcoin VR : Retribution;Mexico;Age of ILCoin Retribution is a virtual reality game set in a futuristic sci-fi action setting where the ultimate treasure is ILCoins (ILCs). You will become “The Miner” and your m...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1474000/header.jpg?t=1690946532;FOCKA GAMES;FOCKA GAMES, ILCOIN Development team;Windows;1 Dec, 2020;Action, Casual, Free To Play;https://store.steampowered.com/app/1474000/Age_of_ilcoin_VR__Retribution/;Unknown;;;;
Agent Awesome;Mexico;Agent Awesome is a humorous strategy game in which you will have to help Agent A plan the perfect strategy to take down E.V.I.L., all of this in order to win a drunk dare. Awesome, ri...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/345220/header.jpg?t=1714950770;Conglomerate 5;Chaos Industries;Windows, macOS;17 Feb, 2015;Strategy;https://store.steampowered.com/app/345220/Agent_Awesome/;Unknown;;;;
Ajedrez una tarde de Otoño;Mexico;chess simulator game;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1788710/header.jpg?t=1640900259;Luis Pedro Lopez Perez;Luis Pedro Lopez Perez;Windows;18 Nov, 2021;Indie, Simulation;https://store.steampowered.com/app/1788710/Ajedrez_una_tarde_de_Otono/;Unknown;;;;
Another Crusade;Mexico;Discover a 3d wooden puppet style world while exploring as a platformer, and taking battles in a turn-based combat as an old school RPG where timing and strategy are the keys to victo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2016190/header.jpg?t=1746141620;Dragon Vein Studios;Dragon Vein Studios;Windows;14 Sep, 2023;Adventure, RPG, Strategy;https://store.steampowered.com/app/2016190/Another_Crusade/;Unknown;;;;
Arco;Mexico;A Mesoamerican fantasy RPG that blends turn-based and real-time combat. Explore the world through three handcrafted stories forged in bloodshed, laced with magic, and united by revenge.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2366970/header.jpg?t=1732725413;Panic;Franek, Max Cahill, Bibiki, Fáyer;Windows, macOS;15 Aug, 2024;Action, Indie, Strategy;https://store.steampowered.com/app/2366970/Arco/;Unknown;;;;
Arpsic;Mexico;Arpsic is a casual musical rhythm game. With Arpsic, you can train yourself with intuitive lessons, learn the treble clef, bass clef, and more!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1713340/header.jpg?t=1724944267;Green Retroman Games;Green Retroman;Windows;7 Nov, 2022;Casual, Indie;https://store.steampowered.com/app/1713340/Arpsic/;Unknown;;;;
Astrodogs;Mexico;Astrodogs is an on-rails arcade action game featuring a cast of space dogs that have to save the galaxy from WOOFER, a corporation that controls everything. Also ran by dogs.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1301230/header.jpg?t=1689882335;Digital Tribe;Dynamic Media Triad;Windows;8 Apr, 2021;Action, Adventure, Indie;https://store.steampowered.com/app/1301230/Astrodogs/;Unknown;;;;https://www.gog.com/en/game/astrodogs
Ataque Marino;Mexico;A deliberate act or a fatal accident. Something has turned all forms of marine life into fierce monsters that attack everything that moves. Immerse yourself in this exciting adventure...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/998780/header.jpg?t=1546360485;Play Indie México;Play Indie México;Windows;1 Jan, 2019;Indie;https://store.steampowered.com/app/998780/Ataque_Marino/;Unknown;;;;
Attractio;Mexico;Be the first to change gravity and solve hard deadly puzzles in Attractio! Control the 3 contestants: Dalek, Mia and Keir, who compete to win the controversial reality show. You will ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/317060/header.jpg?t=1666372652;GameCoder Studios;GameCoder Studios, Render Farm Studios;Windows, macOS, SteamOS + Linux;18 Jan, 2016;Action;https://store.steampowered.com/app/317060/Attractio/;Unknown;;;;
Aztech Forgotten Gods;Mexico;Aztech Forgotten Gods, the cyber-stone universe action-adventure game that follows Achtli, a young Aztec woman, in her quest to become a hero by wielding the power of the gods.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1592320/header.jpg?t=1678835442;Lienzo;Lienzo;Windows;10 Mar, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/1592320/Aztech_Forgotten_Gods/;Unknown;;;;https://www.gog.com/en/game/aztech_forgotten_gods
Baaxal Yuum;Mexico;Egon is a third-person shooter game in an apocalyptic world, the Egonians will have to explore and fight to end the Infection that almost ends with the planet, having to close the Gen...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1162910/header.jpg?t=1635986402;FutugrafIc Studios ;Futugrafic Studios;Windows;To be announced;Action, Free To Play, Indie, Massively Multiplayer;https://store.steampowered.com/app/1162910/Baaxal_Yuum/;Unknown;;;;
Balloon Blowout;Mexico;Balloon Blowout invites you to pop weird and wacky balloons! In this colorful puzzler, balloons have escaped and you must pop them all before they get away. You get points for each po...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/542740/header.jpg?t=1667865498;EnsenaSoft;EnsenaSoft;Windows;28 Oct, 2016;Action, Casual;https://store.steampowered.com/app/542740/Balloon_Blowout/;Unknown;;;;
Barnyard Mahjong 3;Mexico;Barnyard Mahjong 3 takes you on a grand adventure around the farm playing challenging mahjong puzzles with farm-inspired animals such as horses, cows and chickens.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/498030/header.jpg?t=1667865615;EnsenaSoft;EnsenaSoft;Windows;29 Jul, 2016;Casual;https://store.steampowered.com/app/498030/Barnyard_Mahjong_3/;Unknown;;;;
Batallas Galacticas;Mexico;a company is hiring people to drive a spaceship across the solar system, time to do some work and make some money!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1345390/header.jpg?t=1640900177;Luis Pedro Lopez Perez;Luis Pedro Lopez Perez;Windows;17 Feb, 2021;Adventure, Indie, Racing;https://store.steampowered.com/app/1345390/Batallas_Galacticas/;Unknown;;;;
Bayla Bunny;Mexico;Bayla Bunny has discovered a book full of maps to magical treasures and loot, and sets out on an exciting adventure to discover them all. Energized and ready to explore, she takes off...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/489900/header.jpg?t=1667865690;EnsenaSoft;EnsenaSoft;Windows;13 Jun, 2016;Casual;https://store.steampowered.com/app/489900/Bayla_Bunny/;Unknown;;;;
