Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Bloody Hell;Netherlands;A short but sweet game about an Angel on a Bloody Bullet-hell mission to kill Satan! Dash, Double Dash, Grapple & Blast your way through Hell to fulfill your Holy Mission. Will you be...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2056220/header.jpg?t=1721415490;Pun Intended;Pun Intended;Windows;27 Jan, 2023;Action, Adventure, Indie, Free To Play;https://store.steampowered.com/app/2056220/Bloody_Hell/;Unknown;Unknown;Unknown;Unknown;Unknown
Frog Detective 1: The Haunted Island;Netherlands;You're a detective, and a frog, and it's time to solve a mystery.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/963000/header.jpg?t=1746201247;worm club, SUPERHOT PRESENTS;Grace Bruxner, Thomas Bowker;Windows, macOS;22 Nov, 2018;Adventure, Casual, Indie;https://store.steampowered.com/app/963000/Frog_Detective_1_The_Haunted_Island/;Unknown;Unknown;Unknown;Unknown;Unknown
Frog Detective 2: The Case of the Invisible Wizard;Netherlands;You're a detective, and a frog, and it's time to solve a mystery. Also there's a wizard.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1047220/header.jpg?t=1746201438;worm club, SUPERHOT PRESENTS;Grace Bruxner, Thomas Bowker;Windows, macOS;9 Dec, 2019;Adventure, Casual, Indie;https://store.steampowered.com/app/1047220/Frog_Detective_2_The_Case_of_the_Invisible_Wizard/;Unknown;Unknown;Unknown;Unknown;Unknown
Frog Detective 3: Corruption at Cowboy County;Netherlands;You're a detective, and a frog, and it's time to solve a mystery in the wild west.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1171320/header.jpg?t=1746201618;worm club, SUPERHOT PRESENTS;Grace Bruxner, Thomas Bowker;Windows, macOS;26 Oct, 2022;Adventure, Casual, Indie;https://store.steampowered.com/app/1171320/Frog_Detective_3_Corruption_at_Cowboy_County/;Unknown;Unknown;Unknown;Unknown;Unknown
Frog's Adventure;Netherlands;You're a frog who just got given a brain! 🐸 Point-and-click your way through a hand-drawn world and solve puzzles, collect items and talk to other hexed animals. . . Can you lift t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2535670/header.jpg?t=1701637851;Sokpop Collective;Sokpop Collective;Windows, macOS;2 Aug, 2023;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/2535670/Frogs_Adventure/;Unknown;Unknown;Unknown;Unknown;Unknown
Herald: An Interactive Period Drama - Book I & II;Netherlands;Herald is a choice-driven adventure set on colonial tides. Board the HLV Herald and uncover its dark secrets in an intriguing tale about tyranny and servitude.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/380810/e16c222195771323a8537d9c85397608b87e4379/header.jpg?t=1746173970;Wispfire;Wispfire;Windows, macOS, SteamOS + Linux;22 Feb, 2017;Adventure, Indie;https://store.steampowered.com/app/380810/Herald_An_Interactive_Period_Drama__Book_I__II/;Unknown;Unknown;Unknown;Unknown;Unknown
Isonzo;Netherlands;Ferocious Alpine warfare will test your tactical skills in this authentic WW1 FPS. Battle among the scenic peaks, rugged valleys and idyllic towns of northern Italy. The Great War on ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1556790/bc8efee0bfa4745584a506cdf1ab8c0721b32dc8/header_alt_assets_10.jpg?t=1745844938;BlackMill Games;BlackMill Games;Windows, macOS, SteamOS + Linux;13 Sep, 2022;Action, Indie, Massively Multiplayer, Simulation, Strategy;https://store.steampowered.com/app/1556790/Isonzo/;Unknown;Unknown;Unknown;Unknown;Unknown
Lumini;Netherlands;A long-forgotten species, a hostile planet and a journey of discovery! Welcome to the world of Lumini – split and reform your swarm, evolve and discover new abilities to bring the L...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/360840/header.jpg?t=1710786333;2Awesome Studio;Speelbaars;Windows, macOS, SteamOS + Linux;3 Sep, 2015;Adventure, Indie;https://store.steampowered.com/app/360840/Lumini/;Unknown;Unknown;Unknown;Unknown;Unknown
Milo and the Magpies;Netherlands;Milo and the Magpies is a point-and-click, hidden object game following the story of a little cat named Milo who is trying to find his way home after getting turned around by an unfor...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1407420/header.jpg?t=1703496388;Second Maze;Johan Scherft;Windows, macOS;7 Sep, 2021;Adventure, Indie;https://store.steampowered.com/app/1407420/Milo_and_the_Magpies/;Unknown;Unknown;Unknown;Unknown;Unknown
News Tower;Netherlands;Develop your newspaper and become New York’s new media mogul! In this tycoon, build and manage your newspaper from printer to toilet. Create your editorial line and lead your journa...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1649950/header.jpg?t=1744301267;Twin Sails Interactive;Sparrow Night;Windows, macOS;13 Feb, 2024;Simulation, Strategy, Early Access;https://store.steampowered.com/app/1649950/News_Tower/;Unknown;Unknown;Unknown;Unknown;Unknown
