Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
39 Days to Mars;New Zealand;Embark on the 19th century's most unreliable spaceship in this 2 player couch co-op adventure. 39 Days to Mars is a unique game designed to be played with a friend, where both players...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504920/header.jpg?t=1745881953;It's Anecdotal;It's Anecdotal;Windows, macOS, SteamOS + Linux;25 Apr, 2018;Adventure, Indie;https://store.steampowered.com/app/504920/39_Days_to_Mars/;Unknown;https://store.playstation.com/en-us/product/UP5315-CUSA17061_00-MARS000000000001/;https://www.xbox.com/en-us/games/store/39-Days-to-Mars/9NHD9TBK2M03;;
A Fistful of Gun;New Zealand;Select one of eleven unique playable gunslingers and seek revenge solo or with your friends in Online or Local Co-Op! Master the specialized controls of each character, collect gold f...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/229810/header.jpg?t=1721340574;Devolver Digital;FarmerGnome;Windows;23 Sep, 2015;Action, Indie;https://store.steampowered.com/app/229810/A_Fistful_of_Gun/;Unknown;;;;
AMID EVIL;New Zealand;A retro FPS for the ages! Once branded a HERETIC. Now YOU have been chosen as our champion! Reclaim our sacred weapons. Take back our ancient lands. If you can stand... AMID EVIL.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673130/ac7a568968bcfcdf78c215b920b77e67deadd54c/header.jpg?t=1743245671;New Blood Interactive;Indefatigable;Windows;20 Jun, 2019;Action, Adventure, Indie;https://store.steampowered.com/app/673130/AMID_EVIL/;Unknown;;;;
ATONE: Heart of the Elder Tree;New Zealand;ATONE is a Norse mythology-inspired, hand-drawn game that blends interactive storytelling and complex puzzles with a rhythm game combat system. Inherit the role of a young warrior nam...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/894620/header.jpg?t=1730139946;Untold Tales;Wildboy Studios;Windows;27 Jan, 2023;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/894620/ATONE_Heart_of_the_Elder_Tree/;Unknown;;;;
Agent Intercept;New Zealand;Agent Intercept is an over-the-top arcade action game where you drive a transforming spy vehicle through exotic locales, perform ridiculous stunts, and blow things up to save the worl...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1502710/header.jpg?t=1726438072;PikPok;PikPok;Windows;16 Jun, 2021;Action;https://store.steampowered.com/app/1502710/Agent_Intercept/;Unknown;;;;
Animosity;New Zealand;Through claws and bullets, Red must save his friends from the angry ape menace. Procedural levels create a new experience with every play. Companion AI gives you the backup you need. ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/798680/header.jpg?t=1729245831;Red River Studio;Red River Studio;Windows;20 Aug, 2018;Action, Adventure, Casual, Indie, Early Access;https://store.steampowered.com/app/798680/Animosity/;Unknown;;;;
Art of the Rail;New Zealand;Spiritual remake of the classic transport tycoon games. Build a profitable transport network and grow your worlds economy, either on your own in singleplayer or in multiplayer whether...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1286190/header.jpg?t=1732745996;RocketWerkz;RocketWerkz;Windows;To be announced;Indie, Simulation, Strategy, Early Access;https://store.steampowered.com/app/1286190/Art_of_the_Rail/;Unknown;;;;
Ashen;New Zealand;Ashen is an action RPG about a wanderer in search of a place to call home.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/649950/header.jpg?t=1729099459;Annapurna Interactive;A44;Windows;9 Dec, 2019;Action, Adventure, RPG;https://store.steampowered.com/app/649950/Ashen/;Unknown;;;https://www.nintendo.com/us/store/products/ashen-switch/;
Automation - The Car Company Tycoon Game;New Zealand;Make your dream cars a reality with Automation’s unparalleled car and engine design tools. Gain a competitive edge through smart engineering and business decisions to help you build...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/293760/header.jpg?t=1738203029;Camshaft Software Ltd;Camshaft Software Ltd;Windows;12 Mar, 2015;Indie, Racing, Simulation, Strategy, Early Access;https://store.steampowered.com/app/293760/Automation__The_Car_Company_Tycoon_Game/;Unknown;;;;
Battlecruisers;New Zealand;A visually stunning RTS where players battle to build the ultimate automated floating Ultraweapon. Outsmart players or AIs by building a strategically superior Battlecruiser. Step abo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/955870/cb8cb76d1996bfc892ed9a9b740c64af68ccad0d/header.jpg?t=1741757373;Mecha Weka;Mecha Weka;Windows;4 Feb, 2021;Indie, Strategy;https://store.steampowered.com/app/955870/Battlecruisers/;Unknown;;;;
