Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Amber Isle;Northern Ireland;Welcome to Amber Isle - a quaint, friendly village of prehistoric residents who are in need of a new shopkeep... That’s you! Craft and sell items, upgrade your shop, befriend your P...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1663040/header.jpg?t=1746007211;Team17;Ambertail Games;Windows;10 Oct, 2024;Adventure, Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/1663040/Amber_Isle/;Unknown;;;https://www.nintendo.com/us/store/products/amber-isle-switch/;
Benign Land;Northern Ireland;A short, dreamlike experience where you drift through haunting scenes set in Ireland, from pagan times to recent historical events, revolving around the Troubles of Northern Ireland.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3345970/header.jpg?t=1738330105;AFTERNATURE productions;Leandros Ntolas;Windows;24 Jan, 2025;Casual, Indie, Simulation;https://store.steampowered.com/app/3345970/Benign_Land/;Unknown;;;;
Buildings Have Feelings Too!;Northern Ireland;An exciting new city-management/puzzle game about buildings and the city they inhabit. You must grow your city to a bustling metropolitan centre with an array of shops, offices, enter...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/945740/header.jpg?t=1738065039;Silver Lining Interactive, Maple Whispering Limited;Blackstaff Games;Windows;22 Apr, 2021;Indie, Simulation, Strategy;https://store.steampowered.com/app/945740/Buildings_Have_Feelings_Too/;Unknown;;;;
CROWDED. FOLLOWED.;Northern Ireland;You have the briefcase. Now it's after you. It's not going to stop. Be careful—it may take the form of someone else. A short horror game by NIGHT DIAL.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2948790/header.jpg?t=1729785196;Banshee Games;NIGHT DIAL;Windows;24 Oct, 2024;Adventure, Indie, Strategy;https://store.steampowered.com/app/2948790/CROWDED_FOLLOWED/;Unknown;;;;
Catlists;Northern Ireland;The word-based, multiplayer, party game that doesn't require internet! 😺🎲;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2772590/header.jpg?t=1745447259;Burkus;Burkus;Windows;21 May, 2024;Casual, Indie;https://store.steampowered.com/app/2772590/Catlists/;Unknown;;;;
Dynasty of the Sands;Northern Ireland;Be the architect of your own Egyptian empire in this meditative survival city builder, where every decision, no matter how small, has lasting consequences. Survive alongside your peop...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1143070/header.jpg?t=1740522178;PlaySide;Rocket Flair Studios;Windows;To be announced;Action, Adventure, Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/1143070/Dynasty_of_the_Sands/;Unknown;;;;
Eighthwell;Northern Ireland;Welcome to Eighthwell, a story-rich action-adventure game packed with humour and charm. Explore Eighthwell, a quirky town full of strange residents and even stranger secrets. Battle e...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3258250/header.jpg?t=1730571858;Lutum Games;Lutum Games;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/3258250/Eighthwell/;Unknown;;;;
EnHanced;Northern Ireland;EnHanced is a short, story driven platform shooter game lovingly rendered in a classic retro style! Enhance your health, jump, beam range, power and more by defeating enemies and disc...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/882390/header.jpg?t=1738071060;RainingLamppost;RainingLamppost;Windows;8 Nov, 2018;Action, Adventure, Indie;https://store.steampowered.com/app/882390/EnHanced/;Unknown;;;;
Feud;Northern Ireland;Feud is a turn-based strategy game. Swap pieces on a four-by-four grid to isolate your opponent's pieces, or go straight for their King. Hone your skills against three AI characters w...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/863400/header.jpg?t=1723709611;Bearwaves;Bearwaves;Windows, macOS, SteamOS + Linux;23 Feb, 2024;Indie, Strategy, Free To Play;https://store.steampowered.com/app/863400/Feud/;Unknown;;;;
FriendShapes;Northern Ireland;A jumpscare-free abstract horror existential crisis of a lite-RPG. Explore Digressions - areas that continue longer than they should with sets of randomized text events and map variat...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3475600/header.jpg?t=1740486975;RainingLamppost;RainingLamppost;Windows;10 Feb, 2025;Adventure, Indie, RPG;https://store.steampowered.com/app/3475600/FriendShapes/;Unknown;;;;
Her Majesty's SPIFFING;Northern Ireland;Her Majesty's SPIFFING is a quaint graphic adventure game following the exploits of Captain Frank Lee English and his trusted regional accented colleague, Aled, as they travel through...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/488770/header.jpg?t=1727709274;Secret Mode;Billy Goat Entertainment Ltd;Windows, macOS, SteamOS + Linux;7 Dec, 2016;Adventure, Indie;https://store.steampowered.com/app/488770/Her_Majestys_SPIFFING/;Unknown;;;;
Inertial Drift;Northern Ireland;An arcade racer that tears up the rule book with innovative twin-stick controls, completely re-imagined driving mechanics and a huge roster of fiercely individual cars and tracks.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1184480/header.jpg?t=1737474820;PQube;Level 91 Entertainment;Windows;11 Sep, 2020;Indie, Racing;https://store.steampowered.com/app/1184480/Inertial_Drift/;Unknown;;https://www.xbox.com/en-us/games/store/Inertial-Drift/9PF7Z089SJ6N;;
Jennifer Wilde: Unlikely Revolutionaries;Northern Ireland;In 1921, young French artist Jennifer Chevalier becomes embroiled in death, espionage and revolution, assisted by the ghost of Oscar Wilde. A hand-drawn Point & Click adventure with a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1466350/header.jpg?t=1742930995;Outsider Games;Outsider Games;Windows, SteamOS + Linux;18 Oct, 2022;Adventure, Indie;https://store.steampowered.com/app/1466350/Jennifer_Wilde_Unlikely_Revolutionaries/;Unknown;;;;
Mars Attracts;Northern Ireland;Mars Attracts is a park management sim set in the iconic universe of Mars Attacks™. Play as the devious Martians as you construct detailed enclosures, manage staff, and most importa...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2760580/header.jpg?t=1743086602;Outlier;Outlier;Windows;To be announced;Action, Adventure, Simulation, Strategy, Early Access;https://store.steampowered.com/app/2760580/Mars_Attracts/;Unknown;;;;
Max Beyond;Northern Ireland;A thrilling couch co-op action-puzzle game set in the multiverse. Team up with a friend as two alternate versions of Max to solve intricate puzzles, unlock doors, overcome obstacles, ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3582530/2c59736b6357fe1ba2e6d4067f6d56dac70e866a/header.jpg?t=1746192948;Hazimation;Hazimation;Windows;To be announced;Action, Indie, Strategy;https://store.steampowered.com/app/3582530/Max_Beyond/;Unknown;;;;
Paleo Pines;Northern Ireland;Welcome to Paleo Pines, a charming island known for its friendly dinosaurs, quirky townsfolk, and mysterious past. Befriend dinos and enlist their help to fix up your ranch and farm c...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1202200/header.jpg?t=1727904994;Maximum Entertainment;Italic Pig;Windows, SteamOS + Linux;26 Sep, 2023;Adventure, Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/1202200/Paleo_Pines/;Unknown;;;https://www.nintendo.com/us/store/products/paleo-pines-switch/;
Parcel Corps;Northern Ireland;Ditch the 9-5 and embrace the high-octane life of a freelance bicycle messenger! Skid, grind, and wallride across eight huge levels, delivering parcels for a cast of eccentric busines...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2015960/header.jpg?t=1740150428;Secret Mode;Billy Goat Entertainment Ltd;Windows;3 Oct, 2024;Action, Adventure, Racing;https://store.steampowered.com/app/2015960/Parcel_Corps/;Unknown;;https://www.xbox.com/en-us/games/store/parcel-corps/9pdv9p81jr59;;
Predestination;Northern Ireland;Predestination is a turn-based sci-fi 4X game set in the distant past of our own galaxy. Ships from countless races are flung back in time by a powerful hostile race known as the Reve...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/340210/header.jpg?t=1572545539;Brain and Nerd Ltd;Brain and Nerd Ltd;Windows;26 Feb, 2019;Indie, Strategy;https://store.steampowered.com/app/340210/Predestination/;Unknown;;;;
Supermarket Shriek;Northern Ireland;Join man and goat in this chaotic, award-winning couch-co-op adventure! Tackle outlandish obstacle courses, complete rewarding challenges and dodge deadly obstacles in a hectic race t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086460/header.jpg?t=1741787336;PQube;Billy Goat Entertainment;Windows;23 Oct, 2020;Adventure, Casual, Indie, Racing;https://store.steampowered.com/app/1086460/Supermarket_Shriek/;Unknown;;;;
Surviving the Abyss;Northern Ireland;Earth, 1976. You have been tasked with managing a deep-sea science facility working to perfect cloning. Explore the darkness and keep your crew alive in this hardcore survival colony ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1254320/header.jpg?t=1732710280;Paradox Arc;Rocket Flair Studios;Windows;5 Nov, 2024;Indie, Simulation, Strategy;https://store.steampowered.com/app/1254320/Surviving_the_Abyss/;Unknown;;;;
Tax-Force;Northern Ireland;Hunt down tax-evading billionaires and rebuild society in a hand-drawn, action-roguelite platformer inspired by 90's comicbooks.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2508290/header.jpg?t=1738059556;Outsider Games;Outsider Games;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/2508290/TaxForce/;Unknown;;;;
