Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Age of Conan: Unchained;Norway;Age of Conan: Unchained is an award-winning and critically acclaimed massively multiplayer online game set in the sexy, savage and brutal world of Conan the Barbarian. Tread in the fo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/217750/header.jpg?t=1683015744;Funcom;Funcom;Windows;22 Feb, 2013;Action, Adventure, Free To Play, Massively Multiplayer, RPG;https://store.steampowered.com/app/217750/Age_of_Conan_Unchained/;Unknown;;;;
Among the Sleep - Enhanced Edition;Norway;Among the Sleep: Enhanced Edition is a new and improved version of the award winning first person horror adventure. In the game you play as a small child trapped in a weird nightmare ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/250620/header.jpg?t=1678873027;Krillbite Studio;Krillbite Studio;Windows, macOS, SteamOS + Linux;2 Nov, 2017;Action, Adventure, Indie;https://store.steampowered.com/app/250620/Among_the_Sleep__Enhanced_Edition/;Unknown;;https://www.xbox.com/en-us/games/store/Among-the-Sleep-Enhanced-Edition/C3K10N1VQTNB;;
Amphora;Norway;Amphora is a peculiar puzzle game that mixes story elements and physics. Amphora presents you with an unfamiliar world with a striking visual style inspired by all the shadow theatre ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/331510/header.jpg?t=1479467925;Moondrop;Moondrop;Windows, macOS;12 Nov, 2014;Adventure, Indie;https://store.steampowered.com/app/331510/Amphora/;Unknown;;;;
Catmouth Island;Norway;It's a relaxed, laid-back episodic 3D point-and-click adventure game set on an island group in the middle of the pacific! Yay! Hooray! :3;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/336380/header.jpg?t=1447365662;Colonthree Enterprises;Colonthree Enterprises;Windows, macOS, SteamOS + Linux;31 Dec, 2014;Adventure, Casual, Indie;https://store.steampowered.com/app/336380/Catmouth_Island/;Unknown;;;;
Dreamfall Chapters;Norway;The Final Cut is the ultimate collector's edition of Dreamfall Chapters, a story-driven 3D adventure about choice and consequence, set in parallel worlds: a cyberpunk vision of the fu...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/237850/header.jpg?t=1733410272;Red Thread Games;Red Thread Games;Windows, macOS, SteamOS + Linux;21 Jul, 2017;Adventure, Indie;https://store.steampowered.com/app/237850/Dreamfall_Chapters/;Unknown;;;;
Dreamfall: The Longest Journey;Norway;Dreamfall: The Longest Journey, winner of multiple E3 awards as the best game in its genre, is the continuation of a saga that began in the award-winning The Longest Journey, consider...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/6300/header.jpg?t=1592476034;Funcom;Funcom;Windows;17 Apr, 2006;Adventure, RPG;https://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/;Unknown;;;;
Flem;Norway;Try, die, cry, repeat. Flem is an old school hard-as-nails platformer about a sentient snot ball, with a nose-stalgia inducing soundtrack.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/341760/header.jpg?t=1585052553;Henchman & Goon;Henchman & Goon;Windows, macOS;28 Apr, 2015;Action, Indie;https://store.steampowered.com/app/341760/Flem/;Unknown;;;;
Savant - Ascent;Norway;A malicious orb has cast Savant out of his tower and transformed his surroundings into dangerous enemies!Dodge and shoot your way back up the tower, and blast down waves of enemies as...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/259530/header.jpg?t=1732126199;D-Pad Studio;D-Pad Studio;Windows, macOS, SteamOS + Linux;4 Dec, 2013;Action, Indie;https://store.steampowered.com/app/259530/Savant__Ascent/;Unknown;;;;
Secret World Legends;Norway;Secret World Legends is a story-driven, shared-world action RPG that plunges players into a shadowy war against the supernatural, where ancient myths and legends cross over into the m...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/215280/header.jpg?t=1728917535;Funcom;Funcom;Windows;31 Jul, 2017;Action, Adventure, Massively Multiplayer, RPG, Free To Play;https://store.steampowered.com/app/215280/Secret_World_Legends/;Unknown;;;;
Shadow Puppeteer;Norway;Invite a friend to explore the strange, yet beautiful world of darkness and light in Shadow Puppeteer, an award-winning, local co-op adventure.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/316480/header.jpg?t=1663865062;Snow Cannon Games;Sarepta studio;Windows;29 Sep, 2014;Adventure, Indie;https://store.steampowered.com/app/316480/Shadow_Puppeteer/;Unknown;;;;
Teslagrad;Norway;A journey begins... A treacherous tower... Unravel its mysteries!Discover the secrets kept in the long abandoned Tesla Tower!Magnetism and other electromagnetic powers will help you e...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/249590/header.jpg?t=1710497488;Rain Games;Rain Games;Windows, macOS, SteamOS + Linux;13 Dec, 2013;Indie;https://store.steampowered.com/app/249590/Teslagrad/;Unknown;;https://www.xbox.com/en-us/games/store/Teslagrad/BSDD0QJNF1Z5;;
The Park®;Norway;Set in a creepy amusement park hiding a dark and sinister secret, The Park is a first-person psychological horror experience focused on exploration and storytelling.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/402020/header.jpg?t=1708367139;Funcom;Funcom;Windows;27 Oct, 2015;Adventure;https://store.steampowered.com/app/402020/The_Park/;Unknown;;;;
The Plan;Norway;A fly ascends to the skies, pondering the pointlessness of its brief existence.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/250600/header.jpg?t=1667300001;Krillbite Studio;Krillbite Studio;Windows, macOS, SteamOS + Linux;10 Feb, 2013;Casual, Free To Play, Indie;https://store.steampowered.com/app/250600/The_Plan/;Unknown;;;;
