Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Weekend Trip;Philippines;A short narrative about a trip with friends over the weekend. Decide what River does during the trip. Help your friends, explore the place, or just enjoy the scenery.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2744450/359938714a539c1b3039821808ef25a8d094553a/header.jpg?t=1746026072;lukepagca;lukepagca;Windows;30 Apr, 2025;Adventure, Casual, Indie;https://store.steampowered.com/app/2744450/A_Weekend_Trip/;Unknown;;;;
ARSONATE;Philippines;Outwit the HOST in a death game where fire spreads with each flip of a card. Be the last to burn. Do you fear death?;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2822980/header.jpg?t=1743751341;Nash;Nash;Windows, SteamOS + Linux;To be announced;Action, Strategy;https://store.steampowered.com/app/2822980/ARSONATE/;Unknown;;;;
Academia : School Simulator;Philippines;Design, build, and manage a high school with terrific teachers and fantastic facilities or simply let your students poop in the bushes? Academia : School Simulator is a management/tyc...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/672630/header.jpg?t=1726498028;Paradox Interactive;Squeaky Wheel Studio Inc;Windows, macOS;8 Sep, 2017;Indie, Simulation, Strategy;https://store.steampowered.com/app/672630/Academia__School_Simulator/;Unknown;;;;
Ahon;Philippines;Ahon is a solo developed Filipino indie survival horror game that's inspired by real and historical/present events in the Philippines.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3277610/header.jpg?t=1729417448;KenkoMa;KenkoMa;Windows;To be announced;Action, Adventure, Indie, Free To Play;https://store.steampowered.com/app/3277610/Ahon/;Unknown;;;;
Airstrife: Assault of the Aviators;Philippines;Use Aileron Rolling or Evading your enemies' attacks while having a realistic damage system. Use different planes with upgradable parts and numerous weapons you can mount to your plan...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1419130/header.jpg?t=1651047917;Kenisoft Game Studio;Kenisoft Game Studio;Windows;26 Feb, 2021;Action, Adventure, Indie, RPG, Simulation;https://store.steampowered.com/app/1419130/Airstrife_Assault_of_the_Aviators/;Unknown;;;;
Artificial Iridescence;Philippines;a short visual novel about marriage and sanity 💀 Artificial Iridescence is a visual novel that sets up the story for another game down the line.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1144740/header.jpg?t=1692957683;AppSir Games;Darius Immanuel D. Guerrero, K.S. Sim;Windows;7 Aug, 2019;Free To Play, Indie, RPG, Simulation;https://store.steampowered.com/app/1144740/Artificial_Iridescence/;Unknown;;;;
Ash of Legends;Philippines;Grapple anywhere, build towers, place traps, shoot guns, launch arrows, and throw sabers, to defend the spores from hordes of the evil empire. Includes native Meta Quest with Link and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1280290/header.jpg?t=1725272592;Pcubed VR;Pcubed VR;Windows;19 Aug, 2024;Action, Indie, Strategy;https://store.steampowered.com/app/1280290/Ash_of_Legends/;Unknown;;;;
Assassin's Creed® Origins;Philippines;ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin’s Creed®: Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and int...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/582160/header.jpg?t=1736247595;Ubisoft;Ubisoft Montreal;Windows;26 Oct, 2017;Action, Adventure, RPG;https://store.steampowered.com/app/582160/Assassins_Creed_Origins/;Unknown;;;;
BAYANI - Fighting Game;Philippines;BAYANI is a 1-on-1, indie fighting game that is heavily inspired by the Philippines’ rich history, culture, and mythology. The game features a combination of 2D fighting and full 3D...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/941020/header.jpg?t=1656957999;Ranida Games;Ranida Games;Windows;11 Jun, 2019;Action, Adventure, Indie, Simulation, Sports, Early Access;https://store.steampowered.com/app/941020/BAYANI__Fighting_Game/;Unknown;;;;
Bad Bots Rise;Philippines;Bad Bots Rise is an action platformer shooter. Dodge bullets, evade traps and destroy enemies in 2D sidescrolling levels. Explore different areas and choose the right character for th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/852920/header.jpg?t=1590638447;Lamina Studios;High Leap Studios;Windows, macOS, SteamOS + Linux;6 Jul, 2018;Action, Adventure, Indie, Early Access;https://store.steampowered.com/app/852920/Bad_Bots_Rise/;Unknown;;;;
Bardic: Quest for Love;Philippines;Having just arrived in the great port city of Deepharbor, humble bards Edmond and Edna are suddenly tasked with running a Tavern. Recruit fellow adventuring heroes, manage your tavern...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2597480/header.jpg?t=1743470909;Breadwork Games;Breadwork Games;Windows;14 Feb, 2024;Adventure, Indie, RPG, Simulation;https://store.steampowered.com/app/2597480/Bardic_Quest_for_Love/;Unknown;;;;
BioFusion;Philippines;BioFusion is a VR co-op multiplayer, PvE, first-person-shooter, tower defense game. Swing on a grappling hook, ride a hovercraft, throw grenades, collect buffs, build towers and traps...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2170380/header.jpg?t=1744608169;Pcubed VR;Pcubed VR;Windows;22 Oct, 2024;Action, Indie, Strategy, Free To Play;https://store.steampowered.com/app/2170380/BioFusion/;Unknown;;;;
BlamBox;Philippines;BlamBox is a unique, score chasing arcade game that's simple to learn but hard to master. Push your aiming skills to the limit as you shoot the boxes through the goals!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/899270/header.jpg?t=1696168778;Heavenward Games;Heavenward Games;Windows;2 Oct, 2018;Action, Casual, Indie;https://store.steampowered.com/app/899270/BlamBox/;Unknown;;;;
BlueSkies 3;Philippines;BlueSkies 3 is a 2D fantasy turn-based JRPG featuring a magical world full of wonders. Journey with the young oracle named Candace Aethelmey and her friends, as they venture forth to ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2842960/header.jpg?t=1727719678;Starmage;Starmage;Windows;To be announced;Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/2842960/BlueSkies_3/;Unknown;;;;
Bricks Frenzy;Philippines;Bricks Frenzy is an arcade brick game developed to be both competitive and fun at the same time. Do your best with all the power ups available and gain mastery over them to defeat you...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1384350/header.jpg?t=1597705111;Kenisoft Game Studio;Kenisoft Game Studio;Windows;8 Aug, 2020;Action, Casual, Indie, Sports;https://store.steampowered.com/app/1384350/Bricks_Frenzy/;Unknown;;;;
Craggenrock;Philippines;Forge weapons and armors while improving your skills as the new blacksmith in town! Experiment with materials, haggle your way to profit and discover new recipes in this cozy, craftin...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1889160/header.jpg?t=1732931677;Ardeimon;Ardeimon;Windows;To be announced;Indie, RPG, Simulation;https://store.steampowered.com/app/1889160/Craggenrock/;Unknown;;;;
DERE EVIL EXE;Philippines;DERE EVIL EXE is both a terrifying thriller with a gripping meta horror story and a retro 16-bit pixel platformer with unique puzzles and obstacles.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/871950/header.jpg?t=1720499482;AppSir Games;Darius Immanuel Guerrero;Windows;3 Jul, 2018;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/871950/DERE_EVIL_EXE/;Unknown;;;;
DERE EXE: Rebirth of Horror;Philippines;Experience a meta horror pixel platformer retro game haunted by a mysterious yandere.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1597110/header.jpg?t=1724731007;AppSir Games;Darius Immanuel Guerrero;Windows;24 Apr, 2021;Action, Adventure, Indie;https://store.steampowered.com/app/1597110/DERE_EXE_Rebirth_of_Horror/;Unknown;;;;
DERE Vengeance;Philippines;A meta-horror story about a haunted platformer game. Handcrafted pixel art, ghosts, and thrilling platforming await!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2566430/header.jpg?t=1720499480;AppSir Games;Darius Immanuel Guerrero;Windows;18 Sep, 2023;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/2566430/DERE_Vengeance/;Unknown;;;;
Deal of the Dead Final Cut;Philippines;Deal of the Dead: Final Cut is a Solitaire-style, survival horror, card game rendered in a unique, hand-drawn, art style. Fight your way through randomly shuffled decks of cards and e...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2754660/header.jpg?t=1743372363;Snarkle Studios;Snarkle Studios;Windows;9 Feb, 2024;Indie;https://store.steampowered.com/app/2754660/Deal_of_the_Dead_Final_Cut/;Unknown;;;;
Death by Deduction;Philippines;Death by Deduction is a unique blend of logic puzzle and classic murder mystery set in an old English manor during the 1970s. Explore the manor, examine evidence, and question suspect...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3002650/header.jpg?t=1743372312;Snarkle Studios;Snarkle Studios;Windows;6 Jun, 2024;Indie;https://store.steampowered.com/app/3002650/Death_by_Deduction/;Unknown;;;;
Deep Dark Wrath;Philippines;Plunder for Points, Collect and Strengthen yourself with Enchanted Cards, Survive countless enemies, Venture deep to find their source, Escape, and Quell the Deep Dark Wrath!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2891520/header.jpg?t=1745495907;CraftedCircuitry;CraftedCircuitry;Windows;26 May, 2024;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/2891520/Deep_Dark_Wrath/;Unknown;;;;
Dog Years;Philippines;Intrepid explorers embark on a perilous space expedition to save their dying civilization by securing vital resources. They are accompanied by 5P4RKY, an android dog, but trouble ensu...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2539800/header.jpg?t=1695888284;Lamina Studios;Solitary Studios;Windows;28 Sep, 2023;Adventure, Indie, Early Access;https://store.steampowered.com/app/2539800/Dog_Years/;Unknown;;Unknown;;
Doodle Factory;Philippines;Welcome to Doodle Factory - your ticket to the world of factory fun! Dive into building and designing with ever-changing boards. Get creative, boost your efficiency with cool upgrades...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2825870/header.jpg?t=1727599821;Jan Francis Berdan;Jan Francis Berdan;Windows;1 May, 2024;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/2825870/Doodle_Factory/;Unknown;;;;
Duloga;Philippines;a reverse space shooter where you choose who lives and dies. can you survive 7 nights?;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1862030/header.jpg?t=1642867417;Snack;Snack;Windows;22 Jan, 2022;Action, Free To Play, Indie, Simulation;https://store.steampowered.com/app/1862030/Duloga/;Unknown;;;;
Dungeon Souls;Philippines;Dungeon Souls is an action-adventure roguelike dungeon crawler which draws heavy inspiration from Nuclear Throne, Risk of Rain, and Overture. Explore vast procedurally generated dunge...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/383230/header.jpg?t=1694567639;Lamina Studios;Lamina Studios;Windows, macOS, SteamOS + Linux;2 Dec, 2016;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/383230/Dungeon_Souls/;Unknown;;;;
Eat the Rich;Philippines;Be a billionaire, team up and betray your friends all at once in EAT THE RICH! A social party game for 6-10 players where you play mini games, vote out the competition, conspire to ge...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2234140/header.jpg?t=1742639293;Monstronauts;Maccima Games;Windows;To be announced;Action, Casual;https://store.steampowered.com/app/2234140/Eat_the_Rich/;Unknown;;;Unknown;
Edge of Time: Rise of the Aeus;Philippines;War between humans and immortals rage upon every corner of the world. Threatening humanity into extinction, an outlaw, a former soldier and a pacifist, embarks on a mission to find th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1101530/header.jpg?t=1594227718;GILATOR;GILATOR;Windows;To be announced;Action, Adventure, Indie, Early Access;https://store.steampowered.com/app/1101530/Edge_of_Time_Rise_of_the_Aeus/;Unknown;;;;
Elusive World;Philippines;FEATURES: - Survive against wild animals, common bandits, and overpowering rulers. - Collect ingredients to craft from simple arrows for your bow to complex Ice Sword. - Rich coming-o...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1427130/header.jpg?t=1640326833;PistolizedCannon;PistolizedCannon;Windows;23 Dec, 2021;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1427130/Elusive_World/;Unknown;;;;
