Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
4 Minutes to the Apocalypse;Poland;"How hard is it to press the button that activates weapon capable of ending our entire civilization? How to control the arsenal of ""The Last Day Weapons""?";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1269700/header.jpg?t=1644337209;Atomic Wolf;Atomic Wolf;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1269700/4_Minutes_to_the_Apocalypse/;Unknown;;;;
Age of History II;Poland;Age of History II is a grand strategy wargame that is simple to learn yet hard to master.Your objective is to use military tactics and cunning diplomacy to either unify the world, or ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/603850/header.jpg?t=1733070399;Łukasz Jakowski Games;Łukasz Jakowski;Windows;21 Nov, 2018;Strategy;https://store.steampowered.com/app/603850/Age_of_History_II/;Unknown;;;;
Apocalipsis;Poland;Apocalipsis is a point-and-click adventure game, in the vain of Samorost and Machinarium, where all puzzles have a hidden meaning. With a unique artstyle inspired by 15th century engr...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/505330/header.jpg?t=1744361844;Wildlands Interactive;Punch Punk Games;Windows, macOS;28 Feb, 2018;Adventure, Casual, Indie;https://store.steampowered.com/app/505330/Apocalipsis/;Unknown;;;;
Attentat 1942;Poland;Attentat 1942 is a historically-accurate adventure about World War 2. Face moral dilemmas and existential struggles as you uncover the troubled past of your family.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/676630/header.jpg?t=1730723264;Charles Games;Charles Games;Windows, macOS, SteamOS + Linux;31 Oct, 2017;Adventure, Indie;https://store.steampowered.com/app/676630/Attentat_1942/;Unknown;;;https://www.nintendo.com/us/store/products/attentat-1942-switch/;https://www.gog.com/en/game/attentat_1942
BUTCHER;Poland;BUTCHER is a fast-paced, blood-soaked 2D shooter where carnage is the only way forward. Become a ruthless cyborg tasked with eradicating humanity, leaving nothing but blood, guts, and...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/474210/header.jpg?t=1741358342;Crunching Koalas, Transhuman Design;Phobia Game Studio, Transhuman Design;Windows, macOS, SteamOS + Linux;5 Oct, 2016;Action, Adventure, Indie;https://store.steampowered.com/app/474210/BUTCHER/;Unknown;;;;
Beat Saber;Poland;Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/620980/header.jpg?t=1740671643;Beat Games;Beat Games;Windows;21 May, 2019;Indie;https://store.steampowered.com/app/620980/Beat_Saber/;Unknown;https://store.playstation.com/en-us/product/UP4882-PPSA14734_00-BEATSABERFULLPS5;;;
Blood will be Spilled;Poland;A story focused spaghetti western platformer with tactical turn-based combat, taking place in a completely hand drawn harsh world inhabited by insects. Follow the story of Jack - mosq...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/880300/header.jpg?t=1725021657;Doublequote Studio;Doublequote Studio;Windows, macOS;29 May, 2019;Action, Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/880300/Blood_will_be_Spilled/;Unknown;;;;
Book of Demons;Poland;Book of Demons is a Hack & Slash in which YOU decide the length of quests. Wield magic cards instead of weapons and slay the armies of darkness in the dungeons below the Old Cathedral...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/449960/header.jpg?t=1700648328;Thing Trunk;Thing Trunk;Windows, macOS;13 Dec, 2018;Action, Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/449960/Book_of_Demons/;Unknown;;;;https://www.gog.com/en/game/book_of_demons
CARRION;Poland;CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/953490/header.jpg?t=1746022344;Devolver Digital;Phobia Game Studio;Windows, macOS, SteamOS + Linux;23 Jul, 2020;Action, Adventure, Indie;https://store.steampowered.com/app/953490/CARRION/;Unknown;https://store.playstation.com/en-us/product/UP3643-CUSA27769_00-CARRIONSIEAPS400;;;
CHUCHEL;Poland;CHUCHEL is a comedy adventure game from the creators of Machinarium, Botanicula and Samorost. Join the hairy hero Chuchel and his rival Kekel as they will be facing numerous puzzles a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/711660/header.jpg?t=1743605682;Amanita Design;Amanita Design;Windows, macOS;7 Mar, 2018;Adventure, Casual, Indie;https://store.steampowered.com/app/711660/CHUCHEL/;Unknown;;;;
Copperbell;Poland;Immerse yourself in a unique hand drawn short adventure game and help Copperbell defeat the demon that has settled in the nearby forest.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1039040/header.jpg?t=1571050450;Zero Fun;Zero Fun;Windows, macOS;31 Jul, 2019;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/1039040/Copperbell/;Unknown;;;;
Danger Scavenger;Poland;Danger Scavenger is fast-paced action, cyberpunk-themed, roguelite skyline crawler. Blow up, cut, shoot enemy robots on the roofs of skyscrapers. Choose your way to higher levels, loo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1169740/header.jpg?t=1738606767;Star Drifters, Doyoyo Games;Piotr Wolk, Star Drifters;Windows, macOS, SteamOS + Linux;25 Mar, 2021;Action, Indie;https://store.steampowered.com/app/1169740/Danger_Scavenger/;Unknown;;;;
Detached;Poland;Detached is a suspenseful interstellar duel that demands tactics and skill to survive. Separated from your unit you must make smart decisions and race to safety in this visceral explo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/436230/cd940535fed96bef2ef6f869e23c07960c1e651c/header_alt_assets_0.jpg?t=1744632449;Anshar Publishing;Anshar Studios;Windows;18 May, 2017;Indie, Simulation;https://store.steampowered.com/app/436230/Detached/;Unknown;;;;
Door Kickers: Action Squad;Poland;Rescue hostages, disarm bombs and save the day in this old school, side-scroller action game with retro graphics and retro sensibilities. Online and Couch Coop Included.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/686200/header.jpg?t=1725308354;KillHouse Games;PixelShard, KillHouse Games;Windows;10 Sep, 2018;Action, Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/;Unknown;https://store.playstation.com/en-us/product/UP3250-CUSA15037_00-DOORKICKERS0SIEA;;;https://www.gog.com/en/game/door_kickers_action_squad
