Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Curvatron;Portugal;Curvatron is a minimalist twist on the classic snake games you played on your Nokia 3310 when you didn’t have your Gameboy around. Bring back the memories of the mindless addiction ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/404700/header.jpg?t=1556639265;Brave Bunny;Brave Bunny;Windows, SteamOS + Linux;To be announced;Casual, Indie;https://store.steampowered.com/app/404700/Curvatron/;Unknown;Unknown;Unknown;Unknown;Unknown
The Inner Sea;Portugal;The Inner Sea is a sandbox like game with RPG elements set in the XVII century in a mysterious archipelago. You’ll build up your fleet from a single ship, hire crew, engage in naval...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/443700/header.jpg?t=1529680202;dsquare;dsquare;Windows, macOS;To be announced;Indie, RPG, Simulation, Strategy, Early Access;https://store.steampowered.com/app/443700/The_Inner_Sea/;Unknown;Unknown;Unknown;Unknown;Unknown
Orczz;Portugal;Orczz is a fantasy tower defense game set in the fantasy Kingdom of Whiteleaf, famous for its delicious honey wine – the mead. The player controls the Knight Order of the Mug, prote...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/502200/header.jpg?t=1732706031;Camel 101;Camel 101;Windows;To be announced;Strategy;https://store.steampowered.com/app/502200/Orczz/;Unknown;Unknown;Unknown;Unknown;Unknown
Syndrome;Portugal;Syndrome, a sci-fi survival horror game that places you in a living hell inside a doomed starship. Find out what happened to your lost crew. Run. Hide. Fight. Survive.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/409320/header.jpg?t=1732705436;Camel 101, WhisperGames;Camel 101;Windows, macOS;To be announced;Action, Adventure;https://store.steampowered.com/app/409320/Syndrome/;Unknown;Unknown;Unknown;Unknown;Unknown
Planet Driller;Portugal;Planet Driller is a mining game where you need to find DarkMatter in order to save the earth. To do this, drill your way through a procedurally generated planet full of minerals that ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/492170/header.jpg?t=1467632158;Oryzhon Studios;Oryzhon Studios;Windows;To be announced;Action, Adventure, Casual, Indie, Strategy;https://store.steampowered.com/app/492170/Planet_Driller/;Unknown;Unknown;Unknown;Unknown;Unknown
Stellar Interface;Portugal;Run through the universe in this rogue-like-ish space-shooter. Discover the numerous perks/consumables and their synergistic effects. Explore the randomly-generated galaxy to find mer...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/517330/header.jpg?t=1730131820;ImaginationOverflow;ImaginationOverflow;Windows;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/517330/Stellar_Interface/;Unknown;Unknown;Unknown;Unknown;Unknown
Between Me and The Night;Portugal;‘Between Me and The Night' is a surrealist action adventure game that walks the thin path between sanity and madness. Take on the role of a young boy and explore and interact with t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/285070/header.jpg?t=1550925909;RainDance LX;RainDance LX;Windows, macOS;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/285070/Between_Me_and_The_Night/;Unknown;Unknown;Unknown;Unknown;Unknown
Hush;Portugal;Surrounded by blood freezing phobias intent on absorbing her into oblivion;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/379990/header.jpg?t=1475531734;Game Studio 78;Game Studio 78;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/379990/Hush/;Unknown;Unknown;Unknown;Unknown;Unknown
Vector Thrust;Portugal;Vector Thrust is a fast-paced single and mulltiplayer combat flight game, using a unique cel shaded art style. The game features 260 fully playable aircraft (through various iteration...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/242130/header.jpg?t=1599049559;Iceberg Interactive;TimeSymmetry;Windows;To be announced;Action, Indie, Simulation;https://store.steampowered.com/app/242130/Vector_Thrust/;Unknown;Unknown;Unknown;Unknown;Unknown
Shrooms;Portugal;Mutate your body to fit your gameplay and survive alone or with your friends in the exotic fungi-covered world of Shrooms.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/361330/header.jpg?t=1447372125;Immersive Douro;Immersive Douro;Windows, SteamOS + Linux;To be announced;Action, Adventure, Indie, RPG, Early Access;https://store.steampowered.com/app/361330/Shrooms/;Unknown;Unknown;Unknown;Unknown;Unknown
