Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
41 Hours;Romania;41 Hours is a first-person shooter dramatic game that follows the narrative of Ethan, a workaholic scientist in search of his long-lost wife. The story is intriguing and it takes seve...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1358020/header.jpg?t=1649862702;ValkyrieInitiative;Texelworks;Windows;21 May, 2021;Action;https://store.steampowered.com/app/1358020/41_Hours/;Unknown;;;;
ASKA;Romania;Lay claim to unspoiled lands and pave the way for a fierce Viking tribe. Craft the ultimate settlement solo or together with up to x3 friends. Trust in the Gods and the power of the E...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1898300/header.jpg?t=1743146201;Thunderful Publishing;Sand Sailor Studio;Windows;20 Jun, 2024;Adventure, Simulation, Strategy, Early Access;https://store.steampowered.com/app/1898300/ASKA/;Unknown;;;;
AWA;Romania;A fast paced shoot-em-up featuring modern military aircraft. Choose one of the eight fighter aircraft and take the battle to the skies throughout nine action-packed stages each with t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/489580/header.jpg?t=1702422420;OMNIDREAM CREATIONS;OMNIDREAM CREATIONS;Windows;15 Jun, 2016;Action, Indie;https://store.steampowered.com/app/489580/AWA/;Unknown;;;;
Aim Expert;Romania;Aim Expert is a skill based aiming simulator providing arcade style levels and standard aim training modes. Challenge yourself in all aspects of aiming and climb the leaderboards to s...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2214030/header.jpg?t=1737860577;Real Heroes Studio;Real Heroes Studio;Windows;5 Feb, 2023;Action, Indie, Simulation;https://store.steampowered.com/app/2214030/Aim_Expert/;Unknown;;;;
Astera;Romania;Step into Astera, a steampunk-infused fantasy world. Play your way in this fast-paced Action RPG featuring dual class specialization, rogue-like dungeons, a vast open world to explore...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2866330/header.jpg?t=1739736538;Making Fun;Dream Primer;Windows;To be announced;Action, Indie, Massively Multiplayer, RPG, Free To Play;https://store.steampowered.com/app/2866330/Astera/;Unknown;;;;
Asura's Trial;Romania;Learn new skills based on simple key combinations in this easy to learn, hard to master adventure RPG. Combine over 100 different skills from 5 diverse classes to create an unbeatable...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2317080/header.jpg?t=1690229392;Me&Myself Pub;Me&Myself Inc;Windows, macOS, SteamOS + Linux;24 Jul, 2023;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/2317080/Asuras_Trial/;Unknown;;;;
Azuran Tales: Trials;Romania;Azuran Tales: Trials offers challenging combat, beautiful levels and merciless enemies to overcome. Journey across the World of Azuran as you discover its many environments, lore and ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/848200/header.jpg?t=1587208881;Tiny Trinket Games;Tiny Trinket Games;Windows;1 Jun, 2018;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/848200/Azuran_Tales_Trials/;Unknown;;;;
BOSSGARD;Romania;WHO’S THE BOSS? It’s finally you! One big, bad, player-controlled Boss goes against a team of Vikings, each with special abilities. Enter BOSSGARD, a hectic 1v2, 1v3, up to 1v5 bo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/865980/header.jpg?t=1590135170;Sand Sailor Studio;Sand Sailor Studio;Windows;21 May, 2020;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/865980/BOSSGARD/;Unknown;https://store.playstation.com/en-us/product/UP1220-CUSA18627_00-BOSSGARD00000000/;;https://www.nintendo.com/us/store/products/bossgard-switch/;
Bear and Breakfast;Romania;Bear and Breakfast is a laid-back management adventure game where you build and run a bed and breakfast...but you’re a bear.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1136370/header.jpg?t=1726580385;Armor Games Studios;Gummy Cat;Windows;28 Jul, 2022;Adventure, Casual, RPG, Simulation;https://store.steampowered.com/app/1136370/Bear_and_Breakfast/;Unknown;;;;
Biscudo;Romania;Biscudo is a strategic grid-based game where players take turns drawing edges to claim squares. Outsmart your opponent by setting up combos, securing extra turns, and capturing the mo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1770570/72ab443a6da49cf36c76a2615be8ce339fa7ce6f/header.jpg?t=1745769714;Bogdan Botezatu;Bogdan Botezatu;Windows, SteamOS + Linux;17 Mar, 2025;Casual, Strategy;https://store.steampowered.com/app/1770570/Biscudo/;Unknown;;;;
