Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Adam Wolfe;Serbia;Acting as Adam Wolfe, an investigator of the paranormal, you will discover a hidden world under the modern San Francisco. In this city, ghosts, artifacts, secret orders and curses are...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/483420/header.jpg?t=1669725827;Mad Head Games ;Mad Head Games;Windows, macOS;7 Oct, 2016;Adventure, Casual;https://store.steampowered.com/app/483420/Adam_Wolfe/;Unknown;Unknown;Unknown;Unknown;Unknown
Agent Walker: Secret Journey;Serbia;Find the Spear of Destiny to save the world!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/497580/header.jpg?t=1581672851;Artifex Mundi;Brave Giant LTD;Windows, macOS, SteamOS + Linux;1 Sep, 2016;Adventure, Casual;https://store.steampowered.com/app/497580/Agent_Walker_Secret_Journey/;Unknown;Unknown;Unknown;Unknown;Unknown
Aquanox Deep Descent;Serbia;We left the surface of the Earth in ruins, abandoned it and populated the oceans. The sea is now our new home. We call it Aqua. Pilot customized fighter ships and explore a deep sea d...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/254370/header.jpg?t=1727936221;THQ Nordic;Digital Arrow;Windows;16 Oct, 2020;Action, RPG, Simulation;https://store.steampowered.com/app/254370/Aquanox_Deep_Descent/;Unknown;Unknown;Unknown;Unknown;Unknown
At the dream end;Serbia;After mind transfer into a body of a young wolf-human hybrid, you set out to stop a person on the verge of destroying our planet. A person addressed as Butcher.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2251670/header.jpg?t=1742470738;MMM;MMM;Windows;27 Apr, 2023;Adventure, Indie, Free To Play;https://store.steampowered.com/app/2251670/At_the_dream_end/;Unknown;Unknown;Unknown;Unknown;Unknown
BOTS 4 DEFENSE;Serbia;Unite in a 1-4 player strategy game fusing tower defense with the thrill of controlling powerful BOTS. Deploy defenses, tweak tower loadout and tech tree. Amp up the party mode with f...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2804430/header.jpg?t=1743068518;Danube games;Danube games;Windows;To be announced;Action, Casual, Indie, Strategy;https://store.steampowered.com/app/2804430/BOTS_4_DEFENSE/;Unknown;Unknown;Unknown;Unknown;Unknown
Barely Racing;Serbia;Race, shoot, place mines and blow your enemies out of the track in this isometric combat racing game.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1351480/header.jpg?t=1724244513;Fragile Software;Fragile Software;Windows;28 Dec, 2023;Action, Casual, Racing;https://store.steampowered.com/app/1351480/Barely_Racing/;Unknown;Unknown;Unknown;Unknown;Unknown
Binarion;Serbia;Improve your intellect with this unique puzzle game where you solve delta grid to find two binary prime factors from a given multiplication product.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2276340/header.jpg?t=1679645443;Radivoj Radivojevic;Radivoj Radivojevic;Windows;24 Mar, 2023;Casual;https://store.steampowered.com/app/2276340/Binarion/;Unknown;Unknown;Unknown;Unknown;Unknown
Clash of Chefs VR;Serbia;Ready, set, cook! Clash of Chefs VR is a competitive cooking game that’ll put your culinary skills to the test as you race to finish orders. Complete 80 single player stages, or tak...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/960040/header.jpg?t=1667209034;Flat Hill Games;Flat Hill Games;Windows;16 Sep, 2021;Casual, Indie, Simulation;https://store.steampowered.com/app/960040/Clash_of_Chefs_VR/;Unknown;Unknown;Unknown;Unknown;Unknown
Code Alkonost: Awakening of Evil;Serbia;Code Alkonost is a first-person, atmospheric adventure where Slavic legends come to life. Travel through a dark fantasy world and encounter the possessive spirits of the underworld. E...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2062030/header.jpg?t=1745509570;Alkonost Team;Alkonost Team;Windows;21 Jan, 2025;Adventure;https://store.steampowered.com/app/2062030/Code_Alkonost_Awakening_of_Evil/;Unknown;Unknown;Unknown;Unknown;Unknown
Crypto Miner Tycoon Simulator;Serbia;Build rigs to mine Bitcoin, Ethereum and other cryptocurrency. Trade on the market to grow wealth. Expand your business into new offices. Hire skilled employees and assign tasks. Use ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1859290/header.jpg?t=1745504827;CreativeForge Games, G-DEVS.com;Bigosaur;Windows;21 Apr, 2022;Indie, Simulation;https://store.steampowered.com/app/1859290/Crypto_Miner_Tycoon_Simulator/;Unknown;Unknown;Unknown;Unknown;Unknown
