Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
13Z: The Zodiac Trials;Singapore;Embark on a quest to become the 13th Zodiac in this frantic hack-and-slash roguelike action adventure. Take on a celestial trial of grit, speed and power, and rise stronger after each...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2348250/43c6fc74bbd4aa5b785686bb5fa4d48e36d17e9c/header.jpg?t=1745555359;Mixed Realms Pte Ltd;Mixed Realms Pte Ltd;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/2348250/13Z_The_Zodiac_Trials/;Unknown;;;;
ACE COMBAT™ 7: SKIES UNKNOWN;Singapore;Become an ace pilot and soar through photorealistic skies with full 360 degree movement, down enemy aircraft and experience the thrill of engaging in realistic sorties! Aerial combat ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/502500/header.jpg?t=1737108523;Bandai Namco Entertainment;Bandai Namco Studios Inc.;Windows;31 Jan, 2019;Action, Simulation;https://store.steampowered.com/app/502500/ACE_COMBAT_7_SKIES_UNKNOWN/;Unknown;;;;
After School Afterlife;Singapore;Listen to the beat to navigate obstacles and escape the mansion in this narrative platformer inspired by Peranakan culture! Talk to strange and funny ghosts, and help them with their ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1602550/header.jpg?t=1663264827;Mini Bunnies;Mini Bunnies;Windows;To be announced;Adventure, Indie;https://store.steampowered.com/app/1602550/After_School_Afterlife/;Unknown;;;;
All Of ZHEM;Singapore;Face against waves of 200 zombies with nowhere to run or hide.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/988070/header.jpg?t=1620523398;KOEX studio;KOEX studio;Windows;29 Mar, 2019;Action, Indie;https://store.steampowered.com/app/988070/All_Of_ZHEM/;Unknown;;;;
Arcade Legend;Singapore;Build and customize your own arcade while playing officially licensed arcade games! Bowl, throw axes, party with friends, and explore other arcades and venues in the city's growing en...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1490600/header.jpg?t=1710913049;LAI Games;LAI Games;Windows;To be announced;Casual, Indie, Simulation, Sports;https://store.steampowered.com/app/1490600/Arcade_Legend/;Unknown;;;;
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator;Singapore;Armored Battle Crew is a Tank and Crew Management Simulation game, where your skills as a Tank commander is tested. Customize your tank carefully and make strategic battle choices to ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/814740/header.jpg?t=1585154027;Gattai Games;Gattai Games;Windows;5 Jun, 2019;Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access;https://store.steampowered.com/app/814740/Armored_Battle_Crew_World_War_1__Tank_Warfare_and_Crew_Management_Simulator/;Unknown;;;;
Assassin's Creed 2;Singapore;An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/33230/header.jpg?t=1682004272;Ubisoft;Ubisoft Montreal;Windows;4 Mar, 2010;Action, Adventure;https://store.steampowered.com/app/33230/Assassins_Creed_2/;Unknown;;;;
Assassin's Creed® Odyssey;Singapore;Assassin's Creed Odyssey is an action-adventure game where you choose the hero you want to become. Embark on an epic journey from outcast to living legend to uncover the secrets of yo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/812140/header.jpg?t=1736257794;Ubisoft;Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai;Windows;5 Oct, 2018;Action, Adventure, RPG;https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/;Unknown;;Unknown;;
Assassin's Creed® Origins;Singapore;ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin’s Creed®: Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and int...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/582160/header.jpg?t=1736247595;Ubisoft;Ubisoft Montreal;Windows;26 Oct, 2017;Action, Adventure, RPG;https://store.steampowered.com/app/582160/Assassins_Creed_Origins/;Unknown;;;;
Assassin's Creed® Syndicate;Singapore;London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/368500/header.jpg?t=1739176365;Ubisoft;Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios;Windows;18 Nov, 2015;Action, Adventure;https://store.steampowered.com/app/368500/Assassins_Creed_Syndicate/;Unknown;;;;
