Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Air Missions: HIND;Slovakia;Air Missions: HIND is an action combat flight simulator based on the Russian Mi-24 Hind assault helicopter. You will be deployed to the battlefield either on your own or with a friend.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/423490/header.jpg?t=1503144339;3Division;3Division;Windows;To be announced;Action, Casual, Indie, Simulation;https://store.steampowered.com/app/423490/Air_Missions_HIND?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
HELLMUT: The Badass from Hell;Slovakia;Hellmut: The Badass from Hell is a fast-paced bullet-storm dungeon crawler. Use absurd Transformations to defeat demonic hordes, challenge random bosses in random levels, equip powerf...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/705620/header.jpg?t=1563887699;Grindstone;Volcanicc;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/705620/HELLMUT_The_Badass_from_Hell?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
BonVoyage!;Slovakia;BonVoyage! is a drag tile puzzle game. Help stranded knights navigate floating islands by reconstructing path in challenging levels.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1081890/header.jpg?t=1661848340;Boris Zapotocky;Boris Zapotocky;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/1081890/BonVoyage?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Townopolis;Slovakia;Casual city building. Become an architect. Manage the small polis. Construct an idyllic neighborhood with plenty of houses. Work your way to the top through the campaign mode, or crea...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/462730/header.jpg?t=1737648768;Lonely Troops;Lonely Troops;Windows, macOS, SteamOS + Linux;To be announced;Casual, Indie, Simulation;https://store.steampowered.com/app/462730/Townopolis?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
HRDINA;Slovakia;The game is about a hero that goes from game to the real world. Levels are generated by the music which is provided by Czech band Zrní.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1077730/header.jpg?t=1661359231;Bartoš Studio;Bartoš Studio;Windows;To be announced;Action, Casual, Free To Play, Indie;https://store.steampowered.com/app/1077730/HRDINA?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Workers & Resources: Soviet Republic;Slovakia;Build a soviet republic from an impoverished country into a rich industrial superpower in a city builder with intricate production chains and a fully simulated global economy. Manage ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/784150/header.jpg?t=1744896878;Hooded Horse;3Division;Windows;To be announced;Simulation, Strategy;https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Hero of the Kingdom III;Slovakia;Lovely adventuring RPG series. Casual, story-driven journey and quests. An ancient evil awakened in the kingdom. Travel through the four valleys to become a hero and save the kingdom ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/772430/header.jpg?t=1741103345;Lonely Troops;Lonely Troops;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/772430/Hero_of_the_Kingdom_III?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Air Conflicts: Vietnam;Slovakia;The Vietnam War, one of the most explosive and violent wars of all time. You are Joe Thompson, an intrepid and patriotic pilot fighting to uphold the values of his country. This war w...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/233210/header.jpg?t=1447357501;Games Farm;Games Farm;Windows, macOS, SteamOS + Linux;To be announced;Action, Simulation;https://store.steampowered.com/app/233210/Air_Conflicts_Vietnam?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
War on Folvos;Slovakia;Clouds of war are shaping over the endless Folvos desert. You cannot wait any longer. Choose your side and take command! Lead your soldiers, tanks and aircraft to victory through Folv...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/317380/header.jpg?t=1721037033;Lonely Troops;Lonely Troops;Windows;To be announced;Indie, Strategy;https://store.steampowered.com/app/317380/War_on_Folvos?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Empire of the Gods;Slovakia;Ancient Egypt cards. Master power, wealth, faith and life. Work your way up from a small tribe to a flourishing Empire. Win the Gods' favor and become the mightiest Pharaoh.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/436140/header.jpg?t=1737647465;Lonely Troops;Lonely Troops;Windows, macOS, SteamOS + Linux;To be announced;Casual, Indie;https://store.steampowered.com/app/436140/Empire_of_the_Gods?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
The Flood;Slovakia;The Flood is a peaceful 5 minute narrative experience in which you pilot a little boat down a river. It's a gentle reminder that sometimes we should stop worrying about our destinatio...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/816350/header.jpg?t=1729023805;Ondrej Angelovic;Ondrej Angelovic;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Casual, Indie, Free To Play;https://store.steampowered.com/app/816350/The_Flood?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Kult: Heretic Kingdoms;Slovakia;Kult is prequel to Shadows: Heretic Kingdoms originally released in 2005. It is isometric RPG with action combat, engaging storyline and unique RPG system. Kult has been very positive...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/277650/header.jpg?t=1447360281;Games Farm;Games Farm;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/277650/Kult_Heretic_Kingdoms?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Car Puzzler;Slovakia;Car Puzzler is a line puzzle game variation. Drag all cars to their destination in levels with varying game mechanics. Build and share your own levels. Beat others in leaderboards.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774191/header.jpg?t=1661848197;Boris Zapotocky;Boris Zapotocky;Windows, macOS, SteamOS + Linux;To be announced;Casual, Indie;https://store.steampowered.com/app/774191/Car_Puzzler?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Sacred Fire: A Role Playing Game;Slovakia;A text-based RPG full of choice and action. Fight for survival in the midst of the Roman invasion of ancient Caledonia. Strategize one dice roll at a time as emotions affect your perf...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/900400/header.jpg?t=1738920900;Iceberg Interactive;Poetic;Windows, macOS, SteamOS + Linux;To be announced;Adventure, RPG, Early Access;https://store.steampowered.com/app/900400/Sacred_Fire_A_Role_Playing_Game?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Jupiteration;Slovakia;Jupiteration is a Sci-Fi shooter game designed for virtual reality headset HTC Vive & Oculus Rift + Touch;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/592240/header.jpg?t=1532122565;Bartoš Studio;Bartoš Studio;Windows;To be announced;Action;https://store.steampowered.com/app/592240/Jupiteration?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Hero of the Kingdom: The Lost Tales 1;Slovakia;Lovely adventuring RPG series. Casual, story-driven journey and quests. People live in fear of the dragon. Embark with your friend Brent on a dangerous quest to kill the dragon and be...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1249130/header.jpg?t=1741103444;Lonely Troops;Lonely Troops;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/1249130/Hero_of_the_Kingdom_The_Lost_Tales_1?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Megapolis;Slovakia;Casual city building. Become an architect. Manage the small polis. Construct beautiful city zones with plenty of modern blocks. Work your way to the top through the campaign mode, or ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/485080/header.jpg?t=1737649284;Lonely Troops;Lonely Troops;Windows, macOS, SteamOS + Linux;To be announced;Casual, Indie, Simulation;https://store.steampowered.com/app/485080/Megapolis?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
City Climber;Slovakia;City Climber is a silly physics-based game about a floppy ragdoll climber, who has to save the world. Find your way through diverse hand-crafted environments and enjoy funny challenge...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/538840/header.jpg?t=1729022982;Ondrej Angelovic;Ondrej Angelovic;Windows, macOS, SteamOS + Linux;To be announced;Action, Adventure, Casual, Indie, Simulation, Sports;https://store.steampowered.com/app/538840/City_Climber?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Transport INC;Slovakia;Become the manager of the largest transport corporation ever! Create new planes, bus, trains and truck connections. Optimize them to ever-changing demands and adapt to unexpected even...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/936500/header.jpg?t=1726272163;Games Operators, PlayWay S.A.;DIGIFOX;Windows, macOS;To be announced;Casual, Simulation, Strategy;https://store.steampowered.com/app/936500/Transport_INC?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Pillow Bellow;Slovakia;Have you ever wonder why you have bad sleep? In Pillow Bellow you will take a role as a Pillow that have to save humans from bad sleep. But the path will be not easy. There are unique...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1586650/header.jpg?t=1734206729;VOX design;Jan Kovačík;Windows;To be announced;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/1586650/Pillow_Bellow?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Life of Delta;Slovakia;Embark on a journey through a vast post-apocalyptic environment, full of interesting characters and engaging puzzle games in this sci-fi point-and-click adventure game.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1376760/header.jpg?t=1742288710;Daedalic Entertainment;Airo Games;Windows, macOS;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/1376760/Life_of_Delta?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Galaxy Highways;Slovakia;An indie story-driven space shooter with intense battles, escalating enemy waves, and massive boss fights. Choose and upgrade ships, unlock powerful weapons, and protect your allies. ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1650370/header.jpg?t=1744117330;Nanopike;Nanopike;Windows, macOS;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1650370/Galaxy_Highways?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Gray Zone;Slovakia;Gray Zone is best described as Men of War meets Commandos in a futuristic coat. It's an odyssey of a slave who turned against his masters. Use stealth or direct combat in a squad-base...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1207320/header.jpg?t=1675443947;EastWorks;EastWorks;Windows;To be announced;Action, Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/1207320/Gray_Zone?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
YesterMorrow;Slovakia;YesterMorrow is a single-player time travelling 2D platformer, mixing action sequences with puzzle elements. Follow the engaging story of Yui, who travels back into the past to save h...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1210490/header.jpg?t=1678330242;Blowfish Studios, Gamera Games (China), ORENDA (Asia);Bitmap Galaxy;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1210490/YesterMorrow?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
EggTime 2;Slovakia;Catch eggs, defuse bombs, and other crazy stuff using special powerups like variation of bullet time to catch even the most hard to catch eggs.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/630080/header.jpg?t=1573055926;Bartoš Studio;Bartoš Studio;Windows;To be announced;Action, Casual, Simulation, Sports;https://store.steampowered.com/app/630080/EggTime_2?curator_clanid=41475492&curator_listid=86717&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
