Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Blasphemous;Spain;Blasphemous is a brutal action-platformer with skilled hack’n slash combat set in the nightmare world of Cvstodia. Explore, upgrade your abilities, and perform savage executions on ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774361/header.jpg?t=1743696294;Team17;The Game Kitchen;Windows, macOS, SteamOS + Linux;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/774361/Blasphemous/;Unknown;Unknown;Unknown;Unknown;Unknown
Rise of Industry;Spain;Put your entrepreneurial skills to the test in the first title in the ROI series as you create & optimise intricate production lines. As an early 20th-Century industrialist, grow your...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/671440/header.jpg?t=1728037038;Kasedo Games;Dapper Penguin Studios;Windows, macOS, SteamOS + Linux;To be announced;Indie, Simulation, Strategy;https://store.steampowered.com/app/671440/Rise_of_Industry/;Unknown;Unknown;Unknown;Unknown;Unknown
The Supper;Spain;The Supper is a short adventure game about the darkest side of the human soul. Ms. Appleton was always a wellspring of kindness, until The Voice started talking to her.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1171370/header.jpg?t=1741430422;Octavi Navarro;White Blanket Games;Windows;To be announced;Adventure, Casual, Indie, Free To Play;https://store.steampowered.com/app/1171370/The_Supper/;Unknown;Unknown;Unknown;Unknown;Unknown
Anima: Gate of Memories;Spain;A third-person action RPG that brings to life the world of Gaia from the Anima: Beyond Fantasy RPG table-top books. Explore a deep and multifaceted story where your choices and action...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/380750/header.jpg?t=1692613195;Anima Publishing;Anima Project;Windows, macOS, SteamOS + Linux;To be announced;Action, Adventure, RPG;https://store.steampowered.com/app/380750/Anima_Gate_of_Memories/;Unknown;Unknown;Unknown;Unknown;Unknown
The Purring Quest;Spain;Have you ever wanted to be a cat? You will be able, thanks to the aventure platformer The Purring Quest. Take on the role of Kimchi the cat and meet famous cat of the internet in a jo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/409100/header.jpg?t=1726335198;Valhalla Cats;Valhalla Cats;Windows;To be announced;Indie;https://store.steampowered.com/app/409100/The_Purring_Quest/;Unknown;Unknown;Unknown;Unknown;Unknown
The Count Lucanor;Spain;Pixel adventure inspired by classics like Zelda and Silent Hill.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/440880/header.jpg?t=1741006380;Neon Doctrine;Baroque Decay;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie, RPG;https://store.steampowered.com/app/440880/The_Count_Lucanor/;Unknown;Unknown;Unknown;Unknown;Unknown
The Last Door - Collector's Edition;Spain;Something ancient and evil is stirring in Victorian England. Only you can stop it. Journey to the brink of madness and beyond as you set forth alone into the dark.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/284390/header.jpg?t=1700829659;Phoenix Online Publishing;The Game Kitchen;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie;https://store.steampowered.com/app/284390/The_Last_Door__Collectors_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Commandos 3: Destination Berlin;Spain;Commandos 3: Destination Berlin is a game of real-time tactics that places you in command of an elite unit of Special Forces behind enemy lines in the European theater of World War II.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/6840/header.jpg?t=1744213318;Kalypso Media Digital;Pyro Studios;Windows;To be announced;Action;https://store.steampowered.com/app/6840/Commandos_3_Destination_Berlin/;Unknown;Unknown;Unknown;Unknown;Unknown
Commandos 2: Men of Courage;Spain;Commandos 2: Men of Courage is a tactical action/strategy game set against the backdrop of World War II. Take control of an elite group of commandos who must venture deep into enemy t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/6830/header.jpg?t=1744213353;Kalypso Media Digital;Pyro Studios;Windows;To be announced;Strategy;https://store.steampowered.com/app/6830/Commandos_2_Men_of_Courage/;Unknown;Unknown;Unknown;Unknown;Unknown
WWE 2K BATTLEGROUNDS;Spain;The world of WWE is your battleground with all-new, over the top, in-your-face arcade action as your favorite WWE Superstars and Legends battle it out in outlandish interactive enviro...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1142100/header.jpg?t=1677705920;2K;Saber Interactive;Windows;To be announced;Action, Sports;https://store.steampowered.com/app/1142100/WWE_2K_BATTLEGROUNDS/;Unknown;Unknown;Unknown;Unknown;Unknown
Funk of Titans;Spain;As Perseus, the son of Zeus and protector of the Funk. Your task is to smash the rap, pop and rock of evil Musical Titans. Only one music can survive and the Funk is the music of the ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/383750/header.jpg?t=1685438797;MG Publishing;A Crowd of Monsters;Windows;To be announced;Action, Adventure, Casual;https://store.steampowered.com/app/383750/Funk_of_Titans/;Unknown;Unknown;Unknown;Unknown;Unknown
