Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Story About My Uncle;Sweden;A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. The movement is ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/278360/header.jpg?t=1589403981;Coffee Stain Publishing;Gone North Games;Windows, macOS, SteamOS + Linux;28 May, 2014;Adventure, Casual, Indie;https://store.steampowered.com/app/278360/A_Story_About_My_Uncle/;Unknown;Unknown;Unknown;Unknown;Unknown
A Void Hope;Sweden;A Void Hope takes you on an atmospheric narrative adventure to find a cure for a collapsed city. Follow the story of a tormented couple as they try to decipher reality from nightmares...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2438090/header.jpg?t=1709222346;Elden Pixels;Elden Pixels;Windows, macOS, SteamOS + Linux;29 Feb, 2024;Adventure, Indie;https://store.steampowered.com/app/2438090/A_Void_Hope/;Unknown;Unknown;Unknown;Unknown;Unknown
A Way Out;Sweden;A Way Out is an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1222700/header.jpg?t=1730912036;Electronic Arts;Hazelight Studios;Windows;23 Mar, 2018;Action, Adventure, Indie;https://store.steampowered.com/app/1222700/A_Way_Out/;Unknown;Unknown;Unknown;Unknown;Unknown
AER Memories of Old;Sweden;Transform into a bird and fly to explore and experience a vibrant world of floating islands in the sky. Venture down into lost ancient ruins where each step leads you closer to the en...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/331870/header.jpg?t=1709730241;Daedalic Entertainment;Forgotten Key;Windows, macOS, SteamOS + Linux;25 Oct, 2017;Adventure, Indie;https://store.steampowered.com/app/331870/AER_Memories_of_Old/;Unknown;Unknown;Unknown;Unknown;Unknown
ALARA Prime;Sweden;The groundbreaking free-to-play, 4v4v4 competitive tactical first-person shooter. Choose your class, utilize an array of gadgets, dominate the game or play the other teams against eac...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/971700/99f9f3740c4d3c069e1e1131558bf6d40672e3a6/header.jpg?t=1744614821;Fall Damage;Fall Damage;Windows;To be announced;Action, Free To Play;https://store.steampowered.com/app/971700/ALARA_Prime/;Unknown;Unknown;Unknown;Unknown;Unknown
AMONG THE WILD;Sweden;Among The Wild is a first-person farming game where you wrangle fantastical creatures, build and manage your own idyllic farm, and set out to explore uncharted corners of a strange un...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2400980/header.jpg?t=1744803166;NUGGETS ENTERTAINMENT;NUGGETS ENTERTAINMENT;Windows;To be announced;Adventure, Casual, Simulation, Early Access;https://store.steampowered.com/app/2400980/AMONG_THE_WILD/;Unknown;Unknown;Unknown;Unknown;Unknown
ARC Raiders;Sweden;ARC Raiders is an upcoming multiplayer, extraction adventure, set in a lethal future earth, ravaged by a mysterious mechanized threat known as ARC.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1808500/04baafaf64a5aa5f46ecda5d71889a4848dc0628/header.jpg?t=1746180433;Embark Studios;Embark Studios;Windows;To be announced;Action;https://store.steampowered.com/app/1808500/ARC_Raiders/;Unknown;Unknown;Unknown;Unknown;Unknown
ATMOSFAR;Sweden;Atmosfar is a sky-high odyssey set on an alien planet of floating islands explored by flying crafts and a mobile airbase as you uncover the fate of your collapsed colony.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1798230/96e6f00d5ecb7c37ba07577ac02ac75fad16055a/header.jpg?t=1743553450;Apog Labs;Apog Labs;Windows;To be announced;Adventure, Casual, Indie;https://store.steampowered.com/app/1798230/ATMOSFAR/;Unknown;Unknown;Unknown;Unknown;Unknown
AVICII Invector;Sweden;Soar through vocal melodies, sweep each fade and attack every beat in 25 of AVICII’s biggest hits, in this enthralling futuristic rhythm-action experience – AVICII Invector.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/986800/header.jpg?t=1702046405;Hello There Games;Hello There Games;Windows;10 Dec, 2019;Casual, Indie;https://store.steampowered.com/app/986800/AVICII_Invector/;Unknown;Unknown;Unknown;Unknown;Unknown
Abyssus;Sweden;Muster your fireteam, blast through the corrupted denizens of an ancient, sunken civilization, and wield godly powers in Abyssus – a fast-paced cooperative FPS and roguelite brinepu...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1721110/33ece4c783c48a3edc560882adecc1d5ad6380f6/header.jpg?t=1744299409;The Arcade Crew;DoubleMoose Games;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1721110/Abyssus/;Unknown;Unknown;Unknown;Unknown;Unknown
