Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
DERU - The Art of Cooperation;Switzerland;DERU - The Art of Cooperation is a cooperative puzzle game that mixes eye catching abstract art with mind bending puzzles to a unique gaming experience.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/632250/header.jpg?t=1576077978;Ink Kit;Ink Kit;Windows, macOS, SteamOS + Linux, Nintendo;https://store.steampowered.com/app/632250/DERU__The_Art_of_Cooperation/;7 Nov, 2018;Casual, Indie;;;;https://www.nintendo.com/us/store/products/deru-the-art-of-cooperation-switch/
Nimbatus - The Space Drone Constructor;Switzerland;Command the Nimbatus and craft drones out of hundreds of different parts. Survive unknown threats in a fully destructible, procedural universe, compete against other players in differen;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/383840/header.jpg?t=1725008406;Stray Fawn Publishing, WhisperGames;Stray Fawn Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/383840/Nimbatus__The_Space_Drone_Constructor/;14 May, 2020;Action, Indie, Simulation;;;;
Juliantli;Switzerland;Juliäntli is a tiny, crazy rhythm game about and with ducks. Click through an onslaught of colorful ducks, manage your time and stay on the beat. Are you ready for tons of quacking? Ar;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/898260/header.jpg?t=1535718916;stardust.ch;stardust.ch;Windows, macOS;https://store.steampowered.com/app/898260/Juliantli/;31 Aug, 2018;Casual, Indie;;;;
AIRHEART - Tales of broken Wings;Switzerland;Airheart is a dieselpunk airplane action rogue like game, where every colorful level is built on top of the previous one, all the way up to the stratosphere. Welcome to Granaria, a flyi;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/531180/header.jpg?t=1725016746;Blindflug Studios AG;Blindflug Studios AG;Windows, macOS, Playstation, Nintendo;https://store.steampowered.com/app/531180/AIRHEART__Tales_of_broken_Wings/;24 Jul, 2018;Action, Indie;;https://store.playstation.com/en-gb/product/EP2416-CUSA12416_00-THEAIRHEARTGAMEM/;;https://www.nintendo.com/us/store/products/airheart-tales-of-broken-wings-switch/
The Bug Butcher;Switzerland;A fast paced action shooter inspired by the arcade classic Super Pang! Use a wide selection of weapons and powerups to tear through increasingly challenging levels.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/350740/header.jpg?t=1574062445;Awfully Nice Studios;Awfully Nice Studios;Windows, macOS, SteamOS + Linux, Nintendo;https://store.steampowered.com/app/350740/The_Bug_Butcher/;19 Jan, 2016;Action, Indie;;;;https://www.nintendo.com/us/store/products/the-bug-butcher-switch/
Niche - a genetics survival game;Switzerland;Niche - a genetics survival game is a turn-based strategy game combined with simulation and roguelike elements. Shape your own species of animals based on real genetics. Keep your speci;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/440650/header.jpg?t=1725008311;Stray Fawn Publishing, WhisperGames;Stray Fawn Studio;Windows, macOS, SteamOS + Linux, Playstation, Nintendo;https://store.steampowered.com/app/440650/Niche__a_genetics_survival_game/;15 Sep, 2016;Indie, Simulation, Strategy;https://store.epicgames.com/en-US/p/niche-a-genetics-survival-game;https://store.playstation.com/concept/10002186;;https://www.nintendo.com/en-ca/store/products/niche-a-genetics-survival-game-switch/
Hermit: an Underwater Tale;Switzerland;Underwater, a new threat slowly emerges. Playing as a helpless hermit crab, use your shells to defeat countless waves of monsters and giant sea creatures in this action packed 2d game.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1773740/header.jpg?t=1719410348;Early Coffee Games;Early Coffee Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1773740/Hermit_an_Underwater_Tale/;To be announced;Action, Adventure, Casual, Indie;;;;
Trailblazers: Into the March;Switzerland;Embark on a thrilling adventure in this roguelite colony-sim strategy game. Command your Landship in tactical battles, care for a crew composed of all sorts of characters, shape your ho;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2671300/header.jpg?t=1723481836;Joystick Ventures ;Strangers;Windows, macOS;https://store.steampowered.com/app/2671300/Trailblazers_Into_the_March/;To be announced;Indie, RPG, Simulation, Strategy;;;;
Roots of Fury;Switzerland;In this action packed RPG you play a scientist that shrunk herself to defeat insects that are eating the roots of her plants. The scientist enlists the help of an ant hive, where she ha;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2774460/header.jpg?t=1723731040;knit'n'purl game studio LLC;knit'n'purl game studio LLC;Windows, macOS;https://store.steampowered.com/app/2774460/Roots_of_Fury/;To be announced;Action, Adventure;;;;
Answer Knot;Switzerland;A short narrative and exploration game about Zach, June, and a strange phenomenon. You're Zach and, stuck in your home, you will do everything to keep hearing June's voice messages. Wha;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1049400/header.jpg?t=1675075111;Naraven Games;Naraven Games;Windows;https://store.steampowered.com/app/1049400/Answer_Knot/;31 May, 2019;Indie;;;;
FAR: Changing Tides;Switzerland;An atmospheric vehicle adventure that follows the emotional journey of a boy and his ship as he embarks on a voyage to find a new home.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1570010/header.jpg?t=1726482148;Frontier Foundry;Okomotive;Windows;https://store.steampowered.com/app/1570010/FAR_Changing_Tides/;1 Mar, 2022;Action, Adventure, Indie;;;;
Terraformers;Switzerland;Terraform Mars in this turn-based colony builder and resource management game with roguelike elements. Explore the planet, develop spectacular cities, spread life and turn the Red Plane;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1244800/header.jpg?t=1725420723;Goblinz Publishing, IndieArk;Asteroid Lab;Windows, macOS, SteamOS + Linux, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/1244800/Terraformers/;9 Mar, 2023;Strategy;;https://store.playstation.com/en-us/concept/10008315;https://www.xbox.com/en-us/games/store/terraformers/9N7TG8VG6137;https://www.nintendo.com/us/store/products/terraformers-switch/
