Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
A Light in the Dark;Taiwan;──We cannot choose in this unfair world.The rich boy stuck in his never changing daily life...The fierce girl struggling for survival...Two people in totally opposite positions in...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/766280/header.jpg?t=1726607245;Sekai Project;CreSpirit, STORIA, Narrator;Windows, macOS;15 Jun, 2018;Casual, Indie;https://store.steampowered.com/app/766280/A_Light_in_the_Dark/;Unknown;Unknown;Unknown;Unknown;Unknown
ARIE: Moonprayer;Taiwan;ARIE: Moonprayer is an anime-style exploration experience. Moon is falling, and the world is ending. You will travel across the last remaining island in the world to reach the island’...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2476690/header.jpg?t=1745427727;PhantomWorks;PhantomWorks;Windows, macOS;To be announced;Adventure, Indie, RPG;https://store.steampowered.com/app/2476690/ARIE_Moonprayer/;Unknown;Unknown;Unknown;Unknown;Unknown
ASTRAL TALE-星界神話;Taiwan;"""ASTRAL TALE""- Myth of the Stars,"" a classic Japanese MMORPG, is now officially operating worldwide. A brand-new profession has been introduced, allowing players to embark on a unique...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2591210/header.jpg?t=1705661289;X-Legend Entertainment Co., Ltd.;X-Legend Entertainment Co., Ltd.;Windows;7 Jan, 2024;Action, Adventure, Massively Multiplayer, RPG;https://store.steampowered.com/app/2591210/ASTRAL_TALE/;Unknown;Unknown;Unknown;Unknown;Unknown
Aeruta;Taiwan;A bread revolution across the world now begins! Aeruta is a side-scrolling action game with a shop management twist, fight monsters for materials and use them to make breads, then fin...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2286780/header.jpg?t=1744963118;GRAVITY GAME ARISE Co., Ltd.;FromDawn Games;Windows;15 May, 2024;Action, Adventure, Indie, RPG, Early Access;https://store.steampowered.com/app/2286780/Aeruta/;Unknown;Unknown;Unknown;Unknown;Unknown
Alina of the Arena;Taiwan;A roguelike deckbuilding tactics game that combines elements from 'Slay the Spire' and 'Into the Breach'. Play as a gladiator to survive. With roguelike deckbuilding and hex-based tac...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1668690/header.jpg?t=1730095975;PINIX, IndieArk;PINIX;Windows, macOS;13 Oct, 2022;Indie, Strategy;https://store.steampowered.com/app/1668690/Alina_of_the_Arena/;Unknown;Unknown;Unknown;Unknown;Unknown
Apocalypse Party;Taiwan;Apocalypse Party is a 3D top-down action Roguelike game. In this game, you will embark on a new mission to traverse through the Middle Ages and gradually master abilities, and arm you...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2351560/header.jpg?t=1745913932;Breaker Games, Kepler Ghost;Breaker Games;Windows;30 Nov, 2023;Action, Casual, Indie, Strategy;https://store.steampowered.com/app/2351560/Apocalypse_Party/;Unknown;Unknown;Unknown;Unknown;Unknown
Arctictopia;Taiwan;Arctictopia is a puzzle-solving game in the Arctic Ocean. Figure out routes and plan your moves to help mama polar bear find her cub on the melting ice.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1713140/header.jpg?t=1729047149;GRAVITY GAME ARISE Co., Ltd.;Gamtropy;Windows, macOS;8 Aug, 2022;Casual, Indie;https://store.steampowered.com/app/1713140/Arctictopia/;Unknown;Unknown;Unknown;Unknown;Unknown
Astral Party ;Taiwan;Astral Party is a multiplayer party game populated by cute anime girls! Choose your favorite character, strategize skills & cards, and roll the dice to destroy friendships in this uni...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2622000/bf2f2f5bd97e0f3be91209888d067a4858235db7/header.jpg?t=1744197409;Neverland Entertainment;STAR ENGINE PROJECT;Windows;28 Feb, 2024;Casual, Indie, RPG, Strategy;https://store.steampowered.com/app/2622000/Astral_Party/;Unknown;Unknown;Unknown;Unknown;Unknown
Behind the Frame: The Finest Scenery;Taiwan;Guide brush strokes and solve a variety of puzzles to help an aspiring artist complete her masterpiece amid her brusque neighbor’s gaze and his pesky cat. As her painting starts to ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1634150/header.jpg?t=1744137960;Akupara Games, Akatsuki Taiwan Inc.;Silver Lining Studio;Windows, macOS;25 Aug, 2021;Adventure, Casual, Indie;https://store.steampowered.com/app/1634150/Behind_the_Frame_The_Finest_Scenery/;Unknown;Unknown;Unknown;Unknown;Unknown
Bionic Bay;Taiwan;A scientist uses a unique teleportation instrument to escape an ancient biomechanical world filled with imaginative technology, deadly traps, and hidden secrets.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1928690/header.jpg?t=1745313656;Kepler Interactive;Psychoflow Studio, Mureena Oy;Windows;16 Apr, 2025;Action, Adventure, Casual, Indie, Racing;https://store.steampowered.com/app/1928690/Bionic_Bay/;Unknown;Unknown;Unknown;Unknown;Unknown
Boba Tea Shop Simulator;Taiwan;Make various drinks and boba teas. Interact with the world using game's hilarious physics, doing the chores that every tea shop manager get to encounter.Make smart investments with yo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2189450/3379b900d590c076400cffa8fe80c49e21c5370d/header.jpg?t=1744468587;NEMESOFT;NEMESOFT;Windows;To be announced;Casual, Simulation;https://store.steampowered.com/app/2189450/Boba_Tea_Shop_Simulator/;Unknown;Unknown;Unknown;Unknown;Unknown
Break Robots VR;Taiwan;"""Break Robots VR"" is an action game with somatosensory operation. You will play as an robot fighter to slash through the battlefield.";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1289470/header.jpg?t=1711546240;YOH;YOH;Windows;26 Oct, 2021;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1289470/Break_Robots_VR/;Unknown;Unknown;Unknown;Unknown;Unknown
Carto;Taiwan;Carto is a charming adventure game wrapped around a unique, world-altering puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of characters, and guide Car...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1172450/header.jpg?t=1699372141;Humble Games, XD;Sunhead Games;Windows, macOS;27 Oct, 2020;Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/1172450/Carto/;Unknown;Unknown;Unknown;Unknown;Unknown
