Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
199CentsSTUDIO;Thailand;Hint Chapter 1: Save it, it will be used in the future.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/350220/header.jpg?t=1666119623;199CentsSTUDIO;199CentsSTUDIO;Windows;25 Mar, 2015;Free To Play, RPG, Simulation, Early Access;https://store.steampowered.com/app/350220/199CentsSTUDIO/;Unknown;;;;
7 Sins : Lost in Labyrinth;Thailand;“7 Sins : Lost in Labyrinth” A Survival Horror Game, based on the Cutie Characters and World of 7 Sexy Sins Series. You have but one goal: survive and escape the hellish mazes! Ru...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2221820/header.jpg?t=1680868723;Zai Studio;Zai Studio;Windows;10 Feb, 2023;Indie, Early Access;https://store.steampowered.com/app/2221820/7_Sins__Lost_in_Labyrinth/;Unknown;;;;
A Technician's Nightmare;Thailand;This is a multiplayer survival game in a haunted house. For 1-4 players The player must successfully complete the mission, during which there will be strange events occurring in the h...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2472390/header.jpg?t=1704115859;Luzh.;Luzh.;Windows;1 Jan, 2024;Indie, Simulation;https://store.steampowered.com/app/2472390/A_Technicians_Nightmare/;Unknown;;;;
A.R.E.S. Extinction Agenda EX;Thailand;A 2.5D action-packed side-scrolling game, takes players on a thrilling sci-fi adventure! Take control of combat specialist Ares, or the new playable character, Tarus, to battle deadly...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/315340/header.jpg?t=1448639170;ORiGO GAMES;Extend Studio;Windows;3 Oct, 2014;Action, Indie;https://store.steampowered.com/app/315340/ARES_Extinction_Agenda_EX/;Unknown;;;;
ARAYA;Thailand;ARAYA is a first person horror game. Players will get a new thrilling experience inside a Thai hospital. The story will be told from the perspectives of 3 different characters. Player...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/466740/header.jpg?t=1572763987;MAD Virtual Reality Studio;MAD Virtual Reality Studio;Windows;24 Nov, 2016;Action, Adventure, Indie;https://store.steampowered.com/app/466740/ARAYA/;Unknown;;;;
Abyssal Blood;Thailand;Abyssal Blood is an Action Rogue-like/Survivors-like where you can dual-wield many types of different weapons at the same time. Play as Lucy, the daughter of Lucifer, who must elimina...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2901660/header.jpg?t=1730962075;Xilosopher;Xilosopher;Windows;6 Nov, 2024;Action;https://store.steampowered.com/app/2901660/Abyssal_Blood/;Unknown;;;;
Adventure In Wachirawit World;Thailand;The most mind-blowing RPG Maker game from Thailand. With unique storytelling, gameplay, and presentation. Created by an expert of the RPG Maker Thailand community. In this game, you w...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2480910/header.jpg?t=1721030921;Wachirawit Ruangsap;Wachirawit Ruangsap;Windows;To be announced;Adventure, Indie, Free To Play;https://store.steampowered.com/app/2480910/Adventure_In_Wachirawit_World/;Unknown;;;;
AeternoBlade;Thailand;AeternoBlade is a Time-Manipulation Hack-and-Slash Action-Puzzle Game. Join Freyja to take revenge on Beladim, the Lord of the Mist who destroyed her hometown and unravel the mysterie...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1234120/header.jpg?t=1660792502;Corecell Technology Co.,Ltd;Corecell Technology Co.,Ltd;Windows;7 Sep, 2020;Action, Indie, RPG;https://store.steampowered.com/app/1234120/AeternoBlade/;Unknown;https://store.playstation.com/en-us/product/UP4252-CUSA02842_00-AETERNOBLADE0001/;;https://www.nintendo.com/us/store/products/aeternoblade-switch/;
AeternoBlade II: Infinity;Thailand;AeternoBlade II: Infinity, new patch in 4K is a hardcore action-puzzle game of Time-Manipulation Combat. Control the flow of time, amend the past, foresee the future, convolute with a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1249070/header.jpg?t=1707569593;Corecell Technology Co.,Ltd;Corecell Technology Co.,Ltd;Windows;7 Sep, 2020;Action, Indie, RPG;https://store.steampowered.com/app/1249070/AeternoBlade_II_Infinity/;Unknown;;https://www.xbox.com/en-US/games/store/aeternoblade-ii-infinity/9nld7prbmmml;;
Aether Wizard Life;Thailand;Begin your career as a newly graduated wizard sent to a haunted coastal town. Build your castle, complete everyday magical tasks, search for the lost spirits, and befriend the townsfo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2195450/103ae0d9fc2f887729544e7eebc4609066d6a6a0/header.jpg?t=1745468258;Vonder Games;Vonder Games;Windows;To be announced;Action, Adventure, Indie, RPG, Simulation;https://store.steampowered.com/app/2195450/Aether_Wizard_Life/;Unknown;;;;
