Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Agent Simulator;Turkey;If you are a sharpshooter, you would be a great fit for us. Within a short period of time, select 3 options from the list and deal with your enemies. Do not forget that the ability of...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1708050/header.jpg?t=1726731834;Studio Gamebit;Studio Gamebit;Windows;To be announced;Action, Casual, Simulation, Strategy;https://store.steampowered.com/app/1708050/Agent_Simulator/;Unknown;Unknown;Unknown;Unknown;Unknown
Angelic: The Chaos Theatre;Turkey;The Chaos Theatre is a free tactical multiplayer module of Angelic — a narrative strategy-RPG set in a dark sci-fi universe. Evolve to the next-gen of humanity. Assemble a fearsome ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1440570/header.jpg?t=1730739615;Metaverse Game Studios, Inc.;Metaverse Game Studios, Inc.;Windows;To be announced;RPG, Strategy, Free To Play;https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/;Unknown;Unknown;Unknown;Unknown;Unknown
Anomaly Agent;Turkey;ANOMALY AGENT is a cyberpunk action-adventure featuring fluid combat, a time-bending story, quirky characters and a catchy synthwave soundtrack! Punch or shoot through mobs of enemies...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2378620/header.jpg?t=1742391887;Phew Phew Games, GameDev.ist;Phew Phew Games;Windows, macOS, SteamOS + Linux;24 Jan, 2024;Action, Adventure, Indie;https://store.steampowered.com/app/2378620/Anomaly_Agent/;Unknown;Unknown;Unknown;Unknown;Unknown
BBQ Simulator: The Squad;Turkey;Dive into a hilarious sandbox BBQ experience with friends! Grill, serve, and manage mayhem as meats soar and sizzle. Craft your grill, cook steaks, and feed everyone before hunger str...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1755350/header.jpg?t=1724437910;CubeCube Sports Ltd.;CubeCube Sports Ltd.;Windows, macOS;25 May, 2022;Casual, Indie, Simulation;https://store.steampowered.com/app/1755350/BBQ_Simulator_The_Squad/;Unknown;Unknown;Unknown;Unknown;Unknown
Beat The Game;Turkey;Beat the Game is an adventure game where you find your way with sounds. Sounds you find introduce cinematic cutscenes as the story unfolds. You can create new combinations on your hol...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/543100/header.jpg?t=1675374908;Worm Animation;Worm Animation;Windows, macOS, SteamOS + Linux;7 Sep, 2017;Adventure, Indie;https://store.steampowered.com/app/543100/Beat_The_Game/;Unknown;Unknown;Unknown;Unknown;Unknown
Beholgar;Turkey;Beholgar is a classically styled metroidvania action adventure. Explore caverns, ancient woods, and deadly castles, battle creatures and solve ancient mysteries at the kingdom.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1399750/header.jpg?t=1644016467;Serkan Bakar;Serkan Bakar;Windows;4 Feb, 2022;Action, Adventure, Indie;https://store.steampowered.com/app/1399750/Beholgar/;Unknown;Unknown;Unknown;Unknown;Unknown
Cardboard Town;Turkey;Cardboard Town is a city-building card game. Manage your resources, obtain upgrades, draw your cards and thrive! Random events, quest cards, and game modes make each run different.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2198070/header.jpg?t=1745823092;Rogue Duck Interactive, Gamersky Games;Stratera Games, cukuto;Windows, macOS, SteamOS + Linux;18 Aug, 2023;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/2198070/Cardboard_Town/;Unknown;Unknown;Unknown;Unknown;Unknown
Castle Of Alchemists;Turkey;Defend your castle in this fast-paced tower defense/action hybrid game with stunning pixel art graphics! Play as alchemically enhanced warrior Bellator, set traps, build towers, craft...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1724770/2d0a255bfb43b4375520e1492a3ab3da93b60594/header_alt_assets_1.jpg?t=1744299472;Team Machiavelli, IndieArk;Team Machiavelli;Windows;10 Apr, 2025;Action, Indie, Strategy;https://store.steampowered.com/app/1724770/Castle_Of_Alchemists/;Unknown;Unknown;Unknown;Unknown;Unknown
Cats and the Other Lives;Turkey;Part interactive fiction, part Felis domesticus adventure, “Cats and the Other Lives” explores the reunion of a broken family from the perspective of their house cat, Aspen.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1360390/header.jpg?t=1746350667;Cultic Games, Maple Whispering Limited;Cultic Games;Windows;21 Nov, 2022;Adventure;https://store.steampowered.com/app/1360390/Cats_and_the_Other_Lives/;Unknown;Unknown;Unknown;Unknown;Unknown
Clonizer;Turkey;Clonizer combines Hex-based tactics and roguelike deckbuilding! Play cards, manage clones, explore unique charming planets and outsmart aliens. Craft a powerful deck through your expe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2449450/header.jpg?t=1745823432;Rogue Duck Interactive;Juicy Plume;Windows, macOS, SteamOS + Linux;14 Apr, 2025;Indie, Simulation, Strategy;https://store.steampowered.com/app/2449450/Clonizer/;Unknown;Unknown;Unknown;Unknown;Unknown
