Name;;Country;;Description;;Thumbnail;;Publisher_Names;;Developer_Names;;Platform;;Steam_Link;;Release_Date;;Genre;;Epic_Link;;Playstation_Link;;Xbox_Link;;Switch_Link
Spirit of the North;;United States;;Spirit of the North is a single-player 3rd-person adventure game inspired by the breathtaking and mysterious landscapes of Iceland. Play as an ordinary red fox whose story becomes entwi...;;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1213700/header.jpg?t=1701265706;;Merge Games;;Infuse Studio;;Windows;;https://store.steampowered.com/app/1213700/Spirit_of_the_North/;;7 May, 2020;;Adventure, Casual, Indie;;https://store.epicgames.com/en-US/p/spirit-of-the-north-f58a66;;https://store.playstation.com/en-us/product/UP3899-CUSA13411_00-SPIRITNORTH00001/;;;;https://www.nintendo.com/us/store/products/spirit-of-the-north-switch/
Putt-Putt® and Pep's Dog on a Stick;;United States;;Jump in and help Pep collect all of the goodies before his rivals catch him!;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294710/header.jpg?t=1578530715;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294710/PuttPutt_and_Peps_Dog_on_a_Stick/;;31 Oct, 1996;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® and Pep's Balloon-o-Rama;;United States;;Help Putt-Putt® bounce his pal Pep into the air to pop colorful balloons--some filled with hidden surprises!;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/284000/header.jpg?t=1578529192;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/284000/PuttPutt_and_Peps_BalloonoRama/;;1 Jan, 1996;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt®: Pep's Birthday Surprise;;United States;;It's Pep's birthday and Putt-Putt® wants to surprise him with his first birthday party ever!;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294700/header.jpg?t=1578531190;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows;;https://store.steampowered.com/app/294700/PuttPutt_Peps_Birthday_Surprise/;;15 Aug, 2003;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® Joins the Circus;;United States;;Mr. B.J. Sweeney needs you and Putt-Putt® to help his five main acts get ready for the show.;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294690/header.jpg?t=1578526695;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294690/PuttPutt_Joins_the_Circus/;;31 Dec, 2000;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® Enters the Race;;United States;;Putt-Putt® and Pep are ready to take your kids on the ride of their lives!;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294680/header.jpg?t=1578525850;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294680/PuttPutt_Enters_the_Race/;;1 Jan, 1998;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® Saves The Zoo;;United States;;Today's the grand opening of the Cartown Zoo, and there's still so much to do: zoo chow is running low, and all the baby animals are missing.;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294660/header.jpg?t=1578527121;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294660/PuttPutt_Saves_The_Zoo/;;31 Dec, 1995;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® Goes to the Moon;;United States;;Due to a freak accident at the Fireworks Factory, Putt-Putt® is blasted to the moon!;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294650/header.jpg?t=1578526147;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294650/PuttPutt_Goes_to_the_Moon/;;1 Oct, 1993;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Putt-Putt® Travels Through Time;;United States;;Mr. Firebird's time machine has gone haywire and Putt-Putt's® best pal Pep, is lost somewhere in time.;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294670/header.jpg?t=1578528626;;Humongous Entertainment, Nightdive Studios;;Humongous Entertainment;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/294670/PuttPutt_Travels_Through_Time/;;21 Nov, 1997;;Adventure, Casual;;Unknown;;Unknown;;Unknown;;Unknown
Pupperazzi: The Dog Photography Game;;United States;;Put your love for pups to the test - we have a bunch of dogs that need their photos taken, doggone it! Photograph and catalogue the finest (and derpiest) dogs to build your career, upgr...;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1028350/header.jpg?t=1730397873;;Kitfox Games;;Sundae Month;;Windows, macOS;;https://store.steampowered.com/app/1028350/Pupperazzi_The_Dog_Photography_Game/;;20 Jan, 2022;;Action, Casual, Indie;;Unknown;;Unknown;;Unknown;;Unknown
Psychonauts 2;;United States;;Combining quirky missions and mysterious conspiracies, Psychonauts 2 is a platform-adventure game with cinematic style and tons of customizable psychic powers.;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/607080/header.jpg?t=1723735613;;Xbox Game Studios;;Double Fine Productions;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/607080/Psychonauts_2/;;24 Aug, 2021;;Action, Adventure;;Unknown;;Unknown;;Unknown;;Unknown
Psychonauts in the Rhombus of Ruin;;United States;;Psychonauts in the Rhombus of Ruin is an all-new Virtual Reality adventure that takes players back into the mysterious and paranormal world of the Psychonauts for the first time in over...;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/788690/header.jpg?t=1727390435;;Double Fine Productions;;Double Fine Productions, React Games;;Windows;;https://store.steampowered.com/app/788690/Psychonauts_in_the_Rhombus_of_Ruin/;;19 Apr, 2018;;Adventure;;Unknown;;Unknown;;Unknown;;Unknown
Psychonauts;;United States;;A Psychic Odyssey Through the Minds of Misfits, Monsters, and Madmen. This classic action/adventure platformer from acclaimed developers Double Fine Productions follows the story of a y...;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3830/header.jpg?t=1727388265;;Double Fine Productions;;Double Fine Productions;;Windows, macOS, SteamOS + Linux;;https://store.steampowered.com/app/3830/Psychonauts/;;19 Apr, 2005;;Action;;Unknown;;Unknown;;Unknown;;Unknown
Prominence;;United States;;When the interstellar mission to colonize a new world goes terribly awry, the fate of the Letarri people falls into the hands of a lone adventurer. Now it's up to you to unravel the mys...;;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/270230/header.jpg?t=1570083454;;Digital Media Workshop;;Digital Media Workshop;;Windows;;https://store.steampowered.com/app/270230/Prominence/;;6 Nov, 2015;;Adventure, Casual, Indie;;Unknown;;Unknown;;Unknown;;Unknown
