Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Anti-Jump-Man;Uruguay;Featuring the ground-breaking Bridge Gun™!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1477890/header.jpg?t=1634875674;Pi0h1;Pi0h1;Windows;To be announced;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/1477890/AntiJumpMan?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Astra Exodus;Uruguay;Astra Exodus is a single player turn based Sci-fi 4X strategy game inspired by the classics, with a multiple choice narrative driven epic campaign, top down real time tactical battle...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/880750/header.jpg?t=1726824910;Slitherine Ltd.;Atomic Kaiser;Windows;To be announced;Indie, Strategy;https://store.steampowered.com/app/880750/Astra_Exodus?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Attack Helicopter Dating Simulator;Uruguay;As a helicopter, your daily activities may include, morning maintenance, aerial attack runs, and delivering hell-fire missiles on noncombatants for democracy. Or you know, dating othe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/594350/header.jpg?t=1699285171;Curse Box Studios;Curse Box Studios, Curse Box Alt;Windows;To be announced;Adventure, Casual, Indie, Simulation;https://store.steampowered.com/app/594350/Attack_Helicopter_Dating_Simulator?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
AWS Argentina Wingshooting Simulator;Uruguay;Play for the very first time the most real simulator ever made for wing shooting in South-american scenery. Feel the real game in the best spots of the Argentinean marshes shooting th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/718410/header.jpg?t=1510181373;AWS;Curse Box Studios;Windows, macOS;To be announced;Action, Simulation, Sports;https://store.steampowered.com/app/718410/AWS_Argentina_Wingshooting_Simulator?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Bleeding Border;Uruguay;Bleeding Border is a first person 3d survival horror game in which the player must escape through the top of a monster infested building using his own blood as the only defense mechan...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/416290/header.jpg?t=1610567558;Volens Nolens Games;Curse Box Studios;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/416290/Bleeding_Border?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Charrua Soccer - Mirror Edition;Uruguay;Mirror Edition? Absolutely! Dive into the action and adrenaline you know and love from the Pro Edition, now face off against players online in both friendly and ranked matches through...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2726240/header.jpg?t=1711210521;BATOVI Games;BATOVI Games;Windows, macOS, SteamOS + Linux;To be announced;Action, Casual, Indie, Sports;https://store.steampowered.com/app/2726240/Charrua_Soccer__Mirror_Edition?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Charrua Soccer - Pro Edition;Uruguay;With lots of action and adrenaline, Charrua Soccer is an arcade that brings you only the most fun part of soccer! Play friendly matches, tournaments or create your team and lead it to...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2283380/header.jpg?t=1702301039;BATOVI Games;BATOVI Games;Windows, macOS, SteamOS + Linux;To be announced;Action, Casual, Indie, Simulation, Sports;https://store.steampowered.com/app/2283380/Charrua_Soccer__Pro_Edition?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Cleanup Crew;Uruguay;Cleanup Crew is a fast-paced survival action roguelite. Complete emergent objectives, customize your build and put your skills to the test to survive nerve-wracking hordes of creature...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2401090/header.jpg?t=1722871263;Magical Beast Games;Magical Beast Games;Windows;To be announced;Action;https://store.steampowered.com/app/2401090/Cleanup_Crew?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Dungeon Throne;Uruguay;Explore procedurally generated dungeons. Retrieve artifacts and use your magic to fight your way through the dungeon. Rescue prisoners and destroy the dungeons.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1308980/header.jpg?t=1598381621;Martín Maestri Martinez;Martín Maestri Martinez;Windows;To be announced;Indie, RPG;https://store.steampowered.com/app/1308980/Dungeon_Throne?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Dying Breed;Uruguay;Golden-age RTS classic. Fast-paced action & strategic decision-making, battling evil arch-enemies, zombies, and retro-futuristic technologies. All to a '90s electro-metal soundtrack a...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2088550/header.jpg?t=1741150084;MicroProse Software;Sarnayer;Windows, macOS, SteamOS + Linux;To be announced;Action, Strategy;https://store.steampowered.com/app/2088550/Dying_Breed?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Evil Wizard;Uruguay;Evil Wizard is a humor-filled action RPG that puts you in the shoes of a former Final Boss. Rise from defeat, rediscover long lost powers, and fight to reclaim your castle from an arm...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1592100/header.jpg?t=1688740911;E-Home Entertainment Development Company Ltd.;Rubber Duck Games;Windows;To be announced;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1592100/Evil_Wizard?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Eyes Over Us;Uruguay;Eyes Over Us is a surreal procedurally generated narrative strategy game were you will play as a Lovecraftian entity watching over two humans being experimented with. The power to cha...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1819660/header.jpg?t=1699284595;Curse Box Studios;Curse Box Studios;Windows;To be announced;Strategy;https://store.steampowered.com/app/1819660/Eyes_Over_Us?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Fight'N Rage;Uruguay;Fight’N Rage is a brand new old-school side-scroller beat’em up. Inspired by the classics from the “golden age”, and with an art style that mimics the aesthetic from the 90's ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/674520/header.jpg?t=1676503282;sebagamesdev;sebagamesdev;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/674520/FightN_Rage?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Goblin Cleanup;Uruguay;A co-op cleaning game where you have to clean and rearrange a dungeon before the next adventurers come to complete it again.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2748340/header.jpg?t=1736372618;Crisalu Games;Crisalu Games;Windows;To be announced;Adventure, Casual, Indie, Simulation, Early Access;https://store.steampowered.com/app/2748340/Goblin_Cleanup?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Heat Division: Rescue Team;Uruguay;Rescue civilians from natural and man-made disasters in this Speedrunning 2D Platformer. Featuring 4 playable characters: Jack Red, John Blue, Jane Orange & Chief Green;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2392010/header.jpg?t=1740252790;Pi0h1;Pi0h1;Windows;To be announced;Action, Indie;https://store.steampowered.com/app/2392010/Heat_Division_Rescue_Team?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Iron Marines;Uruguay;Real-time strategy battles in amazing sci-fi worlds! Command brave soldiers, mighty mechas and powerful aliens to face the greatest challenges in hostile alien worlds. The galaxy need...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/931280/header.jpg?t=1727184481;Ironhide Game Studio;Ironhide Game Studio;Windows, macOS, SteamOS + Linux;To be announced;Action, Casual, Indie, Strategy;https://store.steampowered.com/app/931280/Iron_Marines?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
Iron Marines Invasion;Uruguay;Prepare to take off, soldier! The galaxy needs your strategy! Prove your RTS expertise, explore an entire galaxy and defend it from a threatening invasion.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2187920/header.jpg?t=1727184621;Ironhide Game Studio;Ironhide Game Studio;Windows;To be announced;Action, Indie, Strategy;https://store.steampowered.com/app/2187920/Iron_Marines_Invasion?curator_clanid=32222318&curator_listid=27104&snr=1_1056_1055_1056_1062/;Unknown;Unknown;Unknown;Unknown;Unknown
