Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Song Song;Vietnam;The story is about a detective This is a psychological puzzle game, The game belongs to the psychological horror genre;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2281340/header.jpg?t=1727442793;NGUYỄN TRUNG ĐỨC;NGUYỄN TRUNG ĐỨC;Windows, macOS, SteamOS + Linux;3 Nov, 2023;Action, Adventure, RPG;https://store.steampowered.com/app/2281340/Song_Song/;Unknown;Unknown;Unknown;Unknown;Unknown
Logic - Keypad;Vietnam;Puzzle game with numbers. Observe, find and combine clues to open doors. No horror. No storyline. Just Logic!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2265160/header.jpg?t=1726252985;NguyeZ;NguyeZ;Windows;10 Mar, 2023;Adventure, Casual, Indie;https://store.steampowered.com/app/2265160/Logic__Keypad/;Unknown;Unknown;Unknown;Unknown;Unknown
Silver Blue;Vietnam;Silver blue is a BL visual novel 15+ with anime style, containing adventure fantasy content.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1641250/header.jpg?t=1668333146;Bunbosoup;Bunbosoup;Windows, macOS, SteamOS + Linux;11 Nov, 2022;Adventure, Casual, Indie;https://store.steampowered.com/app/1641250/Silver_Blue/;Unknown;Unknown;Unknown;Unknown;Unknown
Space Station Escape;Vietnam;Space Station Escape is a anomaly horror game.Players take on the role of an astronaut wanting to escape from a spaceship running out of oxygen.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2908190/header.jpg?t=1741751085;SOGA Std;SOGA Std;Windows;15 Apr, 2024;Adventure, Casual, Indie;https://store.steampowered.com/app/2908190/Space_Station_Escape/;Unknown;Unknown;Unknown;Unknown;Unknown
Legendary Hoplite;Vietnam;A combination of Action RPG and Tower Defense: slay monsters, find weapons, upgrade your armies, defend your base… Prevent humanity from extinction at the hands of monsters from Gre...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1479810/header.jpg?t=1741094636;Ravenage Games;TripleBricksGames;Windows;2 Feb, 2024;Action, Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/1479810/Legendary_Hoplite/;Unknown;Unknown;Unknown;Unknown;Unknown
Weldiver;Vietnam;I chose the most dangerous job in the world. Not because I wanted to, but because someone has to. I’m an Underwater Welder. One meter down – one percent less chance to survive. I ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3299160/header.jpg?t=1741749932;SOGA Std;SOGA Std;Windows;To be announced;Action, Adventure, Indie, Simulation;https://store.steampowered.com/app/3299160/Weldiver/;Unknown;Unknown;Unknown;Unknown;Unknown
Logic Escape;Vietnam;Put your intellect to the test with challenging escape rooms featuring high interactivity and intricate logical puzzles. Observe, search for clues, combine information, apply logical ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2513380/header.jpg?t=1705431212;NguyeZ;NguyeZ;Windows;2 Nov, 2023;Adventure, Indie, Simulation;https://store.steampowered.com/app/2513380/Logic_Escape/;Unknown;Unknown;Unknown;Unknown;Unknown
Tank Brawl;Vietnam;The perfect game to play local co-op with your friends and partners with classic top-down game play and simple yet dynamic controls. It come with eye-candy 3D graphic modernization of...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/436870/header.jpg?t=1504715890;Phung Games;Phung Games;Windows;20 Apr, 2016;Action, Casual, Indie, RPG;https://store.steampowered.com/app/436870/Tank_Brawl/;Unknown;Unknown;Unknown;Unknown;Unknown
Chill Corner;Vietnam;This is just an idle game for chilling, relaxing or focusing.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1749630/header.jpg?t=1726312094;Low-Hi Tech;Low-Hi Tech;Windows;17 Dec, 2021;Casual, Indie, Simulation, Free To Play;https://store.steampowered.com/app/1749630/Chill_Corner/;Unknown;Unknown;Unknown;Unknown;Unknown
Devilated;Vietnam;Devilated is an ultraviolent RPG old-school shooter where you brutalize and cannibalize your demonic foes in equal measure. Eat their face before they eat yours.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/570950/header.jpg?t=1743744377;Neon Doctrine;Trunka;Windows;28 Oct, 2024;Action, Adventure, Casual, Indie, RPG;https://store.steampowered.com/app/570950/Devilated/;Unknown;Unknown;Unknown;Unknown;Unknown
Where are you, Cinderella?;Vietnam;Where are you, Cinderella? is a visual novel about Vietnamese culture and the world of entertainment. Play as Tam, an actress who is looking for her Prince Charming or Alberto, a famo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2416930/header.jpg?t=1743792007;KimiNako;KimiNako;Windows, SteamOS + Linux;To be announced;Adventure, Casual, Indie, Simulation, Free To Play;https://store.steampowered.com/app/2416930/Where_are_you_Cinderella/;Unknown;Unknown;Unknown;Unknown;Unknown
Beat Stickman: Beyond;Vietnam;An idle clicker game where you beat a Stickman with lots of stuff. The game comes with a narrative that will blow your mind!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1494280/header.jpg?t=1738332114;Mini Fun Games;Mini Fun Games;Windows, macOS, SteamOS + Linux;6 Sep, 2022;Action, Adventure, Casual, Indie, Simulation;https://store.steampowered.com/app/1494280/Beat_Stickman_Beyond/;Unknown;Unknown;Unknown;Unknown;Unknown
Legendary Hoplite: Arachne’s Trial;Vietnam;Legendary Hoplite: Arachne’s Trial is a combination of Tower Defense and Action RPG. Upgrade your army, get the best gear, and craft unique strategies across 10 levels. Face Arachne...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2738430/header.jpg?t=1743024284;Ravenage Games;TripleBricksGames;Windows;12 Jan, 2024;Action, Adventure, Indie, RPG, Strategy;https://store.steampowered.com/app/2738430/Legendary_Hoplite_Arachnes_Trial/;Unknown;Unknown;Unknown;Unknown;Unknown
Small Test;Vietnam;Control the proxy to battle enemies, upgrade skills and stats, and find new weapons in this side-scrolling fantasy adventure game.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1939630/header.jpg?t=1741582473;UAIGolem;UAIGolem;Windows;7 Oct, 2024;Action, Adventure, Casual, Indie, RPG, Simulation, Strategy;https://store.steampowered.com/app/1939630/Small_Test/;Unknown;Unknown;Unknown;Unknown;Unknown
The Death | Thần Trùng;Vietnam;The Death | Thần Trùng is a Viet Nam psychological horror adventure game made by three Vietnamese people from a tiny indie studio. The game takes place in Hanoi city in 2022.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1726400/header.jpg?t=1678019934;DUT Studio;DUT Studio;Windows;14 Sep, 2022;Adventure, Casual, Indie;https://store.steampowered.com/app/1726400/The_Death__Than_Trung/;Unknown;Unknown;Unknown;Unknown;Unknown
Starship Scramble;Vietnam;Craft a starship from hundreds of unique weapons, battle through waves of enemies to rescue stranded survivors and gather resources - Use them to rebuild your homebase and unlock powe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2537040/header.jpg?t=1730479269;Kultras Entertainment;Kultras Entertainment;Windows;24 Oct, 2024;Action, Casual, Indie, RPG;https://store.steampowered.com/app/2537040/Starship_Scramble/;Unknown;Unknown;Unknown;Unknown;Unknown
