Country;;Steam_Link
Chile;;https://store.steampowered.com/app/255070/Abyss_Odyssey/
Denmark;;https://store.steampowered.com/app/21030/Watchmen_The_End_is_Nigh_Part_2/
Denmark;;https://store.steampowered.com/app/28000/Kane__Lynch_2_Dog_Days/
Denmark;;https://store.steampowered.com/app/203140/Hitman_Absolution/
Denmark;;https://store.steampowered.com/app/6860/Hitman_Blood_Money/
Denmark;;https://store.steampowered.com/app/247430/Hitman_Contracts/
Denmark;;https://store.steampowered.com/app/6850/Hitman_2_Silent_Assassin/
Denmark;;https://store.steampowered.com/app/6900/Hitman_Codename_47/
Sweden;;https://store.steampowered.com/app/553850/HELLDIVERS_2/
Sweden;;https://store.steampowered.com/app/468310/She_Wants_Me_Dead/
Sweden;;https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/
Sweden;;https://store.steampowered.com/app/1238840/Battlefield_1/
Sweden;;https://store.steampowered.com/app/1238860/Battlefield_4/
Sweden;;https://store.steampowered.com/app/1238820/Battlefield_3/
Sweden;;https://store.steampowered.com/app/517630/Just_Cause_4_Reloaded/
Sweden;;https://store.steampowered.com/app/8190/Just_Cause_2/
Sweden;;https://store.steampowered.com/app/6880/Just_Cause/
Sweden;;https://store.steampowered.com/app/234140/Mad_Max/
Sweden;;https://store.steampowered.com/app/394510/HELLDIVERS_Dive_Harder_Edition/
Sweden;;https://store.steampowered.com/app/235540/Warhammer_End_Times__Vermintide/
Sweden;;https://store.steampowered.com/app/226560/Escape_Dead_Island/
Sweden;;https://store.steampowered.com/app/42120/Lead_and_Gold_Gangs_of_the_Wild_West/
Sweden;;https://store.steampowered.com/app/21680/Bionic_Commando_Rearmed/
Sweden;;https://store.steampowered.com/app/2221490/Tom_Clancys_The_Division_2/
Sweden;;https://store.steampowered.com/app/365590/Tom_Clancys_The_Division/
Sweden;;https://store.steampowered.com/app/493520/GTFO/
Sweden;;https://store.steampowered.com/app/1272080/PAYDAY_3/
Sweden;;https://store.steampowered.com/app/218620/PAYDAY_2/
Sweden;;https://store.steampowered.com/app/24240/PAYDAY_The_Heist/
Sweden;;https://store.steampowered.com/app/219150/Hotline_Miami/
Sweden;;https://store.steampowered.com/app/1262580/Need_for_Speed_Payback/
Sweden;;https://store.steampowered.com/app/1262540/Need_for_Speed/
Sweden;;https://store.steampowered.com/app/741510/The_Hong_Kong_Massacre/
Sweden;;https://store.steampowered.com/app/362680/Fran_Bow/
Sweden;;https://store.steampowered.com/app/548570/RAGE_2/
Sweden;;https://store.steampowered.com/app/612880/Wolfenstein_II_The_New_Colossus/
Sweden;;https://store.steampowered.com/app/1056970/Wolfenstein_Cyberpilot/
Sweden;;https://store.steampowered.com/app/1056960/Wolfenstein_Youngblood/
Sweden;;https://store.steampowered.com/app/350080/Wolfenstein_The_Old_Blood/
Sweden;;https://store.steampowered.com/app/201810/Wolfenstein_The_New_Order/
Sweden;;https://store.steampowered.com/app/760160/Vampire_The_Masquerade__Bloodhunt/
Finland;;https://store.steampowered.com/app/2171440/Fear__Hunger_2_Termina/
Finland;;https://store.steampowered.com/app/1002300/Fear__Hunger/
Finland;;https://store.steampowered.com/app/1649240/Returnal/
Finland;;https://store.steampowered.com/app/870780/Control_Ultimate_Edition/
Finland;;https://store.steampowered.com/app/571520/Kalaban/
Finland;;https://store.steampowered.com/app/223630/AirBuccaneers/
Finland;;https://store.steampowered.com/app/405780/Alpha_Polaris__A_Horror_Adventure_Game/
Finland;;https://store.steampowered.com/app/218640/Lucius/
Finland;;https://store.steampowered.com/app/12150/Max_Payne_2_The_Fall_of_Max_Payne/
Finland;;https://store.steampowered.com/app/12140/Max_Payne/
Austria;;https://store.steampowered.com/app/266050/Into_the_Dark_Ultimate_Trash_Edition/
Hungary;;https://store.steampowered.com/app/1508260/Tortured_Hearts__Or_How_I_Saved_The_Universe_Again/
Hungary;;https://store.steampowered.com/app/1102250/Tittilium/
Poland;;https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/
Poland;;https://store.steampowered.com/app/323190/Frostpunk/
Poland;;https://store.steampowered.com/app/585450/Shadows_Awakening/
Switzerland;;https://store.steampowered.com/app/2851240/Kloppyssimo/
Japan;;https://store.steampowered.com/app/2527390/Dead_Rising_Deluxe_Remaster/
Japan;;https://store.steampowered.com/app/2515020/FINAL_FANTASY_XVI/
Japan;;https://store.steampowered.com/app/3011850/CRUELTY/
Japan;;https://store.steampowered.com/app/2752370/Unfaithful_Wife_Ayanos_Netorare_Report__My_gentle_wife_is_fucking_another_man/
Japan;;https://store.steampowered.com/app/2654470/BUNNY_GARDEN/
Japan;;https://store.steampowered.com/app/1875830/Shin_Megami_Tensei_V_Vengeance/
Japan;;https://store.steampowered.com/app/2308580/Disaster_Detective_Saiga_An_Indescribable_Mystery/
Japan;;https://store.steampowered.com/app/2743770/The_Feast_of_Terror_A_Night_Hunted_by_Beauties/
Japan;;https://store.steampowered.com/app/1901620/Dungeon_Travelers_To_Heart_2_in_Another_World/
Japan;;https://store.steampowered.com/app/2745710/Modern_Pink_Elf_RPG/
Japan;;https://store.steampowered.com/app/2072450/Like_a_Dragon_Infinite_Wealth/
Japan;;https://store.steampowered.com/app/2588580/Demons_GunPlay/
Japan;;https://store.steampowered.com/app/2588590/Fleshlight_Squad__Fleshlightize/
Japan;;https://store.steampowered.com/app/2574800/Cronie_the_Assassins_Mission__The_Teddy_Bear_Payment/
Japan;;https://store.steampowered.com/app/2594920/Atelier_Resleriana_Forgotten_Alchemy_and_the_Polar_Night_Liberator/
Japan;;https://store.steampowered.com/app/2540970/StanCact_Sexy_Tenacious_Girls/
Japan;;https://store.steampowered.com/app/2416650/Night_Stroll/
Japan;;https://store.steampowered.com/app/2131630/METAL_GEAR_SOLID__Master_Collection_Version/
Japan;;https://store.steampowered.com/app/2054970/Dragons_Dogma_2/
Japan;;https://store.steampowered.com/app/2520890/Turquchan_in_the_Hentai_Laboratory/
Japan;;https://store.steampowered.com/app/2375550/Like_a_Dragon_Gaiden_The_Man_Who_Erased_His_Name/
Japan;;https://store.steampowered.com/app/1888160/ARMORED_CORE_VI_FIRES_OF_RUBICON/
Japan;;https://store.steampowered.com/app/2499680/Pacifist_Kunoichi_Kikyo/
Japan;;https://store.steampowered.com/app/2514850/Maid_Slaves__Golden_Dungeon/
Japan;;https://store.steampowered.com/app/2439620/Nun_and_Lights_Unreachable_Forest/
Japan;;https://store.steampowered.com/app/2395630/Uchikano__Living_With_My_Lovers/
Japan;;https://store.steampowered.com/app/2337450/Lkyt/
Japan;;https://store.steampowered.com/app/1448440/Wo_Long_Fallen_Dynasty/
Japan;;https://store.steampowered.com/app/1805480/Like_a_Dragon_Ishin/
Japan;;https://store.steampowered.com/app/1680880/Forspoken/
Japan;;https://store.steampowered.com/app/1451090/Tactics_Ogre_Reborn/
Japan;;https://store.steampowered.com/app/2058180/Judgment/
Japan;;https://store.steampowered.com/app/1631080/HoneySelect2Libido_DX/
Japan;;https://store.steampowered.com/app/1333350/Angel_Legion/
Japan;;https://store.steampowered.com/app/1909800/UuultraC/
Japan;;https://store.steampowered.com/app/1245620/ELDEN_RING/
Japan;;https://store.steampowered.com/app/1619750/Karryns_Prison/
Japan;;https://store.steampowered.com/app/1075980/NinNinDays/
Japan;;https://store.steampowered.com/app/1732190/FATAL_FRAME__PROJECT_ZERO_Maiden_of_Black_Water/
Japan;;https://store.steampowered.com/app/341870/TEMBO_THE_BADASS_ELEPHANT/
Japan;;https://store.steampowered.com/app/958480/Seed_of_the_Dead/
Japan;;https://store.steampowered.com/app/1576240/The_Shadow_of_Yidhra/
Japan;;https://store.steampowered.com/app/1506260/Funbag_Fantasy_3if/
Japan;;https://store.steampowered.com/app/939600/LOVE_Love_Cube/
Japan;;https://store.steampowered.com/app/1580780/NINJA_GAIDEN_Master_Collection_NINJA_GAIDEN/
Japan;;https://store.steampowered.com/app/1323470/GetsuFumaDen_Undying_Moon/
Japan;;https://store.steampowered.com/app/1418180/MUSICUS/
Japan;;https://store.steampowered.com/app/1388590/Yakuza_6_The_Song_of_Life/
Japan;;https://store.steampowered.com/app/1196590/Resident_Evil_Village/
Japan;;https://store.steampowered.com/app/1236430/Fxxx_Me_Royally_Horny_Magical_Princess/
Japan;;https://store.steampowered.com/app/1113560/NieR_Replicant_ver122474487139/
Japan;;https://store.steampowered.com/app/1325200/Nioh_2__The_Complete_Edition/
Japan;;https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2_New_Genesis/
Japan;;https://store.steampowered.com/app/1235140/Yakuza_Like_a_Dragon/
Japan;;https://store.steampowered.com/app/494600/EARTHS_DAWN/
Japan;;https://store.steampowered.com/app/1150640/YuGiOh_Legacy_of_the_Duelist__Link_Evolution/
Japan;;https://store.steampowered.com/app/1205560/Taimanin_Yukikaze_1_Trial/
Japan;;https://store.steampowered.com/app/1152100/Taimanin_Asagi_1_Trial/
Japan;;https://store.steampowered.com/app/1136330/Hazumi_and_the_Pregnation/
Japan;;https://store.steampowered.com/app/1066430/Kwaidan_Azuma_manor_story/
Japan;;https://store.steampowered.com/app/1023970/Gun_Gun_Pixies/
Japan;;https://store.steampowered.com/app/999020/Mega_Man_ZeroZX_Legacy_Collection/
Japan;;https://store.steampowered.com/app/565690/Ayakashigami/
Japan;;https://store.steampowered.com/app/965810/Kara_no_Shojo/
Japan;;https://store.steampowered.com/app/723090/Meltys_Quest/
Japan;;https://store.steampowered.com/app/1073440/__Koikatsu_Party/
Japan;;https://store.steampowered.com/app/206230/Clan_of_Champions/
Japan;;https://store.steampowered.com/app/1046600/GNo_Hero_Allowed_No_Puzzle_Either/
Japan;;https://store.steampowered.com/app/766680/Punch_Line/
Japan;;https://store.steampowered.com/app/885940/Meritocracy_of_the_Oni__Blade/
Japan;;https://store.steampowered.com/app/247660/Deadly_Premonition_The_Directors_Cut/
Japan;;https://store.steampowered.com/app/940650/Our_World_Is_Ended/
Japan;;https://store.steampowered.com/app/340170/FINAL_FANTASY_TYPE0_HD/
